Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",BTNL10,Butyrophilin-like protein 10,43158,90,1.60 [1.22-2.12],0.0008167711760693
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",CD80,T-lymphocyte activation antigen CD80,44758,93,2.97 [1.94-4.53],4.693119991039711e-07
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",CHL1,Neural cell adhesion molecule L1-like protein,51610,111,0.34 [0.19-0.61],0.0002803196862324
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",CXCL13,C-X-C motif chemokine 13,51939,110,1.36 [1.14-1.62],0.0005902782137083
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,44758,93,1.58 [1.22-2.03],0.0004756274003248
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",IFI30,Gamma-interferon-inducible lysosomal thiol reductase,43493,92,2.40 [1.59-3.62],3.0926920065316254e-05
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",IL2RA,Interleukin-2 receptor subunit alpha,51120,111,1.87 [1.31-2.66],0.0005241639823887
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",LRRC38,Leucine-rich repeat-containing protein 38,43533,91,1.64 [1.23-2.18],0.0006654913780523
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",MSR1,Macrophage scavenger receptor types I and II,51939,110,2.15 [1.50-3.08],2.816681094327259e-05
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",PDCD1,Programmed cell death protein 1,51841,105,1.79 [1.31-2.45],0.0002789267803702
Chapter XII Diseases of the skin and subcutaneous tissue,"Lichen planus, including avohilmo",PRCP,Lysosomal Pro-X carboxypeptidase,51798,111,2.13 [1.39-3.25],0.0004768268197217
