Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Acute gastritis,ABO,Histo-blood group ABO system transferase,33794,148,1.18 [1.06-1.31],0.0032917430103862
Chapter XI Diseases of the digestive system,Acute gastritis,ACE2,Angiotensin-converting enzyme 2,38078,180,1.39 [1.10-1.75],0.0055480583884996
Chapter XI Diseases of the digestive system,Acute gastritis,ACTA2,"Actin, aortic smooth muscle",38078,180,1.39 [1.09-1.77],0.0077955673668634
Chapter XI Diseases of the digestive system,Acute gastritis,ACTN4,Alpha-actinin-4,38041,175,1.53 [1.15-2.04],0.0034327504280819
Chapter XI Diseases of the digestive system,Acute gastritis,ACVRL1,Serine/threonine-protein kinase receptor R3,38417,178,2.14 [1.29-3.53],0.0029944790486948
Chapter XI Diseases of the digestive system,Acute gastritis,ADA2,Adenosine deaminase 2,38530,181,2.03 [1.53-2.70],9.40207629025626e-07
Chapter XI Diseases of the digestive system,Acute gastritis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,39034,180,2.18 [1.47-3.23],0.0001086312416385
Chapter XI Diseases of the digestive system,Acute gastritis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,33626,148,2.39 [1.53-3.75],0.0001311472799372
Chapter XI Diseases of the digestive system,Acute gastritis,ADAMTSL2,ADAMTS-like protein 2,33776,148,1.81 [1.16-2.81],0.0083988058528329
Chapter XI Diseases of the digestive system,Acute gastritis,ADGRE5,Adhesion G protein-coupled receptor E5,39036,181,2.01 [1.38-2.94],0.0002883466887455
Chapter XI Diseases of the digestive system,Acute gastritis,ADGRG1,Adhesion G-protein coupled receptor G1,38617,177,1.45 [1.26-1.67],3.616874175656696e-07
Chapter XI Diseases of the digestive system,Acute gastritis,ADM,Pro-adrenomedullin,39098,184,2.21 [1.33-3.66],0.0021455785026975
Chapter XI Diseases of the digestive system,Acute gastritis,AGR2,Anterior gradient protein 2 homolog,37554,174,1.31 [1.15-1.49],5.272536783146069e-05
Chapter XI Diseases of the digestive system,Acute gastritis,AGRN,Agrin,38911,181,2.01 [1.43-2.83],6.383095937831696e-05
Chapter XI Diseases of the digestive system,Acute gastritis,ALCAM,CD166 antigen,39233,182,3.17 [1.66-6.05],0.0004876014624977
Chapter XI Diseases of the digestive system,Acute gastritis,AMBP,Protein AMBP,39038,184,3.48 [1.87-6.47],8.545695404062836e-05
Chapter XI Diseases of the digestive system,Acute gastritis,AMOTL2,Angiomotin-like protein 2,33489,146,1.44 [1.12-1.85],0.0043690980571187
Chapter XI Diseases of the digestive system,Acute gastritis,ANXA1,Annexin A1,32842,143,1.48 [1.14-1.93],0.0030676007390456
Chapter XI Diseases of the digestive system,Acute gastritis,AOC3,Membrane primary amine oxidase,38911,182,1.88 [1.21-2.92],0.0047739434521171
Chapter XI Diseases of the digestive system,Acute gastritis,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,38617,177,1.40 [1.10-1.78],0.0057205707847634
Chapter XI Diseases of the digestive system,Acute gastritis,APOM,Apolipoprotein M,38847,182,0.42 [0.27-0.67],0.0002233296771498
Chapter XI Diseases of the digestive system,Acute gastritis,AREG,Amphiregulin,38617,177,1.95 [1.54-2.47],2.520182000093688e-08
Chapter XI Diseases of the digestive system,Acute gastritis,ASGR1,Asialoglycoprotein receptor 1,38484,178,2.19 [1.46-3.29],0.0001513393911419
