Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ABCA2,ATP-binding cassette sub-family A member 2,33427,899,1.36 [1.16-1.61],0.0002229508582383
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",38741,1047,1.21 [1.13-1.29],4.975055535062421e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACE2,Angiotensin-converting enzyme 2,38955,1057,1.38 [1.25-1.51],1.5436832824227488e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,39627,1078,1.14 [1.04-1.27],0.0081836634910318
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACP1,Low molecular weight phosphotyrosine protein phosphatase,33563,896,0.82 [0.70-0.95],0.0074619179010089
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACP5,Tartrate-resistant acid phosphatase type 5,39817,1074,1.28 [1.08-1.51],0.0034339315028337
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACVRL1,Serine/threonine-protein kinase receptor R3,39307,1068,1.78 [1.45-2.18],4.1317048628362936e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACY1,Aminoacylase-1,39627,1078,1.18 [1.08-1.28],0.0001670137314922
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,33427,899,1.28 [1.15-1.43],5.815363748580415e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADA2,Adenosine deaminase 2,39416,1067,1.55 [1.37-1.74],9.706852011276637e-13
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,38955,1057,1.31 [1.10-1.57],0.0022731796559235
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,39930,1076,1.47 [1.22-1.75],3.154360426635606e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,34401,923,1.86 [1.53-2.25],3.0566708301836056e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,33563,896,1.31 [1.09-1.57],0.0037095121689901
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,39505,1065,1.22 [1.08-1.39],0.002225805397164
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,38955,1057,1.26 [1.09-1.46],0.001456485434012
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,33563,896,1.31 [1.10-1.55],0.0025854139455019
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,39767,1072,0.79 [0.70-0.89],0.0001416850841714
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTSL2,ADAMTS-like protein 2,34549,921,2.17 [1.84-2.56],1.4905331677065044e-20
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTSL4,ADAMTS-like protein 4,33656,910,1.57 [1.21-2.03],0.000647793740705
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADGRB3,Adhesion G protein-coupled receptor B3,39307,1068,1.25 [1.07-1.47],0.0059832441349591
