Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ABCA2,ATP-binding cassette sub-family A member 2,43156,109,1.62 [1.09-2.39],0.01686141816314
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ABHD14B,Protein ABHD14B,50764,129,1.42 [1.10-1.83],0.007529202001432
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ABL1,Tyrosine-protein kinase ABL1,51091,129,1.30 [1.05-1.60],0.0138598270805693
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ABO,Histo-blood group ABO system transferase,44662,111,1.18 [1.04-1.34],0.0091773600188464
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",50112,123,1.22 [1.02-1.46],0.0325941153300781
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",43810,107,1.24 [1.02-1.50],0.0269279133699571
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ACOT13,Acyl-coenzyme A thioesterase 13,44429,108,1.20 [1.02-1.41],0.0284277861582903
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,51322,130,1.33 [1.00-1.77],0.0467100575348813
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ACRBP,Acrosin-binding protein,44412,107,1.51 [1.03-2.21],0.0343566379053082
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,50112,123,1.35 [1.04-1.75],0.0219664020907722
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AHCY,Adenosylhomocysteinase,51322,130,1.38 [1.11-1.71],0.0035440702242988
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",51007,129,1.19 [1.03-1.38],0.0152481991382866
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AK2,"Adenylate kinase 2, mitochondrial",44513,107,1.25 [1.05-1.48],0.0119806543870149
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AKT2,RAC-beta serine/threonine-protein kinase,44542,108,1.16 [1.00-1.34],0.0458074798793103
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",44542,108,1.43 [1.02-2.00],0.0401515252672924
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ALPI,Intestinal-type alkaline phosphatase,43328,110,0.84 [0.71-0.98],0.0281158422514085
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AMPD3,AMP deaminase 3,44513,107,0.73 [0.57-0.94],0.0156342023446801
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,43328,110,1.36 [1.09-1.69],0.0069326680534313
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ANXA11,Annexin A11,51170,128,1.31 [1.01-1.68],0.0382088649066541
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ANXA3,Annexin A3,51686,132,1.31 [1.06-1.62],0.0132553619138018
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ANXA4,Annexin A4,51081,129,1.36 [1.11-1.66],0.002723364558591
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AP1G2,AP-1 complex subunit gamma-like 2,44412,107,1.33 [1.07-1.64],0.0094484497569957
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AP3B1,AP-3 complex subunit beta-1,44429,108,1.31 [1.04-1.65],0.0199546281167927
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AP3S2,AP-3 complex subunit sigma-2,44513,107,1.51 [1.06-2.14],0.0224701008811152
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,APOH,Beta-2-glycoprotein 1,51333,132,1.52 [1.04-2.24],0.0321300879820181
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARF6,ADP-ribosylation factor 6,44429,108,1.20 [1.00-1.43],0.0450748468789254
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARHGAP45,Rho GTPase-activating protein 45,43652,107,1.32 [1.06-1.65],0.0139549908878986
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARHGAP5,Rho GTPase-activating protein 5,43025,103,1.25 [1.01-1.54],0.0397001999400269
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARHGEF1,Rho guanine nucleotide exchange factor 1,44513,107,1.24 [1.01-1.52],0.0397325746843892
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARSA,Arylsulfatase A,51333,132,1.51 [1.10-2.05],0.0096968711734867
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ARSB,Arylsulfatase B,51091,129,1.52 [1.17-1.96],0.001539444837207
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ASGR1,Asialoglycoprotein receptor 1,50925,129,1.93 [1.18-3.14],0.0083066432894963
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ASPSCR1,Tether containing UBX domain for GLUT4,44542,108,1.33 [1.02-1.73],0.033013852046455
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ASRGL1,Isoaspartyl peptidase/L-asparaginase,43434,104,1.27 [1.06-1.52],0.0106287394059517
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATG16L1,Autophagy-related protein 16-1,44429,108,1.28 [1.04-1.58],0.0218653810939827
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATOX1,Copper transport protein ATOX1,51481,129,1.26 [1.01-1.56],0.0398728463865623
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATP5IF1,"ATPase inhibitor, mitochondrial",51542,128,1.18 [1.03-1.36],0.0213208951816008
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATP6V1F,V-type proton ATPase subunit F,50037,125,1.50 [1.22-1.83],9.128186912826364e-05
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATP6V1G1,V-type proton ATPase subunit G 1,43434,104,1.39 [1.09-1.76],0.0075694121680662
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,ATXN2L,Ataxin-2-like protein,44542,108,1.67 [1.30-2.16],6.972866789278628e-05
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,AZI2,5-azacytidine-induced protein 2,44542,108,1.41 [1.05-1.91],0.0230878968895318
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BAG4,BAG family molecular chaperone regulator 4,43328,110,1.40 [1.02-1.91],0.0379584354297295
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BAG6,Large proline-rich protein BAG6,50384,125,1.69 [1.12-2.54],0.0116026124142444
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,50112,123,1.32 [1.04-1.67],0.0216648985287716
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BAX,Apoptosis regulator BAX,50037,125,1.21 [1.02-1.44],0.0253637334137519
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",43183,103,1.39 [1.09-1.77],0.0075534321553124
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BCL2L1,Bcl-2-like protein 1,44513,107,1.25 [1.04-1.51],0.0168930229161622
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BID,BH3-interacting domain death agonist,51251,128,1.24 [1.00-1.53],0.0485226840871597
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BIN2,Bridging integrator 2,51333,132,1.25 [1.06-1.47],0.0078153852601361
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,44513,107,1.82 [1.23-2.69],0.0025688341734137
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BMP6,Bone morphogenetic protein 6,50303,125,1.51 [1.03-2.21],0.0342232973615256
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,44619,109,1.80 [1.24-2.63],0.0021057144185042
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,43328,110,1.43 [1.00-2.04],0.0482339007117146
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,BRAP,BRCA1-associated protein,44021,107,1.21 [1.02-1.44],0.0303281628386447
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,C3,Complement C3,42400,108,1.37 [1.01-1.87],0.0428124855981484
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CA13,Carbonic anhydrase 13,50753,129,1.25 [1.07-1.46],0.0051310218135921
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CABP2,Calcium-binding protein 2,43399,105,1.35 [1.07-1.70],0.0099510300698826
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,44542,108,1.27 [1.03-1.57],0.0287476320782014
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CACYBP,Calcyclin-binding protein,43572,107,1.25 [1.04-1.51],0.0153234643124101
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,43434,104,1.29 [1.02-1.63],0.0318459031775427
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,44542,108,1.18 [1.00-1.39],0.0469080489136661
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP10,Caspase-10,50122,125,1.47 [1.19-1.81],0.0003039328166499
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP2,Caspase-2,51251,128,1.31 [1.06-1.62],0.01414208718935
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP3,Caspase-3,51953,134,1.22 [1.03-1.45],0.0247337213105409
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP7,Caspase-7,44513,107,1.26 [1.02-1.56],0.0338195130802159
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CASP9,Caspase-9,43328,110,1.39 [1.09-1.77],0.0070317198718288
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,50925,129,1.24 [1.01-1.51],0.0365276023806182
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCAR2,Cell cycle and apoptosis regulator protein 2,44513,107,1.31 [1.05-1.63],0.0160147695903793
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,43434,104,1.34 [1.01-1.79],0.0450567602361169
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCL24,C-C motif chemokine 24,51458,128,0.80 [0.66-0.97],0.0259520656011899
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCL26,C-C motif chemokine 26,51251,128,1.17 [1.01-1.35],0.0350961479793813
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCN4,CCN family member 4,51760,132,2.07 [1.50-2.86],1.082398560519332e-05
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CCT5,T-complex protein 1 subunit epsilon,50112,123,1.51 [1.16-1.97],0.0021499741222523
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD300E,CMRF35-like molecule 2,51594,132,1.54 [1.07-2.21],0.021023746925949
Chapter XI Diseases of the digestive system,Palatinal maxillary canine,CD36,Platelet glycoprotein 4,43328,110,1.50 [1.03-2.18],0.0351400032438997
