Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ACTA2,"Actin, aortic smooth muscle",20433,144,1.58 [1.26-1.98],6.611326866213621e-05
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,20906,145,0.67 [0.49-0.92],0.0131356881791932
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ADGRG2,Adhesion G-protein coupled receptor G2,20845,146,0.40 [0.23-0.68],0.0008703390389144
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ADM,Pro-adrenomedullin,21016,143,2.43 [1.42-4.15],0.0011473213527467
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ADRA2A,Alpha-2A adrenergic receptor,17557,115,1.22 [1.01-1.48],0.0368638615795494
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,AGRN,Agrin,20948,143,1.64 [1.09-2.48],0.018403629678537
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ALPP,"Alkaline phosphatase, placental type",20760,143,1.18 [1.03-1.36],0.0144742907414721
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,AMFR,E3 ubiquitin-protein ligase AMFR,20316,140,1.23 [1.01-1.49],0.035203880383207
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,AMOT,Angiomotin,17780,121,1.64 [1.13-2.38],0.0098234836684815
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,AMOTL2,Angiomotin-like protein 2,17997,120,1.36 [1.01-1.82],0.041097613141966
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ANXA10,Annexin A10,20316,140,1.20 [1.01-1.42],0.0354121736632451
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,APOBR,Apolipoprotein B receptor,17663,119,0.60 [0.41-0.88],0.0090678848467599
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,APOE,Apolipoprotein E,18182,121,0.68 [0.49-0.95],0.0257675133445107
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,AREG,Amphiregulin,20760,143,1.47 [1.16-1.86],0.0016152182015285
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ARG2,"Arginase-2, mitochondrial",18051,120,1.37 [1.01-1.86],0.0441605121211674
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ART5,Ecto-ADP-ribosyltransferase 5,17590,116,0.64 [0.43-0.95],0.0255360321587645
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ASGR2,Asialoglycoprotein receptor 2,18153,122,1.99 [1.06-3.73],0.0321121578487323
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,ASS1,Argininosuccinate synthase,17557,115,0.79 [0.63-1.00],0.0487557539991929
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,B2M,Beta-2-microglobulin,18182,121,1.48 [1.11-1.97],0.0075481625500811
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,B4GAT1,"Beta-1,4-glucuronyltransferase 1",20845,145,0.46 [0.25-0.84],0.0112161297758553
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",17590,116,1.36 [1.08-1.71],0.0081565159590228
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,18143,122,1.56 [1.01-2.42],0.0447647969796341
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,C1QA,Complement C1q subcomponent subunit A,20955,143,3.84 [2.12-6.99],9.856427138409009e-06
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,C8B,Complement component C8 beta chain,18182,121,0.56 [0.32-0.97],0.038511863848708
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,C9,Complement component C9,18153,122,1.71 [1.18-2.48],0.0046602589521881
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CA12,Carbonic anhydrase 12,20760,143,1.72 [1.22-2.42],0.0017628277804004
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CA6,Carbonic anhydrase 6,20779,144,0.75 [0.60-0.95],0.0163070903678851
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CBLN4,Cerebellin-4,21016,143,0.41 [0.26-0.64],8.62273380448351e-05
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CCDC134,Coiled-coil domain-containing protein 134,18051,120,1.40 [1.03-1.89],0.0301745186961882
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CCL15,C-C motif chemokine 15,21104,148,1.38 [1.02-1.86],0.0382060847278887
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CCL20,C-C motif chemokine 20,21056,143,1.18 [1.02-1.37],0.0239850636098839
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD160,CD160 antigen,21056,143,1.40 [1.02-1.91],0.0345011059407508
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD1C,T-cell surface glycoprotein CD1c,20906,145,0.40 [0.24-0.65],0.0002916124851912
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD209,CD209 antigen,20898,146,0.52 [0.35-0.77],0.0010061721528755
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD274,Programmed cell death 1 ligand 1,20697,139,1.55 [1.09-2.21],0.0148617110495974
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD300E,CMRF35-like molecule 2,20937,143,1.51 [1.06-2.16],0.02200710726896
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD59,CD59 glycoprotein,20090,139,2.00 [1.08-3.70],0.0270695190012689
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CD6,T-cell differentiation antigen CD6,21024,143,0.74 [0.57-0.98],0.0322713958026387
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CDA,Cytidine deaminase,18109,122,0.60 [0.41-0.89],0.0106361420995532
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CDH3,Cadherin-3,21020,145,2.02 [1.40-2.90],0.0001531416247588
Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,CDON,Cell adhesion molecule-related/down-regulated by oncogenes,20883,141,0.52 [0.31-0.90],0.018379885887737
