Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,A1BG,Alpha-1B-glycoprotein,40274,3832,1.47 [1.23-1.77],2.755600770599911e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,AAMDC,Mth938 domain-containing protein,39147,3715,0.99 [0.93-1.05],0.6334612828002169
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,AARSD1,Alanyl-tRNA editing protein Aarsd1,46038,4411,1.00 [0.96-1.05],0.9218879282208864
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ABCA2,ATP-binding cassette sub-family A member 2,38913,3688,1.02 [0.94-1.12],0.6214071347850223
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ABHD14B,Protein ABHD14B,45746,4375,0.99 [0.94-1.04],0.6541285566829951
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ABL1,Tyrosine-protein kinase ABL1,46038,4411,1.05 [1.01-1.09],0.0097292359388549
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ABO,Histo-blood group ABO system transferase,40244,3821,0.99 [0.97-1.01],0.1968426812092992
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ABRAXAS2,BRISC complex subunit Abraxas 2,38913,3688,0.99 [0.95-1.04],0.8323418671154581
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",45179,4338,1.09 [1.05-1.12],6.290723829636267e-07
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",39487,3726,1.01 [0.96-1.05],0.8216327145174839
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",40202,3820,0.99 [0.96-1.03],0.6660110837175264
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACAN,Aggrecan core protein,45791,4396,0.97 [0.89-1.07],0.5928248071063589
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACE,Angiotensin-converting enzyme,40244,3821,0.96 [0.86-1.08],0.5078998555359842
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACE2,Angiotensin-converting enzyme 2,45374,4359,1.11 [1.06-1.17],1.9219614189436787e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACHE,Acetylcholinesterase,39316,3732,0.86 [0.78-0.95],0.0020607363699437
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACOT13,Acyl-coenzyme A thioesterase 13,40052,3794,1.00 [0.98-1.03],0.8833087275512008
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,46226,4447,0.98 [0.92-1.03],0.361286929869309
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACP1,Low molecular weight phosphotyrosine protein phosphatase,39057,3704,0.90 [0.84-0.96],0.0030542939078812
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACP5,Tartrate-resistant acid phosphatase type 5,46434,4457,1.10 [1.02-1.20],0.0163933147536719
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACP6,Lysophosphatidic acid phosphatase type 6,46573,4466,1.02 [0.98-1.06],0.4541436172756758
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACRBP,Acrosin-binding protein,40031,3793,1.08 [1.00-1.16],0.06491863594811
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACRV1,Acrosomal protein SP-10,39057,3704,1.01 [0.97-1.06],0.5740022588951352
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACSL1,Long-chain-fatty-acid--CoA ligase 1,38913,3688,1.04 [0.96-1.13],0.3481381479828614
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACTA2,"Actin, aortic smooth muscle",45374,4359,1.13 [1.06-1.19],4.9939458583408806e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACTN2,Alpha-actinin-2,38913,3688,1.02 [0.96-1.07],0.5512909552301637
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACTN4,Alpha-actinin-4,45360,4372,1.07 [0.99-1.16],0.0777140613321929
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACVRL1,Serine/threonine-protein kinase receptor R3,45811,4388,1.33 [1.20-1.48],1.340988288344364e-07
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACY1,Aminoacylase-1,46226,4447,1.04 [0.99-1.08],0.1117309307066108
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,38913,3688,1.07 [1.01-1.13],0.0248765957157074
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ACYP1,Acylphosphatase-1,39163,3718,1.01 [0.96-1.06],0.7585989776504151
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADA,Adenosine deaminase,46736,4476,1.05 [0.98-1.14],0.1619910774662665
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADA2,Adenosine deaminase 2,45959,4434,1.18 [1.11-1.26],1.1253974059078185e-07
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,39057,3704,1.10 [1.00-1.20],0.0429412191781962
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,45374,4359,0.97 [0.88-1.05],0.4263912014401471
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,45890,4396,1.04 [0.97-1.12],0.2775033298763444
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,46736,4476,0.99 [0.92-1.07],0.7948941756579878
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,46570,4477,1.15 [1.05-1.26],0.0028775690421352
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,40052,3794,1.20 [1.08-1.33],0.0005208301556712
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,39057,3704,1.04 [0.94-1.15],0.4515500830372952
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,46800,4498,0.71 [0.64-0.79],9.746563968351403e-10
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,46038,4411,1.13 [1.06-1.20],0.0001762312435509
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,45374,4359,1.07 [0.98-1.16],0.1148146978084164
