Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,A1BG,Alpha-1B-glycoprotein,35078,103,1.80 [0.60-5.45],0.2979678474326986
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,AAMDC,Mth938 domain-containing protein,34094,102,1.34 [0.95-1.89],0.0947628880917533
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,AARSD1,Alanyl-tRNA editing protein Aarsd1,40123,116,1.31 [0.99-1.73],0.0595619026120823
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ABCA2,ATP-binding cassette sub-family A member 2,33881,101,0.87 [0.50-1.50],0.6176435564964364
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ABHD14B,Protein ABHD14B,39878,113,1.22 [0.92-1.61],0.1735036183309935
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ABL1,Tyrosine-protein kinase ABL1,40123,116,1.26 [1.00-1.57],0.0478954232526448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ABO,Histo-blood group ABO system transferase,35053,104,0.94 [0.82-1.07],0.3240596627819475
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ABRAXAS2,BRISC complex subunit Abraxas 2,33881,101,1.23 [0.92-1.62],0.1570012405159215
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",39371,117,1.36 [1.14-1.63],0.0007539772666802
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",34402,103,1.07 [0.83-1.37],0.6216096453204191
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",35037,103,1.19 [0.98-1.45],0.0856013333236985
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACAN,Aggrecan core protein,39892,115,0.79 [0.44-1.42],0.4248350260064799
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACE,Angiotensin-converting enzyme,35053,104,2.04 [1.07-3.89],0.0296986164866965
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACE2,Angiotensin-converting enzyme 2,39542,117,2.08 [1.63-2.64],2.3876373167275936e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACHE,Acetylcholinesterase,34267,103,0.85 [0.47-1.54],0.5947951531306811
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACOT13,Acyl-coenzyme A thioesterase 13,34881,103,1.20 [1.01-1.41],0.0340899890831946
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,40266,116,1.06 [0.77-1.46],0.7078910143170086
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACP1,Low molecular weight phosphotyrosine protein phosphatase,33998,101,1.30 [0.89-1.91],0.177393216569699
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACP5,Tartrate-resistant acid phosphatase type 5,40455,118,1.27 [0.78-2.06],0.3311935242262501
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACP6,Lysophosphatidic acid phosphatase type 6,40592,118,1.11 [0.86-1.44],0.4070959351964015
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACRBP,Acrosin-binding protein,34873,102,1.44 [0.97-2.14],0.0738409398915387
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACRV1,Acrosomal protein SP-10,33998,101,0.99 [0.73-1.35],0.9584898479460252
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACSL1,Long-chain-fatty-acid--CoA ligase 1,33881,101,1.22 [0.78-1.92],0.3825606031478015
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACTA2,"Actin, aortic smooth muscle",39542,117,1.48 [1.13-1.94],0.0041095982703077
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACTN2,Alpha-actinin-2,33881,101,1.24 [0.91-1.68],0.176511855124796
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACTN4,Alpha-actinin-4,39560,114,0.78 [0.43-1.41],0.4081752327222127
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACVRL1,Serine/threonine-protein kinase receptor R3,39936,114,1.68 [0.86-3.28],0.1321679084370609
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACY1,Aminoacylase-1,40266,116,1.30 [1.01-1.67],0.045347999896864
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,33881,101,1.67 [1.24-2.26],0.000720292880983
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ACYP1,Acylphosphatase-1,34137,102,1.27 [0.96-1.68],0.0926250613465492
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ADA,Adenosine deaminase,40719,118,1.01 [0.63-1.60],0.9816837982916772
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ADA2,Adenosine deaminase 2,40024,117,1.29 [0.88-1.90],0.1885009446201129
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,33998,101,1.66 [1.19-2.33],0.0030949124104778
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Seronegative rheumatoid arthritis,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,39542,117,1.65 [0.97-2.80],0.0641008107557189
