Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Motor neuron disease,ART3,Ecto-ADP-ribosyltransferase 3,15939,151,0.52 [0.36-0.75],0.0004064810103933
Chapter VI Diseases of the nervous system,Motor neuron disease,CA3,Carbonic anhydrase 3,16031,153,1.48 [1.19-1.85],0.0004873455317876
Chapter VI Diseases of the nervous system,Motor neuron disease,CAPN3,Calpain-3,13832,140,1.63 [1.24-2.15],0.0004847512015749
Chapter VI Diseases of the nervous system,Motor neuron disease,CCL21,C-C motif chemokine 21,15929,152,1.66 [1.24-2.23],0.0007755460856556
Chapter VI Diseases of the nervous system,Motor neuron disease,CCL7,C-C motif chemokine 7,15861,150,1.46 [1.20-1.77],0.0001150545535654
Chapter VI Diseases of the nervous system,Motor neuron disease,CD276,CD276 antigen,15844,152,2.27 [1.47-3.50],0.0002013421458115
Chapter VI Diseases of the nervous system,Motor neuron disease,CSRP3,Cysteine and glycine-rich protein 3,13390,137,1.31 [1.15-1.49],3.1455982986659026e-05
Chapter VI Diseases of the nervous system,Motor neuron disease,DTNB,Dystrobrevin beta,13802,140,1.83 [1.36-2.47],7.109396086410397e-05
Chapter VI Diseases of the nervous system,Motor neuron disease,EDA2R,Tumor necrosis factor receptor superfamily member 27,16002,153,2.53 [1.81-3.54],6.29633708683027e-08
Chapter VI Diseases of the nervous system,Motor neuron disease,FABP3,"Fatty acid-binding protein, heart",13875,141,1.58 [1.21-2.07],0.000824560242081
Chapter VI Diseases of the nervous system,Motor neuron disease,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,16002,153,0.40 [0.24-0.68],0.0006893451921379
Chapter VI Diseases of the nervous system,Motor neuron disease,GFRA1,GDNF family receptor alpha-1,15985,151,2.37 [1.46-3.84],0.000491285224334
Chapter VI Diseases of the nervous system,Motor neuron disease,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,13470,137,2.33 [1.62-3.37],5.667308075252945e-06
Chapter VI Diseases of the nervous system,Motor neuron disease,HSPB6,Heat shock protein beta-6,16002,153,1.87 [1.35-2.59],0.0001483600014824
Chapter VI Diseases of the nervous system,Motor neuron disease,KLK14,Kallikrein-14,16002,153,1.64 [1.23-2.20],0.000736190233201
Chapter VI Diseases of the nervous system,Motor neuron disease,KLK4,Kallikrein-4,16002,153,1.43 [1.16-1.76],0.0006441911062724
Chapter VI Diseases of the nervous system,Motor neuron disease,MB,Myoglobin,16058,153,1.52 [1.21-1.92],0.0003200669599782
Chapter VI Diseases of the nervous system,Motor neuron disease,MEGF10,Multiple epidermal growth factor-like domains protein 10,15844,152,2.29 [1.60-3.26],4.915314535543705e-06
Chapter VI Diseases of the nervous system,Motor neuron disease,MMP8,Neutrophil collagenase,15990,151,1.37 [1.14-1.64],0.0007096357775298
Chapter VI Diseases of the nervous system,Motor neuron disease,MYBPC1,"Myosin-binding protein C, slow-type",13875,141,1.43 [1.19-1.72],0.0001635916816952
Chapter VI Diseases of the nervous system,Motor neuron disease,MYLPF,"Myosin regulatory light chain 2, skeletal muscle isoform",13517,140,1.60 [1.31-1.94],2.559038539633035e-06
Chapter VI Diseases of the nervous system,Motor neuron disease,NEFL,Neurofilament light polypeptide,15457,148,3.23 [2.79-3.75],3.7716300727915244e-54
Chapter VI Diseases of the nervous system,Motor neuron disease,RARRES2,Retinoic acid receptor responder protein 2,15965,151,1.51 [1.18-1.92],0.0008515658538475
Chapter VI Diseases of the nervous system,Motor neuron disease,RBFOX3,RNA binding protein fox-1 homolog 3,13847,143,1.84 [1.38-2.46],3.8775949885428514e-05
Chapter VI Diseases of the nervous system,Motor neuron disease,SFRP1,Secreted frizzled-related protein 1,15681,148,1.68 [1.25-2.25],0.0005564425924205
Chapter VI Diseases of the nervous system,Motor neuron disease,SYNGAP1,Ras/Rap GTPase-activating protein SynGAP,13429,137,1.42 [1.18-1.71],0.0001730642280418
Chapter VI Diseases of the nervous system,Motor neuron disease,TGFA,Protransforming growth factor alpha,15861,150,1.65 [1.25-2.19],0.0004758273165013
Chapter VI Diseases of the nervous system,Motor neuron disease,THBS4,Thrombospondin-4,15885,151,1.95 [1.43-2.66],2.7544883912074457e-05
