Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Generalized epilepsy,ACE2,Angiotensin-converting enzyme 2,22916,59,2.66 [1.94-3.63],9.163538253395507e-10
Chapter VI Diseases of the nervous system,Generalized epilepsy,AKR1B10,Aldo-keto reductase family 1 member B10,19699,52,1.66 [1.25-2.21],0.0005410468872183
Chapter VI Diseases of the nervous system,Generalized epilepsy,ALDH1A1,Retinal dehydrogenase 1,23354,59,1.82 [1.28-2.58],0.0008090751350253
Chapter VI Diseases of the nervous system,Generalized epilepsy,ANGPT2,Angiopoietin-2,23546,60,2.72 [1.62-4.54],0.0001423821901024
Chapter VI Diseases of the nervous system,Generalized epilepsy,ANPEP,Aminopeptidase N,23417,58,3.42 [1.73-6.79],0.0004294694428078
Chapter VI Diseases of the nervous system,Generalized epilepsy,AREG,Amphiregulin,23232,60,2.76 [1.83-4.18],1.429528610751128e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,B4GALT1,"Beta-1,4-galactosyltransferase 1",23424,59,3.78 [1.84-7.75],0.0002825380261438
Chapter VI Diseases of the nervous system,Generalized epilepsy,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",20237,51,2.43 [1.53-3.87],0.0001714208111815
Chapter VI Diseases of the nervous system,Generalized epilepsy,CA12,Carbonic anhydrase 12,23232,60,2.28 [1.42-3.67],0.0006831798093548
Chapter VI Diseases of the nervous system,Generalized epilepsy,CD14,Monocyte differentiation antigen CD14,22909,56,2.69 [1.66-4.37],6.370232853184343e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,CHI3L1,Chitinase-3-like protein 1,22848,57,1.57 [1.25-1.98],0.0001265222024764
Chapter VI Diseases of the nervous system,Generalized epilepsy,CLSTN2,Calsyntenin-2,23614,60,2.07 [1.35-3.19],0.0009312243627978
Chapter VI Diseases of the nervous system,Generalized epilepsy,COL4A1,Collagen alpha-1(IV) chain,23342,60,2.78 [1.70-4.55],4.3791767919250095e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,CPM,Carboxypeptidase M,23434,58,6.83 [4.03-11.56],8.749725175044014e-13
Chapter VI Diseases of the nervous system,Generalized epilepsy,CXADR,Coxsackievirus and adenovirus receptor,23316,59,2.01 [1.41-2.88],0.0001321273873017
Chapter VI Diseases of the nervous system,Generalized epilepsy,CXCL13,C-X-C motif chemokine 13,23552,60,1.74 [1.51-2.00],7.607766093971296e-15
Chapter VI Diseases of the nervous system,Generalized epilepsy,DGCR6,Protein DGCR6,19594,51,1.80 [1.29-2.53],0.0005893673498337
Chapter VI Diseases of the nervous system,Generalized epilepsy,DPEP2,Dipeptidase 2,23232,60,3.07 [1.64-5.75],0.0004797698845884
Chapter VI Diseases of the nervous system,Generalized epilepsy,FABP4,"Fatty acid-binding protein, adipocyte",23636,60,2.14 [1.46-3.14],9.829682525696554e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,FSTL1,Follistatin-related protein 1,19679,52,5.07 [2.71-9.50],4.081150518771503e-07
Chapter VI Diseases of the nervous system,Generalized epilepsy,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,23232,60,3.99 [1.96-8.11],0.0001314704918167
Chapter VI Diseases of the nervous system,Generalized epilepsy,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,20237,51,3.33 [1.69-6.56],0.0005210723421939
Chapter VI Diseases of the nervous system,Generalized epilepsy,GDF15,Growth/differentiation factor 15,23636,60,2.65 [1.98-3.56],6.16657293450143e-11
Chapter VI Diseases of the nervous system,Generalized epilepsy,GGT1,Glutathione hydrolase 1 proenzyme,23314,59,2.70 [2.02-3.59],1.334148362104334e-11
Chapter VI Diseases of the nervous system,Generalized epilepsy,HAVCR1,Hepatitis A virus cellular receptor 1,23510,60,1.90 [1.44-2.50],5.014477039493962e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,HYAL1,Hyaluronidase-1,23243,59,7.58 [3.88-14.80],2.926529725539096e-09
Chapter VI Diseases of the nervous system,Generalized epilepsy,IGFBP2,Insulin-like growth factor-binding protein 2,23602,60,2.02 [1.38-2.95],0.0003012350202257
Chapter VI Diseases of the nervous system,Generalized epilepsy,IGFBP7,Insulin-like growth factor-binding protein 7,23636,60,2.39 [1.58-3.61],3.457742470214044e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,IL18,Interleukin-18,23230,59,2.31 [1.54-3.47],5.229309539495362e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,IL1R2,Interleukin-1 receptor type 2,23266,58,11.10 [3.40-36.23],6.614546737059208e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,IL1RL1,Interleukin-1 receptor-like 1,23557,59,2.72 [1.69-4.37],3.714150799245051e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,LACRT,Extracellular glycoprotein lacritin,20128,50,1.77 [1.33-2.36],0.0001013886248919
Chapter VI Diseases of the nervous system,Generalized epilepsy,LAMP2,Lysosome-associated membrane glycoprotein 2,22627,55,10.28 [3.21-32.85],8.512405148982803e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,LAMP3,Lysosome-associated membrane glycoprotein 3,23575,59,2.07 [1.37-3.13],0.0005471274928733
Chapter VI Diseases of the nervous system,Generalized epilepsy,MERTK,Tyrosine-protein kinase Mer,23614,60,9.80 [4.63-20.75],2.447982959200872e-09
Chapter VI Diseases of the nervous system,Generalized epilepsy,MRC1,Macrophage mannose receptor 1,20262,52,4.83 [2.21-10.56],8.000814148976584e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,NCS1,Neuronal calcium sensor 1,23546,60,7.74 [3.98-15.04],1.623903686232686e-09
Chapter VI Diseases of the nervous system,Generalized epilepsy,NEFL,Neurofilament light polypeptide,22755,58,2.38 [1.75-3.23],3.426332854226055e-08
Chapter VI Diseases of the nervous system,Generalized epilepsy,NOS3,"Nitric oxide synthase, endothelial",22824,58,1.82 [1.43-2.33],1.43314219762663e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,NT5C1A,Cytosolic 5'-nucleotidase 1A,20190,51,2.16 [1.37-3.41],0.0008900698499144
Chapter VI Diseases of the nervous system,Generalized epilepsy,PALM2,Paralemmin-2,20190,51,2.28 [1.41-3.67],0.0007116082150748
Chapter VI Diseases of the nervous system,Generalized epilepsy,PDCD1LG2,Programmed cell death 1 ligand 2,23232,60,3.00 [1.63-5.51],0.0004051336839834
Chapter VI Diseases of the nervous system,Generalized epilepsy,PIGR,Polymeric immunoglobulin receptor,23049,57,3.65 [2.29-5.81],4.767823755469482e-08
Chapter VI Diseases of the nervous system,Generalized epilepsy,PILRA,Paired immunoglobulin-like type 2 receptor alpha,23354,59,2.61 [1.51-4.51],0.0005836633477467
Chapter VI Diseases of the nervous system,Generalized epilepsy,PKD2,Polycystin-2,19551,48,1.89 [1.39-2.57],4.587075080027015e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,PRSS8,Prostasin,23231,58,2.97 [1.81-4.86],1.679509945864328e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,PVR,Poliovirus receptor,23552,60,2.44 [1.49-4.02],0.0004199338519015
Chapter VI Diseases of the nervous system,Generalized epilepsy,RAB6A,Ras-related protein Rab-6A,23316,59,0.39 [0.24-0.64],0.0001649925360673
Chapter VI Diseases of the nervous system,Generalized epilepsy,RPL14,60S ribosomal protein L14,19679,52,2.27 [1.59-3.24],6.8451939527429896e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,SEZ6L2,Seizure 6-like protein 2,23232,60,4.93 [2.87-8.45],6.656982368789053e-09
Chapter VI Diseases of the nervous system,Generalized epilepsy,SHBG,Sex hormone-binding globulin,20262,52,4.54 [2.50-8.24],6.850005972019825e-07
Chapter VI Diseases of the nervous system,Generalized epilepsy,SPINT1,Kunitz-type protease inhibitor 1,23269,59,3.52 [2.06-6.00],3.958263504906264e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,SPON1,Spondin-1,23344,59,2.58 [1.51-4.42],0.0005654716411826
Chapter VI Diseases of the nervous system,Generalized epilepsy,SULT2A1,Bile salt sulfotransferase,23316,59,1.64 [1.24-2.17],0.0004537090492388
Chapter VI Diseases of the nervous system,Generalized epilepsy,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,23451,59,2.32 [1.42-3.79],0.0007337451910696
Chapter VI Diseases of the nervous system,Generalized epilepsy,TIMP4,Metalloproteinase inhibitor 4,23354,59,2.92 [1.84-4.62],5.028726807801673e-06
Chapter VI Diseases of the nervous system,Generalized epilepsy,TNC,Tenascin,23451,59,2.11 [1.35-3.27],0.0009459655614719
Chapter VI Diseases of the nervous system,Generalized epilepsy,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,23141,60,2.44 [1.61-3.70],2.454037378759437e-05
Chapter VI Diseases of the nervous system,Generalized epilepsy,TNFRSF11B,Tumor necrosis factor receptor superfamily member 11B,23308,59,4.44 [2.52-7.82],2.3622921503998255e-07
Chapter VI Diseases of the nervous system,Generalized epilepsy,TNFSF11,Tumor necrosis factor ligand superfamily member 11,23316,59,0.40 [0.28-0.58],1.2138080539172353e-06
