Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Inguinal hernia,ACP5,Tartrate-resistant acid phosphatase type 5,19865,1643,0.79 [0.70-0.91],0.000689130513163
Chapter XI Diseases of the digestive system,Inguinal hernia,ANGPTL7,Angiopoietin-related protein 7,19967,1642,0.80 [0.70-0.90],0.0002586955835021
Chapter XI Diseases of the digestive system,Inguinal hernia,ANPEP,Aminopeptidase N,19838,1641,0.64 [0.54-0.76],4.260833981658545e-07
Chapter XI Diseases of the digestive system,Inguinal hernia,AOC3,Membrane primary amine oxidase,19866,1642,0.67 [0.58-0.78],1.278381897391565e-07
Chapter XI Diseases of the digestive system,Inguinal hernia,ASPN,Asporin,17165,1402,0.71 [0.58-0.86],0.0006285426435729
Chapter XI Diseases of the digestive system,Inguinal hernia,B4GAT1,"Beta-1,4-glucuronyltransferase 1",19788,1638,0.60 [0.50-0.71],1.7742086562224215e-08
Chapter XI Diseases of the digestive system,Inguinal hernia,BCAM,Basal cell adhesion molecule,19788,1638,0.72 [0.60-0.87],0.0005714652136503
Chapter XI Diseases of the digestive system,Inguinal hernia,C1QA,Complement C1q subcomponent subunit A,19917,1641,1.47 [1.22-1.79],7.815554860803526e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,CBLN4,Cerebellin-4,19967,1642,0.70 [0.61-0.81],7.37453439873517e-07
Chapter XI Diseases of the digestive system,Inguinal hernia,CDHR2,Cadherin-related family member 2,19688,1614,0.86 [0.81-0.93],2.460011179119943e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,CES1,Liver carboxylesterase 1,19838,1639,0.90 [0.85-0.95],0.0002176854126461
Chapter XI Diseases of the digestive system,Inguinal hernia,CNTN1,Contactin-1,20032,1653,0.67 [0.57-0.78],2.9465920040511704e-07
Chapter XI Diseases of the digestive system,Inguinal hernia,CNTN5,Contactin-5,19839,1631,0.80 [0.71-0.91],0.0003772719949168
Chapter XI Diseases of the digestive system,Inguinal hernia,CTSV,Cathepsin L2,19885,1634,0.80 [0.72-0.90],0.0001368630344961
Chapter XI Diseases of the digestive system,Inguinal hernia,CXCL16,C-X-C motif chemokine 16,19995,1652,0.69 [0.57-0.84],0.0001444665840627
Chapter XI Diseases of the digestive system,Inguinal hernia,DDR1,Epithelial discoidin domain-containing receptor 1,19963,1648,0.72 [0.59-0.87],0.0008804960228946
Chapter XI Diseases of the digestive system,Inguinal hernia,DPP4,Dipeptidyl peptidase 4,19418,1611,0.67 [0.57-0.79],1.1766311968468809e-06
Chapter XI Diseases of the digestive system,Inguinal hernia,EGFR,Epidermal growth factor receptor,20032,1653,0.52 [0.40-0.67],1.1729964088707026e-06
Chapter XI Diseases of the digestive system,Inguinal hernia,ENG,Endoglin,20032,1653,0.63 [0.49-0.82],0.0004485748765429
Chapter XI Diseases of the digestive system,Inguinal hernia,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,20032,1653,0.69 [0.57-0.83],7.838551904837729e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,ERBB2,Receptor tyrosine-protein kinase erbB-2,19834,1630,0.68 [0.57-0.82],3.4081567087718616e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,ERBB3,Receptor tyrosine-protein kinase erbB-3,19675,1616,0.65 [0.52-0.82],0.0002290385775199
Chapter XI Diseases of the digestive system,Inguinal hernia,FAP,Prolyl endopeptidase FAP,20032,1653,0.72 [0.61-0.84],4.679320147328583e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,HYAL1,Hyaluronidase-1,19694,1623,0.69 [0.57-0.84],0.0002208625058874
Chapter XI Diseases of the digestive system,Inguinal hernia,IGSF3,Immunoglobulin superfamily member 3,19688,1614,0.75 [0.66-0.87],7.106470337340967e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,IGSF9,Protein turtle homolog A,17165,1402,0.87 [0.82-0.93],1.7787069748843804e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,IL1R2,Interleukin-1 receptor type 2,19712,1618,0.66 [0.53-0.83],0.0002575377162183
Chapter XI Diseases of the digestive system,Inguinal hernia,INSL3,Insulin-like 3,17130,1399,1.11 [1.05-1.18],0.0002681798749313
Chapter XI Diseases of the digestive system,Inguinal hernia,ITGB1,Integrin beta-1,19764,1637,0.68 [0.55-0.85],0.0005981053757453
Chapter XI Diseases of the digestive system,Inguinal hernia,LEFTY2,Left-right determination factor 2,19944,1640,0.83 [0.76-0.91],2.255943791624145e-05
Chapter XI Diseases of the digestive system,Inguinal hernia,LEP,Leptin,19780,1631,0.87 [0.81-0.92],4.9773359892388e-06
Chapter XI Diseases of the digestive system,Inguinal hernia,LRRN1,Leucine-rich repeat neuronal protein 1,19428,1612,0.74 [0.67-0.83],1.549403572057967e-07
Chapter XI Diseases of the digestive system,Inguinal hernia,MASP1,Mannan-binding lectin serine protease 1,19593,1617,0.72 [0.60-0.87],0.0008782819369819
Chapter XI Diseases of the digestive system,Inguinal hernia,MCAM,Cell surface glycoprotein MUC18,19866,1642,0.78 [0.68-0.90],0.0004938575021182
Chapter XI Diseases of the digestive system,Inguinal hernia,MEGF9,Multiple epidermal growth factor-like domains protein 9,19960,1649,0.64 [0.51-0.81],0.0001637776191379
Chapter XI Diseases of the digestive system,Inguinal hernia,MXRA8,Matrix remodeling-associated protein 8,16784,1377,0.70 [0.59-0.83],3.289796618607148e-05
