Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Pollen allergy,ANKRA2,Ankyrin repeat family A protein 2,19829,202,0.69 [0.52-0.90],0.0063930987627743
Chapter X Diseases of the respiratory system,Pollen allergy,CDKL5,Cyclin-dependent kinase-like 5,19892,203,0.65 [0.47-0.90],0.0086375442361197
Chapter X Diseases of the respiratory system,Pollen allergy,DDX53,Probable ATP-dependent RNA helicase DDX53,20001,200,1.49 [1.12-1.98],0.0057494466704029
Chapter X Diseases of the respiratory system,Pollen allergy,DEFB103A_DEFB103B,Beta-defensin 103,19796,198,1.49 [1.18-1.88],0.0007061404544359
Chapter X Diseases of the respiratory system,Pollen allergy,DSG4,Desmoglein-4,23526,229,0.71 [0.56-0.91],0.0055495333208873
Chapter X Diseases of the respiratory system,Pollen allergy,GNPDA2,Glucosamine-6-phosphate isomerase 2,20085,199,1.63 [1.15-2.30],0.0056576906753057
Chapter X Diseases of the respiratory system,Pollen allergy,H2AP,Huntingtin-interacting protein M,19829,202,1.35 [1.15-1.59],0.0003062266264077
Chapter X Diseases of the respiratory system,Pollen allergy,HTR1B,5-hydroxytryptamine receptor 1B,19892,203,0.59 [0.40-0.86],0.0063638163146629
Chapter X Diseases of the respiratory system,Pollen allergy,IL17C,Interleukin-17C,23301,225,0.75 [0.62-0.91],0.0031759297523947
Chapter X Diseases of the respiratory system,Pollen allergy,IL36A,Interleukin-36 alpha,19944,199,0.63 [0.46-0.86],0.003544873275731
Chapter X Diseases of the respiratory system,Pollen allergy,LCP1,Plastin-2,20555,207,0.65 [0.48-0.88],0.004833955022014
Chapter X Diseases of the respiratory system,Pollen allergy,MTPN,Myotrophin,23283,231,1.48 [1.12-1.95],0.0059593677584167
Chapter X Diseases of the respiratory system,Pollen allergy,OMP,Olfactory marker protein,19892,203,0.55 [0.38-0.78],0.0009621440758954
Chapter X Diseases of the respiratory system,Pollen allergy,PCARE,Photoreceptor cilium actin regulator,19892,203,0.69 [0.54-0.87],0.0019329125282452
Chapter X Diseases of the respiratory system,Pollen allergy,PDGFRB,Platelet-derived growth factor receptor beta,24012,234,1.68 [1.19-2.36],0.0029129047330658
Chapter X Diseases of the respiratory system,Pollen allergy,PI3,Elafin,23408,227,0.71 [0.56-0.90],0.0043823993820917
