Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACAN,Aggrecan core protein,18169,1447,1.64 [1.38-1.94],1.6679979191238732e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACE2,Angiotensin-converting enzyme 2,18000,1426,1.09 [1.00-1.18],0.0420361480558491
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACP6,Lysophosphatidic acid phosphatase type 6,18494,1474,1.09 [1.02-1.17],0.0151628480003604
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACTA2,"Actin, aortic smooth muscle",18000,1426,1.16 [1.05-1.28],0.0041202002246958
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACTN2,Alpha-actinin-2,15368,1187,1.24 [1.14-1.34],2.689239602461899e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACVRL1,Serine/threonine-protein kinase receptor R3,18160,1440,1.27 [1.06-1.53],0.0110567226345577
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ACY1,Aminoacylase-1,18346,1461,0.93 [0.86-1.00],0.0460482135616522
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15422,1200,1.28 [1.09-1.50],0.0028471278678558
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,15855,1231,1.32 [1.11-1.58],0.0020344727246704
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,18569,1478,0.82 [0.68-0.99],0.0376266161437445
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18400,1464,0.80 [0.72-0.88],1.0750008198498845e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADAMTSL5,ADAMTS-like protein 5,15902,1234,1.17 [1.02-1.33],0.0234138387328986
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADGRD1,Adhesion G-protein coupled receptor D1,15546,1207,1.18 [1.03-1.36],0.0175046544519999
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADGRG2,Adhesion G-protein coupled receptor G2,18346,1461,1.61 [1.35-1.92],8.60875171423239e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADH1B,All-trans-retinol dehydrogenase,15546,1207,0.91 [0.84-0.98],0.0085204626823293
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,ADIPOQ,Adiponectin,15917,1243,1.12 [1.04-1.22],0.0035142462277995
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AFM,Afamin,15917,1243,0.67 [0.52-0.88],0.0039657956513643
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AFP,Alpha-fetoprotein,18122,1438,0.88 [0.81-0.95],0.0007255403022633
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AGR2,Anterior gradient protein 2 homolog,17839,1416,1.08 [1.03-1.13],0.0029528345849284
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AGR3,Anterior gradient protein 3,17894,1417,1.16 [1.08-1.25],0.0001077303586434
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,AGRP,Agouti-related protein,18569,1478,1.19 [1.09-1.31],0.0001623532638543
