Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,23479,54,3.49 [2.08-5.86],2.159394193425081e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,AMIGO2,Amphoterin-induced protein 2,23193,50,6.43 [3.18-12.99],2.1324568765509137e-07
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,ANGPT1,Angiopoietin-1,23217,53,0.54 [0.41-0.71],7.026913206705956e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,B2M,Beta-2-microglobulin,20227,43,3.37 [2.97-3.82],4.0414884831014726e-80
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,BDNF,Brain-derived neurotrophic factor,20208,43,0.50 [0.37-0.68],9.49431464018316e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,C1QA,Complement C1q subcomponent subunit A,23469,52,5.19 [2.56-10.54],5.213883857307236e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CCL13,C-C motif chemokine 13,23546,53,0.42 [0.29-0.60],3.734707512538954e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CCN2,CCN family member 2,23278,53,0.35 [0.22-0.56],9.244194623824584e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CD244,Natural killer cell receptor 2B4,23580,53,5.15 [2.80-9.46],1.313997669050373e-07
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CD72,B-cell differentiation antigen CD72,19746,43,3.64 [2.43-5.47],4.256555685089233e-10
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CD74,HLA class II histocompatibility antigen gamma chain,23515,54,3.62 [2.05-6.37],8.587573370108985e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CD79B,B-cell antigen receptor complex-associated protein beta chain,23580,53,2.37 [1.64-3.44],5.455368400001113e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CDH6,Cadherin-6,23310,53,3.04 [1.98-4.68],4.276335972321812e-07
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CNTNAP2,Contactin-associated protein-like 2,23285,51,2.83 [1.85-4.33],1.5994726287768367e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,CTSL,Cathepsin L1,23310,53,5.74 [2.65-12.43],9.188970783356743e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,DSC2,Desmocollin-2,23037,53,3.64 [2.11-6.30],3.665750036158204e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,EDAR,Tumor necrosis factor receptor superfamily member EDAR,23285,51,0.49 [0.36-0.66],3.3190024188890843e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",23193,50,4.44 [2.42-8.14],1.4107746123162212e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,ICAM2,Intercellular adhesion molecule 2,23602,54,5.66 [2.68-11.94],5.2621929787053175e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,IL18BP,Interleukin-18-binding protein,23417,54,3.95 [2.17-7.21],7.510558414748326e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,23193,50,3.69 [2.13-6.41],3.5444137005483925e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,KLRK1,NKG2-D type II integral membrane protein,20154,42,2.26 [1.62-3.15],1.5970245043410388e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,LGALS1,Galectin-1,23310,53,3.49 [2.12-5.73],8.19802591773755e-07
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,MAMDC2,MAM domain-containing protein 2,20200,43,4.27 [2.34-7.77],2.07811216165749e-06
Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,PCDH17,Protocadherin-17,23310,53,3.06 [2.10-4.47],6.2184712295614105e-09
