Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ACVRL1,Serine/threonine-protein kinase receptor R3,22682,670,2.28 [1.80-2.88],7.0987146172222295e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ADA2,Adenosine deaminase 2,22814,679,1.63 [1.41-1.88],3.3801919615940545e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ADM,Pro-adrenomedullin,23119,682,2.45 [1.89-3.18],1.7647821685124295e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AGRN,Agrin,23006,681,1.82 [1.54-2.13],4.43441269230051e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ALCAM,CD166 antigen,23217,688,2.62 [1.89-3.63],6.388015671170305e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AMBP,Protein AMBP,23084,682,2.88 [2.09-3.97],1.1459464430907164e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ANGPT2,Angiopoietin-2,23119,682,1.81 [1.54-2.14],1.5587091078561477e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AREG,Amphiregulin,22815,673,1.93 [1.67-2.22],5.0292530745153105e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ASGR1,Asialoglycoprotein receptor 1,22722,672,1.96 [1.61-2.39],2.537668910551468e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ATRAID,All-trans retinoic acid-induced differentiation factor,19795,574,1.71 [1.47-1.99],5.695084983273063e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,B2M,Beta-2-microglobulin,19880,579,1.54 [1.35-1.76],1.2391397770036152e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,B4GALT1,"Beta-1,4-galactosyltransferase 1",23006,681,2.13 [1.69-2.68],9.8179615383059e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BAMBI,BMP and activin membrane-bound inhibitor homolog,22392,657,1.87 [1.54-2.28],5.08189247240282e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BSG,Basigin,23154,681,2.91 [2.14-3.96],8.628831265964903e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BST2,Bone marrow stromal antigen 2,23132,682,1.39 [1.24-1.55],6.898618204696701e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BTN2A1,Butyrophilin subfamily 2 member A1,23006,681,2.24 [1.80-2.79],6.330926401913827e-13
