Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic asthma (mode),A1BG,Alpha-1B-glycoprotein,13504,89,1.37 [0.40-4.68],0.6127305390503744
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AAMDC,Mth938 domain-containing protein,13113,87,1.44 [0.99-2.10],0.0586973346150997
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AARSD1,Alanyl-tRNA editing protein Aarsd1,15480,105,1.49 [1.11-2.00],0.0078306723280878
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ABCA2,ATP-binding cassette sub-family A member 2,13037,87,2.04 [1.31-3.17],0.0017179297147013
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ABHD14B,Protein ABHD14B,15359,106,1.31 [0.97-1.76],0.0756672120542304
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ABL1,Tyrosine-protein kinase ABL1,15480,105,1.07 [0.84-1.38],0.579103707942269
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ABO,Histo-blood group ABO system transferase,13510,90,1.06 [0.92-1.22],0.4187124264308104
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ABRAXAS2,BRISC complex subunit Abraxas 2,13037,87,1.28 [0.95-1.72],0.1060093844976522
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",15203,101,1.20 [0.98-1.48],0.0834379204862439
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",13260,87,0.97 [0.71-1.33],0.8694332316699502
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",13503,91,1.16 [0.93-1.44],0.1874654806226678
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACAN,Aggrecan core protein,15375,100,0.57 [0.29-1.09],0.0899255186266364
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACE,Angiotensin-converting enzyme,13510,90,1.23 [0.58-2.63],0.5898062033915935
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACE2,Angiotensin-converting enzyme 2,15277,102,1.30 [0.96-1.76],0.0845937136647946
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACHE,Acetylcholinesterase,13189,86,1.14 [0.61-2.11],0.6860862295609079
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACOT13,Acyl-coenzyme A thioesterase 13,13446,91,1.19 [1.00-1.41],0.0561351982489675
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,15548,104,1.06 [0.75-1.49],0.7417575378579988
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACP1,Low molecular weight phosphotyrosine protein phosphatase,13104,86,1.46 [1.03-2.09],0.0356823056703731
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACP5,Tartrate-resistant acid phosphatase type 5,15626,106,1.20 [0.71-2.01],0.5006716753077347
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACP6,Lysophosphatidic acid phosphatase type 6,15670,104,1.01 [0.78-1.32],0.9193257821777928
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACRBP,Acrosin-binding protein,13446,92,1.47 [0.98-2.22],0.065545237708354
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACRV1,Acrosomal protein SP-10,13104,86,0.90 [0.72-1.11],0.3133014501907016
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACSL1,Long-chain-fatty-acid--CoA ligase 1,13037,87,0.99 [0.55-1.77],0.9648451407013552
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACTA2,"Actin, aortic smooth muscle",15277,102,1.15 [0.77-1.71],0.4908782799858694
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACTN2,Alpha-actinin-2,13037,87,1.39 [1.07-1.80],0.0125728665546931
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACTN4,Alpha-actinin-4,15291,100,0.49 [0.24-1.01],0.0516628207371947
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACVRL1,Serine/threonine-protein kinase receptor R3,15386,106,1.31 [0.63-2.70],0.4695957811652098
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACY1,Aminoacylase-1,15548,104,1.31 [1.00-1.72],0.0538388784667128
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,13037,87,1.37 [0.97-1.94],0.0707410875080878
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ACYP1,Acylphosphatase-1,13148,85,1.45 [1.08-1.97],0.0150602694549917
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADA,Adenosine deaminase,15744,107,1.06 [0.67-1.70],0.79466773987854
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADA2,Adenosine deaminase 2,15484,105,1.07 [0.71-1.61],0.7610742499106329
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,13104,86,1.04 [0.54-1.98],0.9127772331158184
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,15277,102,1.11 [0.63-1.96],0.7189772451323875
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,15411,106,0.62 [0.38-1.01],0.0545381149789013
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,15744,107,0.91 [0.56-1.48],0.6985174307680999
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,15670,107,1.31 [0.72-2.36],0.3780672431598377
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,13446,91,1.40 [0.73-2.70],0.3102023837015943
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,13104,86,0.75 [0.37-1.51],0.4140230867628351
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,15755,107,0.84 [0.40-1.74],0.6346397358166895
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,15480,105,1.26 [0.82-1.96],0.2963794193635092
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,15277,102,0.78 [0.42-1.45],0.4323775434385603
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,13104,86,1.14 [0.65-2.00],0.6448973211187442
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,15596,102,0.59 [0.41-0.87],0.0080171208881348
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTSL2,ADAMTS-like protein 2,13503,91,1.57 [0.89-2.76],0.1204918004627731
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTSL4,ADAMTS-like protein 4,13113,87,0.78 [0.33-1.85],0.5782628297757684
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADAMTSL5,ADAMTS-like protein 5,13503,91,0.63 [0.38-1.03],0.0672309570267492
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,15203,101,0.97 [0.56-1.66],0.9097599252650038
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADD1,Alpha-adducin,13189,86,1.31 [0.98-1.75],0.0695132193444133
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRB3,Adhesion G protein-coupled receptor B3,15386,106,0.77 [0.45-1.31],0.3376608989865958
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRD1,Adhesion G-protein coupled receptor D1,13189,86,1.49 [0.91-2.45],0.1119159813081464
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRE1,Adhesion G protein-coupled receptor E1,13446,91,0.96 [0.65-1.40],0.8206701555921987
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRE2,Adhesion G protein-coupled receptor E2,15608,104,1.17 [0.63-2.18],0.6146043694927213
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRE5,Adhesion G protein-coupled receptor E5,15679,106,1.10 [0.62-1.94],0.7476005785151484
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRF5,Adhesion G protein-coupled receptor F5,13503,91,1.56 [0.73-3.33],0.2532238091074428
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRG1,Adhesion G-protein coupled receptor G1,15480,105,1.09 [0.89-1.34],0.3864113002619199
Chapter X Diseases of the respiratory system,Allergic asthma (mode),ADGRG2,Adhesion G-protein coupled receptor G2,15548,104,0.55 [0.34-0.88],0.0127847904676531
