Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,A1BG,Alpha-1B-glycoprotein,19992,148,2.28 [0.88-5.93],0.0903965663452849
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,AAMDC,Mth938 domain-containing protein,19418,141,1.10 [0.81-1.49],0.5422640947628543
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,AARSD1,Alanyl-tRNA editing protein Aarsd1,22931,178,1.12 [0.88-1.42],0.3494783989882317
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ABCA2,ATP-binding cassette sub-family A member 2,19286,143,1.31 [0.84-2.03],0.2275059764600979
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ABHD14B,Protein ABHD14B,22771,176,1.03 [0.81-1.31],0.8282675935353749
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ABL1,Tyrosine-protein kinase ABL1,22931,178,1.16 [0.96-1.40],0.116092924089054
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ABO,Histo-blood group ABO system transferase,19991,149,1.06 [0.95-1.18],0.2702003482043962
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ABRAXAS2,BRISC complex subunit Abraxas 2,19286,143,0.97 [0.76-1.24],0.8163001763616061
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",22496,165,1.29 [1.11-1.51],0.0011378254237454
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",19612,143,1.11 [0.91-1.37],0.3010293594423328
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",19970,148,1.02 [0.86-1.21],0.832919218493011
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACAN,Aggrecan core protein,22803,177,1.24 [0.76-2.01],0.3892821602844621
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACE,Angiotensin-converting enzyme,19991,149,1.38 [0.78-2.44],0.2634677184005345
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACE2,Angiotensin-converting enzyme 2,22613,169,1.17 [0.93-1.48],0.1793446925283527
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACHE,Acetylcholinesterase,19516,145,0.84 [0.53-1.35],0.4820789272008492
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACOT13,Acyl-coenzyme A thioesterase 13,19903,147,1.02 [0.89-1.18],0.7294825947851087
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,23038,178,1.27 [1.00-1.62],0.050771464211934
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACP1,Low molecular weight phosphotyrosine protein phosphatase,19377,139,0.71 [0.48-1.04],0.0797548800427061
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACP5,Tartrate-resistant acid phosphatase type 5,23133,177,1.08 [0.73-1.60],0.7050222959144319
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACP6,Lysophosphatidic acid phosphatase type 6,23212,178,1.03 [0.84-1.26],0.7950913389897828
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACRBP,Acrosin-binding protein,19895,147,0.99 [0.67-1.48],0.964831749112556
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACRV1,Acrosomal protein SP-10,19377,139,1.07 [0.92-1.25],0.3912583571715475
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACSL1,Long-chain-fatty-acid--CoA ligase 1,19286,143,1.24 [0.83-1.84],0.2916447671365435
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACTA2,"Actin, aortic smooth muscle",22613,169,0.93 [0.67-1.29],0.6713398484566973
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACTN2,Alpha-actinin-2,19286,143,1.07 [0.84-1.37],0.5992062315058864
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACTN4,Alpha-actinin-4,22644,177,1.11 [0.75-1.65],0.5917539500262583
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACVRL1,Serine/threonine-protein kinase receptor R3,22796,176,1.92 [1.19-3.08],0.007553574416394
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACY1,Aminoacylase-1,23038,178,1.21 [0.99-1.48],0.0602880784682367
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,19286,143,1.16 [0.88-1.53],0.2819922759988649
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ACYP1,Acylphosphatase-1,19450,145,1.10 [0.86-1.40],0.4526140742345974
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADA,Adenosine deaminase,23310,180,0.94 [0.65-1.35],0.7187604906225735
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADA2,Adenosine deaminase 2,22919,175,1.29 [0.96-1.73],0.0906852867755397
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19377,139,1.46 [0.95-2.25],0.0873865332817785
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,22613,169,1.23 [0.80-1.89],0.3528889910072631
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,22839,176,1.36 [0.95-1.95],0.0919127948607433
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,23310,180,1.23 [0.84-1.81],0.291725989925577
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,23211,179,1.01 [0.65-1.57],0.9692518375098174
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,19903,147,1.35 [0.82-2.24],0.2436429411951986
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,19377,139,1.33 [0.83-2.12],0.2301520221111879
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,23322,180,1.21 [0.69-2.11],0.5020749398897035
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,22931,178,1.28 [0.93-1.77],0.126583732090348
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,22613,169,1.46 [1.11-1.93],0.0076470256218642
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,19377,139,1.07 [0.69-1.66],0.766315741409525
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,23101,177,1.13 [0.84-1.51],0.4207181140461042
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTSL2,ADAMTS-like protein 2,19976,148,1.44 [0.95-2.19],0.0842613474063221
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTSL4,ADAMTS-like protein 4,19418,141,1.14 [0.58-2.21],0.7043273672990304
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADAMTSL5,ADAMTS-like protein 5,19970,148,1.07 [0.73-1.57],0.7390098391285146
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,22496,165,1.15 [0.81-1.63],0.4427346718613848
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADD1,Alpha-adducin,19516,145,1.01 [0.81-1.28],0.8996498375892812
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRB3,Adhesion G protein-coupled receptor B3,22796,176,0.97 [0.65-1.45],0.8974700628721508
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRD1,Adhesion G-protein coupled receptor D1,19516,145,1.22 [0.84-1.77],0.2922469431001517
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRE1,Adhesion G protein-coupled receptor E1,19903,147,1.24 [0.93-1.64],0.1397865810478611
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRE2,Adhesion G protein-coupled receptor E2,23119,178,1.27 [0.81-2.01],0.2964113480243867
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRE5,Adhesion G protein-coupled receptor E5,23213,179,0.88 [0.58-1.36],0.5711973852824411
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRF5,Adhesion G protein-coupled receptor F5,19970,148,1.19 [0.66-2.12],0.5670661795107512
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRG1,Adhesion G-protein coupled receptor G1,22931,178,0.97 [0.82-1.13],0.6729527157695163
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRG2,Adhesion G-protein coupled receptor G2,23038,178,1.13 [0.69-1.84],0.6384003516695482
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADGRV1,Adhesion G-protein coupled receptor V1,19328,140,0.92 [0.71-1.18],0.5186048725810207
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADH1B,All-trans-retinol dehydrogenase,19516,145,1.12 [0.92-1.38],0.2558841962398216
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,22613,169,1.17 [0.99-1.38],0.0588132681727656
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADIPOQ,Adiponectin,19992,148,0.71 [0.56-0.89],0.0027249251073632
Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,ADM,Pro-adrenomedullin,23237,179,1.57 [0.95-2.60],0.079766564930671
