Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ABCA2,ATP-binding cassette sub-family A member 2,20448,176,1.94 [1.42-2.66],3.554080311549815e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",23760,208,1.33 [1.17-1.52],2.098383052117848e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACE2,Angiotensin-converting enzyme 2,23929,212,2.03 [1.70-2.42],5.3474788829556e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACP5,Tartrate-resistant acid phosphatase type 5,24442,219,2.34 [1.68-3.27],6.060405487667044e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACTA2,"Actin, aortic smooth muscle",23929,212,1.83 [1.56-2.16],3.498738237822853e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACVRL1,Serine/threonine-protein kinase receptor R3,24170,213,6.70 [4.40-10.20],7.872209632246452e-19
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ACY1,Aminoacylase-1,24348,220,1.47 [1.24-1.74],1.0187510778637204e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADA2,Adenosine deaminase 2,24192,219,2.23 [1.73-2.86],4.1162022645601426e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,20528,178,1.89 [1.59-2.24],4.4283163475233413e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,24559,217,2.63 [1.85-3.74],6.762968271252029e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,21044,182,3.33 [2.49-4.45],4.496255258060459e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,24251,216,2.42 [1.79-3.27],8.187305384431057e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,24419,217,0.61 [0.47-0.78],9.824484134710478e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADAMTSL2,ADAMTS-like protein 2,21113,182,4.31 [3.21-5.78],2.3041098141089023e-22
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADGRB3,Adhesion G protein-coupled receptor B3,24170,213,2.68 [1.88-3.81],4.058144546412845e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADGRD1,Adhesion G-protein coupled receptor D1,20659,177,2.05 [1.49-2.81],1.0189045889660765e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADGRE1,Adhesion G protein-coupled receptor E1,21044,182,1.65 [1.30-2.10],3.8263272559071215e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADGRG1,Adhesion G-protein coupled receptor G1,24251,216,1.66 [1.46-1.88],8.332191811670298e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ADM,Pro-adrenomedullin,24572,220,12.08 [7.70-18.94],1.8237186731154e-27
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AGR2,Anterior gradient protein 2 homolog,23602,209,1.34 [1.19-1.50],1.2151863613954132e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AGRN,Agrin,24464,222,3.74 [2.93-4.78],5.1249640696799184e-26
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AGXT,Serine--pyruvate aminotransferase,24348,220,1.42 [1.24-1.63],3.931367677368778e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AKR7L,Aflatoxin B1 aldehyde reductase member 4,20528,178,1.42 [1.21-1.67],2.1810618373776568e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ALCAM,CD166 antigen,24659,221,6.19 [3.65-10.50],1.406542906489988e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",24299,217,1.33 [1.16-1.52],3.647061631032615e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ALPP,"Alkaline phosphatase, placental type",24251,216,1.27 [1.15-1.41],4.48828183369783e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AMBP,Protein AMBP,24542,220,11.63 [6.48-20.89],2.1813109974258823e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANG,Angiogenin,24266,219,2.12 [1.57-2.86],1.0444571463680706e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANGPT2,Angiopoietin-2,24572,220,3.80 [2.91-4.96],9.476709769627662e-23
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANGPTL1,Angiopoietin-related protein 1,23992,214,2.60 [1.75-3.86],2.4865907223647803e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANGPTL2,Angiopoietin-related protein 2,24383,220,1.83 [1.37-2.45],3.95750898125688e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANGPTL4,Angiopoietin-related protein 4,24426,222,2.43 [1.87-3.14],1.505974614585611e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANGPTL7,Angiopoietin-related protein 7,24572,220,2.25 [1.76-2.89],1.5572044454749064e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANPEP,Aminopeptidase N,24383,220,2.27 [1.55-3.31],2.178417260379429e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,ANXA10,Annexin A10,23794,211,1.41 [1.24-1.59],6.714188260840455e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,AOC3,Membrane primary amine oxidase,24426,220,2.79 [1.92-4.04],6.016145947215758e-08
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,APOA2,Apolipoprotein A-II,21143,183,2.06 [1.56-2.73],4.709645657358853e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,APOA4,Apolipoprotein A-IV,21145,184,1.85 [1.40-2.46],1.555233242306083e-05
