Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",23960,408,1.33 [1.21-1.47],1.594852265120416e-09
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ACE2,Angiotensin-converting enzyme 2,24128,411,1.71 [1.49-1.97],3.9812750863685814e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ACP6,Lysophosphatidic acid phosphatase type 6,24745,425,1.40 [1.21-1.61],6.139480060480313e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ACTA2,"Actin, aortic smooth muscle",24128,411,1.58 [1.38-1.82],4.149687764212186e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ACVRL1,Serine/threonine-protein kinase receptor R3,24370,413,5.41 [3.94-7.44],2.300427581195947e-25
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADA2,Adenosine deaminase 2,24392,419,1.85 [1.53-2.24],3.090373479797834e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,20698,348,1.69 [1.44-1.99],2.4129037897728225e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,24759,417,1.88 [1.41-2.50],1.5802591079426024e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,21221,359,2.53 [1.95-3.26],1.4063117008167854e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,24452,417,1.68 [1.35-2.08],2.861425324924509e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADAMTSL2,ADAMTS-like protein 2,21298,367,3.09 [2.41-3.94],2.1789100846297854e-19
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADGRB3,Adhesion G protein-coupled receptor B3,24370,413,1.95 [1.51-2.52],3.688126435640625e-07
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADGRE5,Adhesion G protein-coupled receptor E5,24724,421,1.74 [1.33-2.28],4.688924821220348e-05
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADGRG1,Adhesion G-protein coupled receptor G1,24452,417,1.66 [1.51-1.83],1.1014070529313915e-24
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADGRG2,Adhesion G-protein coupled receptor G2,24548,420,0.56 [0.45-0.71],1.629989285638702e-06
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,ADM,Pro-adrenomedullin,24779,427,5.35 [3.85-7.46],2.98299659385791e-23
"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,AGR2,Anterior gradient protein 2 homolog,23801,408,1.26 [1.16-1.37],1.067196407536929e-07
