Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,24924,174,1.51 [1.20-1.91],0.0004651920371707
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],APOA1,Apolipoprotein A-I,21648,153,2.28 [1.65-3.14],5.167494256042405e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],APOA2,Apolipoprotein A-II,21643,154,1.92 [1.42-2.60],2.533967073476453e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],APOC1,Apolipoprotein C-I,21602,153,1.92 [1.39-2.65],7.244695120017584e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],APOF,Apolipoprotein F,21643,154,5.49 [2.38-12.66],6.533425166304309e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],APOM,Apolipoprotein M,24961,172,3.18 [2.00-5.07],1.06565609238171e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],BPIFB1,BPI fold-containing family B member 1,24878,174,1.54 [1.25-1.91],5.796927844819535e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,21533,150,0.63 [0.52-0.76],7.380389663848345e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CHI3L1,Chitinase-3-like protein 1,24330,168,1.35 [1.15-1.58],0.0002331522151605
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CKB,Creatine kinase B-type,21602,151,1.71 [1.30-2.24],0.0001062995897613
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CXCL11,C-X-C motif chemokine 11,25160,177,1.29 [1.12-1.50],0.0006699177429218
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CXCL8,Interleukin-8,24717,169,1.34 [1.15-1.57],0.0002355725264626
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],CXCL9,C-X-C motif chemokine 9,25030,173,1.37 [1.17-1.62],0.0001514244505006
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],FBN2,Fibrillin-2,21003,150,1.48 [1.19-1.84],0.0004278045125599
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,21617,154,0.60 [0.47-0.75],1.196687296964989e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],FGL1,Fibrinogen-like protein 1,21643,154,1.73 [1.37-2.18],5.201000612174267e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],GHR,Growth hormone receptor,21127,151,0.38 [0.22-0.66],0.0005995164754855
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],IGFBP1,Insulin-like growth factor-binding protein 1,25182,175,1.27 [1.14-1.41],1.8927553184320125e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],IGFBP2,Insulin-like growth factor-binding protein 2,25183,175,1.69 [1.34-2.12],6.704145298012819e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],IL32,Interleukin-32,24902,172,1.61 [1.22-2.13],0.0008554459216503
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,24990,172,2.03 [1.42-2.89],9.66479839357188e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],KLK4,Kallikrein-4,25144,175,1.49 [1.23-1.80],5.2065686072780886e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],LGMN,Legumain,25030,173,1.85 [1.30-2.62],0.0005619985283395
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],MDK,Midkine,24894,173,1.42 [1.16-1.75],0.0007874333773426
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],MSTN,Growth/differentiation factor 8,24467,169,0.63 [0.49-0.82],0.0005431640962602
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],PLA2G15,Phospholipase A2 group XV,24977,173,2.30 [1.43-3.68],0.0005631539731232
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],RTN4R,Reticulon-4 receptor,25144,175,0.43 [0.29-0.65],6.265358956448425e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],SMAD3,Mothers against decapentaplegic homolog 3,21518,150,1.59 [1.21-2.09],0.0008222000116187
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],SSC4D,Scavenger receptor cysteine-rich domain-containing group B protein,24897,174,0.67 [0.59-0.77],2.037715109754525e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],TIMP4,Metalloproteinase inhibitor 4,24911,176,1.86 [1.38-2.50],4.546098423005978e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],TPP1,Tripeptidyl-peptidase 1,24734,171,1.57 [1.24-2.00],0.0002231030206339
