Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Memory loss,ACE2,Angiotensin-converting enzyme 2,27683,73,1.76 [1.28-2.40],0.0004160194841828
Chapter VI Diseases of the nervous system,Memory loss,ANXA10,Annexin A10,27518,73,1.43 [1.16-1.77],0.0009115587463742
Chapter VI Diseases of the nervous system,Memory loss,ASGR1,Asialoglycoprotein receptor 1,27994,75,3.03 [1.74-5.26],8.70007721782405e-05
Chapter VI Diseases of the nervous system,Memory loss,CCL7,C-C motif chemokine 7,28168,74,1.55 [1.25-1.93],8.155014356490087e-05
Chapter VI Diseases of the nervous system,Memory loss,CD4,T-cell surface glycoprotein CD4,28122,74,2.04 [1.38-3.03],0.000386664015452
Chapter VI Diseases of the nervous system,Memory loss,CDCP1,CUB domain-containing protein 1,27994,75,1.76 [1.27-2.44],0.0007007254738613
Chapter VI Diseases of the nervous system,Memory loss,FGL1,Fibrinogen-like protein 1,24516,68,2.00 [1.43-2.79],4.357811042497332e-05
Chapter VI Diseases of the nervous system,Memory loss,GGT1,Glutathione hydrolase 1 proenzyme,28127,74,1.99 [1.47-2.69],8.769481240045211e-06
Chapter VI Diseases of the nervous system,Memory loss,HPGDS,Hematopoietic prostaglandin D synthase,27501,73,0.35 [0.20-0.60],0.0001713423994382
Chapter VI Diseases of the nervous system,Memory loss,IL17C,Interleukin-17C,27665,75,1.50 [1.19-1.89],0.0007195984289161
Chapter VI Diseases of the nervous system,Memory loss,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,27665,75,2.53 [1.66-3.84],1.4764769575128127e-05
Chapter VI Diseases of the nervous system,Memory loss,LRRC25,Leucine-rich repeat-containing protein 25,28061,75,2.12 [1.51-2.96],1.2327014026428828e-05
Chapter VI Diseases of the nervous system,Memory loss,LY96,Lymphocyte antigen 96,27994,75,2.10 [1.38-3.18],0.0005101877454217
Chapter VI Diseases of the nervous system,Memory loss,NEFL,Neurofilament light polypeptide,27428,73,1.82 [1.28-2.59],0.0009455062699163
Chapter VI Diseases of the nervous system,Memory loss,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3",27665,75,1.64 [1.25-2.15],0.0003376023384004
Chapter VI Diseases of the nervous system,Memory loss,OPTC,Opticin,28061,75,1.65 [1.24-2.20],0.0006021377627714
Chapter VI Diseases of the nervous system,Memory loss,PTN,Pleiotrophin,27683,73,1.77 [1.28-2.46],0.0005417140544546
Chapter VI Diseases of the nervous system,Memory loss,PTP4A3,Protein tyrosine phosphatase type IVA 3,23795,67,1.74 [1.28-2.36],0.000344993471657
