Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Dental caries,A1BG,Alpha-1B-glycoprotein,23916,233,2.59 [1.26-5.34],0.0097729102991775
Chapter XI Diseases of the digestive system,Dental caries,ACVRL1,Serine/threonine-protein kinase receptor R3,27245,263,1.94 [1.26-2.99],0.0025250432959376
Chapter XI Diseases of the digestive system,Dental caries,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,23201,230,1.37 [1.09-1.72],0.0066157859847472
Chapter XI Diseases of the digestive system,Dental caries,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",27312,270,1.16 [1.05-1.28],0.0031971524131461
Chapter XI Diseases of the digestive system,Dental caries,ALDH2,"Aldehyde dehydrogenase, mitochondrial",23761,234,1.28 [1.07-1.55],0.0086221331990147
Chapter XI Diseases of the digestive system,Dental caries,ANGPT2,Angiopoietin-2,27724,272,1.43 [1.10-1.87],0.0076347071449948
Chapter XI Diseases of the digestive system,Dental caries,ANXA5,Annexin A5,26737,262,1.70 [1.22-2.36],0.0016628645479586
Chapter XI Diseases of the digestive system,Dental caries,AREG,Amphiregulin,27362,270,1.57 [1.29-1.90],4.917287170889058e-06
Chapter XI Diseases of the digestive system,Dental caries,ARG1,Arginase-1,27340,268,0.73 [0.60-0.90],0.0027389112577046
Chapter XI Diseases of the digestive system,Dental caries,ARHGAP5,Rho GTPase-activating protein 5,23035,223,1.29 [1.12-1.49],0.000402503102877
Chapter XI Diseases of the digestive system,Dental caries,ASGR1,Asialoglycoprotein receptor 1,27293,263,1.59 [1.13-2.25],0.0084504062587606
Chapter XI Diseases of the digestive system,Dental caries,ASGR2,Asialoglycoprotein receptor 2,23905,232,1.85 [1.17-2.94],0.0091174322387211
Chapter XI Diseases of the digestive system,Dental caries,ATF2,Cyclic AMP-dependent transcription factor ATF-2,26832,264,1.25 [1.12-1.39],7.156679183546601e-05
Chapter XI Diseases of the digestive system,Dental caries,ATOX1,Copper transport protein ATOX1,27540,270,1.26 [1.08-1.46],0.0031115656679654
Chapter XI Diseases of the digestive system,Dental caries,B2M,Beta-2-microglobulin,23916,233,1.51 [1.25-1.82],2.513195654528639e-05
Chapter XI Diseases of the digestive system,Dental caries,BAX,Apoptosis regulator BAX,26781,263,1.19 [1.06-1.34],0.0027721439673069
Chapter XI Diseases of the digestive system,Dental caries,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,23201,230,1.44 [1.13-1.84],0.003126872662283
Chapter XI Diseases of the digestive system,Dental caries,BST2,Bone marrow stromal antigen 2,27735,271,1.31 [1.11-1.54],0.0010787208957732
Chapter XI Diseases of the digestive system,Dental caries,C1QA,Complement C1q subcomponent subunit A,27668,268,1.84 [1.18-2.88],0.0075463779023619
Chapter XI Diseases of the digestive system,Dental caries,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,27552,273,1.42 [1.13-1.80],0.002952444993965
Chapter XI Diseases of the digestive system,Dental caries,C2,Complement C2,27517,273,2.07 [1.24-3.47],0.0054431200779349
Chapter XI Diseases of the digestive system,Dental caries,C3,Complement C3,22704,223,1.38 [1.12-1.70],0.0025596025569062
Chapter XI Diseases of the digestive system,Dental caries,C4BPB,C4b-binding protein beta chain,27540,270,1.43 [1.11-1.85],0.00606966930264
Chapter XI Diseases of the digestive system,Dental caries,C9,Complement component C9,23905,232,1.41 [1.11-1.79],0.0048958895607098
Chapter XI Diseases of the digestive system,Dental caries,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,27643,271,1.15 [1.03-1.27],0.0093836197501884
Chapter XI Diseases of the digestive system,Dental caries,CANT1,Soluble calcium-activated nucleotidase 1,27412,268,2.09 [1.23-3.53],0.0061209753425205
Chapter XI Diseases of the digestive system,Dental caries,CASP4,Caspase-4,23435,231,1.11 [1.04-1.18],0.0020375731662365
Chapter XI Diseases of the digestive system,Dental caries,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,27293,263,1.22 [1.06-1.40],0.0043579800945871
Chapter XI Diseases of the digestive system,Dental caries,CCL16,C-C motif chemokine 16,27812,272,1.33 [1.09-1.63],0.0058255840163626
Chapter XI Diseases of the digestive system,Dental caries,CCL18,C-C motif chemokine 18,27079,268,1.22 [1.08-1.37],0.0013182135880214
Chapter XI Diseases of the digestive system,Dental caries,CCL20,C-C motif chemokine 20,27809,271,1.19 [1.07-1.33],0.0019046816152339
Chapter XI Diseases of the digestive system,Dental caries,CCL22,C-C motif chemokine 22,27164,266,1.51 [1.24-1.83],3.248762566581965e-05
Chapter XI Diseases of the digestive system,Dental caries,CCL24,C-C motif chemokine 24,27552,273,0.84 [0.73-0.95],0.0076350640140972
Chapter XI Diseases of the digestive system,Dental caries,CCL7,C-C motif chemokine 7,27463,266,1.29 [1.11-1.50],0.0008845049980868
Chapter XI Diseases of the digestive system,Dental caries,CCN4,CCN family member 4,27724,272,1.40 [1.09-1.79],0.0078829095736722
Chapter XI Diseases of the digestive system,Dental caries,CD27,CD27 antigen,27540,270,1.44 [1.11-1.86],0.0055515686060317
Chapter XI Diseases of the digestive system,Dental caries,CD300A,CMRF35-like molecule 8,23341,226,2.20 [1.46-3.32],0.0001724788707688
Chapter XI Diseases of the digestive system,Dental caries,CD300C,CMRF35-like molecule 6,27735,271,1.51 [1.12-2.04],0.0071634015480429
Chapter XI Diseases of the digestive system,Dental caries,CD300E,CMRF35-like molecule 2,27638,272,1.80 [1.41-2.31],3.627175964108619e-06
Chapter XI Diseases of the digestive system,Dental caries,CD4,T-cell surface glycoprotein CD4,27419,266,1.70 [1.35-2.13],5.599184686913368e-06
Chapter XI Diseases of the digestive system,Dental caries,CD40,Tumor necrosis factor receptor superfamily member 5,27454,271,1.34 [1.10-1.63],0.0035103419127975
Chapter XI Diseases of the digestive system,Dental caries,CD74,HLA class II histocompatibility antigen gamma chain,27735,271,1.69 [1.25-2.27],0.0005417284970315
Chapter XI Diseases of the digestive system,Dental caries,CD79B,B-cell antigen receptor complex-associated protein beta chain,27809,271,1.45 [1.15-1.84],0.0017312415203661
Chapter XI Diseases of the digestive system,Dental caries,CD83,CD83 antigen,27463,266,1.55 [1.14-2.09],0.004511016066755
Chapter XI Diseases of the digestive system,Dental caries,CDC25A,M-phase inducer phosphatase 1,23035,223,1.37 [1.09-1.72],0.0080432402347897
Chapter XI Diseases of the digestive system,Dental caries,CDCP1,CUB domain-containing protein 1,27293,263,1.30 [1.07-1.58],0.0087589063648635
Chapter XI Diseases of the digestive system,Dental caries,CDH2,Cadherin-2,27482,269,1.76 [1.32-2.36],0.0001313558326587
Chapter XI Diseases of the digestive system,Dental caries,CFB,Complement factor B,23475,232,1.79 [1.23-2.62],0.0023667463479914
Chapter XI Diseases of the digestive system,Dental caries,CFH,Complement factor H,22535,226,2.08 [1.22-3.54],0.0068366005417793
Chapter XI Diseases of the digestive system,Dental caries,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",23811,233,1.54 [1.18-2.00],0.0014898306245023
Chapter XI Diseases of the digestive system,Dental caries,CHGA,Chromogranin-A,23874,233,1.23 [1.08-1.41],0.0022431906169265
Chapter XI Diseases of the digestive system,Dental caries,CLEC3B,Tetranectin,23366,229,0.31 [0.17-0.55],7.24676678112482e-05
Chapter XI Diseases of the digestive system,Dental caries,CLEC4D,C-type lectin domain family 4 member D,27463,266,1.31 [1.11-1.54],0.0013169778406749
Chapter XI Diseases of the digestive system,Dental caries,CLEC5A,C-type lectin domain family 5 member A,27382,267,1.67 [1.18-2.37],0.0038146534756702
Chapter XI Diseases of the digestive system,Dental caries,CNDP1,Beta-Ala-His dipeptidase,27552,273,0.69 [0.56-0.86],0.0006170923865176
Chapter XI Diseases of the digestive system,Dental caries,CNTN1,Contactin-1,27812,272,0.52 [0.35-0.77],0.0010142475821693
Chapter XI Diseases of the digestive system,Dental caries,CNTN5,Contactin-5,27552,271,0.64 [0.47-0.86],0.0030131885868135
Chapter XI Diseases of the digestive system,Dental caries,COL18A1,Collagen alpha-1(XVIII) chain,27563,268,2.19 [1.38-3.46],0.0008424638448594
Chapter XI Diseases of the digestive system,Dental caries,COL6A3,Collagen alpha-3(VI) chain,27812,272,1.61 [1.19-2.17],0.0018836736208187
Chapter XI Diseases of the digestive system,Dental caries,COL9A1,Collagen alpha-1(IX) chain,27463,266,0.70 [0.53-0.91],0.0088633003278674
Chapter XI Diseases of the digestive system,Dental caries,COLEC12,Collectin-12,27453,273,1.81 [1.21-2.71],0.0042263867668651
Chapter XI Diseases of the digestive system,Dental caries,COPB2,Coatomer subunit beta',23123,227,1.44 [1.12-1.86],0.0051376322892553
Chapter XI Diseases of the digestive system,Dental caries,CRTAC1,Cartilage acidic protein 1,27812,272,0.63 [0.45-0.88],0.0067376812340816
Chapter XI Diseases of the digestive system,Dental caries,CSF1,Macrophage colony-stimulating factor 1,27593,273,2.00 [1.39-2.89],0.0002128355542434
Chapter XI Diseases of the digestive system,Dental caries,CST3,Cystatin-C,27506,273,1.92 [1.34-2.76],0.0003471767030527
