Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Oesophageal obstruction,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,19648,132,6.81 [4.26-10.88],1.1930489058905673e-15
Chapter XI Diseases of the digestive system,Oesophageal obstruction,ATG16L1,Autophagy-related protein 16-1,19672,131,0.31 [0.25-0.38],8.670649141148545e-28
Chapter XI Diseases of the digestive system,Oesophageal obstruction,EPGN,Epigen,19648,132,3.42 [2.97-3.93],2.5980584321972227e-66
Chapter XI Diseases of the digestive system,Oesophageal obstruction,GPIHBP1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,19672,131,10.28 [4.60-22.97],1.3561101950993384e-08
Chapter XI Diseases of the digestive system,Oesophageal obstruction,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,19648,132,4.78 [3.47-6.58],8.511183068862359e-22
Chapter XI Diseases of the digestive system,Oesophageal obstruction,MAMDC4,Apical endosomal glycoprotein,19648,132,2.34 [1.80-3.04],2.0388827837079863e-10
Chapter XI Diseases of the digestive system,Oesophageal obstruction,MPRIP,Myosin phosphatase Rho-interacting protein,19614,132,7.55 [6.18-9.22],1.6369905208997375e-87
Chapter XI Diseases of the digestive system,Oesophageal obstruction,PCSK7,Proprotein convertase subtilisin/kexin type 7,19648,132,3.04 [2.36-3.91],5.122781946650207e-18
Chapter XI Diseases of the digestive system,Oesophageal obstruction,PRC1,Protein regulator of cytokinesis 1,19648,132,3.06 [2.62-3.58],9.259579969220632e-45
Chapter XI Diseases of the digestive system,Oesophageal obstruction,RCC1,Regulator of chromosome condensation,19648,132,4.25 [3.58-5.05],6.566036418221614e-61
Chapter XI Diseases of the digestive system,Oesophageal obstruction,S100A3,Protein S100-A3,19648,132,2.94 [2.72-3.18],9.041962236886064e-163
Chapter XI Diseases of the digestive system,Oesophageal obstruction,SMNDC1,Survival of motor neuron-related-splicing factor 30,19672,131,28.87 [12.95-64.37],2.0656711095248343e-16
Chapter XI Diseases of the digestive system,Oesophageal obstruction,TARS1,"Threonine--tRNA ligase 1, cytoplasmic",19648,132,6.07 [4.59-8.03],1.5481591796372007e-36
Chapter XI Diseases of the digestive system,Oesophageal obstruction,TSPAN8,Tetraspanin-8,19672,131,45.05 [25.23-80.44],6.347513484553432e-38
Chapter XI Diseases of the digestive system,Oesophageal obstruction,ZNF830,Zinc finger protein 830,19648,132,6.09 [5.19-7.15],4.125723769885205e-108
