Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of pancreas,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,23024,77,49.38 [16.56-147.25],2.6329270824436284e-12
Chapter XI Diseases of the digestive system,Other diseases of pancreas,BCL7B,B-cell CLL/lymphoma 7 protein family member B,23003,76,14.37 [9.38-22.03],2.0141815883929033e-34
Chapter XI Diseases of the digestive system,Other diseases of pancreas,BST2,Bone marrow stromal antigen 2,26882,86,1.88 [1.51-2.33],1.5159187694625138e-08
Chapter XI Diseases of the digestive system,Other diseases of pancreas,C9orf40,Uncharacterized protein C9orf40,23024,77,4.57 [3.52-5.94],5.056011411798905e-30
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD101,Immunoglobulin superfamily member 2,23024,77,5.27 [4.19-6.63],1.557759709063225e-45
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD86,T-lymphocyte activation antigen CD86,23024,77,7.85 [4.28-14.39],2.8071715795624222e-11
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CWC15,Spliceosome-associated protein CWC15 homolog,22902,77,3.15 [2.19-4.52],4.931195300744913e-10
Chapter XI Diseases of the digestive system,Other diseases of pancreas,GDF15,Growth/differentiation factor 15,26958,88,2.04 [1.61-2.58],2.3404437544961383e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,GFRA1,GDNF family receptor alpha-1,26832,87,5.53 [3.08-9.93],1.06421268946963e-08
Chapter XI Diseases of the digestive system,Other diseases of pancreas,GPD1,Glycerol-3-phosphate dehydrogenase,23003,76,3.55 [2.76-4.57],4.805923651537517e-23
Chapter XI Diseases of the digestive system,Other diseases of pancreas,GPHA2,Glycoprotein hormone alpha-2,23024,77,8.28 [4.49-15.25],1.2080605720145308e-11
Chapter XI Diseases of the digestive system,Other diseases of pancreas,GPIHBP1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,23024,77,6.58 [3.31-13.11],8.130755848094492e-08
Chapter XI Diseases of the digestive system,Other diseases of pancreas,HAVCR1,Hepatitis A virus cellular receptor 1,26835,87,2.27 [1.80-2.85],1.914638819111857e-12
Chapter XI Diseases of the digestive system,Other diseases of pancreas,LMNB1,Lamin-B1,22978,77,6.55 [5.36-7.99],9.524158426502796e-76
Chapter XI Diseases of the digestive system,Other diseases of pancreas,LTB,Lymphotoxin-beta,23003,76,3.38 [2.26-5.05],2.920771081705741e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,NCR3LG1,Natural cytotoxicity triggering receptor 3 ligand 1,23024,77,11.00 [7.34-16.49],3.198510180380363e-31
Chapter XI Diseases of the digestive system,Other diseases of pancreas,NUDT16,U8 snoRNA-decapping enzyme,22988,77,3.45 [2.46-4.84],7.561081082375052e-13
Chapter XI Diseases of the digestive system,Other diseases of pancreas,PCDHB15,Protocadherin beta-15,23003,76,4.80 [3.58-6.43],1.2674382889053695e-25
Chapter XI Diseases of the digestive system,Other diseases of pancreas,PSAPL1,Proactivator polypeptide-like 1,23024,77,23.77 [11.62-48.60],3.8733830491402585e-18
Chapter XI Diseases of the digestive system,Other diseases of pancreas,RBP7,Retinoid-binding protein 7,23024,77,4.87 [3.68-6.43],8.600234211230193e-29
Chapter XI Diseases of the digestive system,Other diseases of pancreas,SERPINI2,Serpin I2,23024,77,8.03 [5.09-12.65],2.8255481374830435e-19
Chapter XI Diseases of the digestive system,Other diseases of pancreas,SSNA1,Sjoegren syndrome nuclear autoantigen 1,23024,77,11.54 [6.30-21.14],2.4847074452297105e-15
Chapter XI Diseases of the digestive system,Other diseases of pancreas,TADA3,Transcriptional adapter 3,23003,76,8.17 [5.61-11.91],8.327387396298057e-28
Chapter XI Diseases of the digestive system,Other diseases of pancreas,TOP1,DNA topoisomerase 1,23024,77,3.20 [2.54-4.03],2.964014930924526e-23
Chapter XI Diseases of the digestive system,Other diseases of pancreas,VSIG2,V-set and immunoglobulin domain-containing protein 2,23003,76,12.38 [9.32-16.45],2.0237728329262834e-67
