Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic rhinitis,A1BG,Alpha-1B-glycoprotein,24536,281,1.26 [0.65-2.42],0.4939472936434581
Chapter X Diseases of the respiratory system,Allergic rhinitis,AAMDC,Mth938 domain-containing protein,23825,277,0.91 [0.73-1.13],0.4102411415591662
Chapter X Diseases of the respiratory system,Allergic rhinitis,AARSD1,Alanyl-tRNA editing protein Aarsd1,28059,316,1.01 [0.85-1.21],0.8997744651788506
Chapter X Diseases of the respiratory system,Allergic rhinitis,ABCA2,ATP-binding cassette sub-family A member 2,23716,272,0.92 [0.66-1.27],0.605674822043043
Chapter X Diseases of the respiratory system,Allergic rhinitis,ABHD14B,Protein ABHD14B,27892,314,1.15 [0.97-1.36],0.1111163242733885
Chapter X Diseases of the respiratory system,Allergic rhinitis,ABL1,Tyrosine-protein kinase ABL1,28059,316,1.16 [1.01-1.33],0.0320245513451128
Chapter X Diseases of the respiratory system,Allergic rhinitis,ABO,Histo-blood group ABO system transferase,24524,284,1.06 [0.98-1.14],0.1569905785900484
Chapter X Diseases of the respiratory system,Allergic rhinitis,ABRAXAS2,BRISC complex subunit Abraxas 2,23716,272,1.07 [0.90-1.27],0.4441211082286741
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",27497,308,1.05 [0.93-1.18],0.4418678997106893
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",24045,283,0.98 [0.83-1.16],0.7990318150953648
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",24500,282,1.10 [0.97-1.24],0.1469314430177402
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACAN,Aggrecan core protein,27931,315,1.10 [0.77-1.56],0.6061096933618171
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACE,Angiotensin-converting enzyme,24524,284,1.09 [0.70-1.70],0.6892833391194216
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACE2,Angiotensin-converting enzyme 2,27680,317,1.09 [0.90-1.33],0.3711898728720346
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACHE,Acetylcholinesterase,23955,279,0.79 [0.55-1.13],0.2017536596319509
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACOT13,Acyl-coenzyme A thioesterase 13,24401,284,1.07 [0.97-1.18],0.2060660408290029
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,28188,319,1.27 [1.06-1.53],0.0097652178111741
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACP1,Low molecular weight phosphotyrosine protein phosphatase,23803,275,0.87 [0.67-1.14],0.3184316396189567
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACP5,Tartrate-resistant acid phosphatase type 5,28288,322,1.19 [0.88-1.59],0.256068130554648
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACP6,Lysophosphatidic acid phosphatase type 6,28400,321,1.03 [0.88-1.19],0.7459188876301858
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACRBP,Acrosin-binding protein,24384,283,1.14 [0.86-1.50],0.3766651521401689
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACRV1,Acrosomal protein SP-10,23803,275,1.03 [0.88-1.20],0.7340716713715384
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACSL1,Long-chain-fatty-acid--CoA ligase 1,23716,272,0.76 [0.52-1.09],0.1314962155893048
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACTA2,"Actin, aortic smooth muscle",27680,317,0.74 [0.57-0.96],0.0217824597560362
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACTN2,Alpha-actinin-2,23716,272,0.94 [0.77-1.14],0.5141592381230432
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACTN4,Alpha-actinin-4,27659,312,0.73 [0.50-1.05],0.0910118028502471
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACVRL1,Serine/threonine-protein kinase receptor R3,27941,314,1.06 [0.68-1.63],0.8061270654999897
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACY1,Aminoacylase-1,28188,319,1.14 [0.97-1.33],0.1041341991414467
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,23716,272,0.86 [0.70-1.06],0.1656928200291331
Chapter X Diseases of the respiratory system,Allergic rhinitis,ACYP1,Acylphosphatase-1,23864,277,1.01 [0.85-1.20],0.9268846724846675
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADA,Adenosine deaminase,28521,321,0.89 [0.67-1.17],0.3969640185025572
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADA2,Adenosine deaminase 2,28001,320,1.09 [0.86-1.39],0.461762439744152
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,23803,275,0.83 [0.58-1.18],0.2995740846677123
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,27680,317,0.75 [0.54-1.04],0.086284376845639
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,27990,315,0.96 [0.72-1.28],0.8030070315063911
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,28521,321,0.96 [0.73-1.26],0.7508516376227095
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,28410,320,1.11 [0.78-1.57],0.5744177604447194
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,24401,284,1.04 [0.71-1.52],0.8418008823799231
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,23803,275,0.70 [0.48-1.04],0.0772408195883257
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,28533,325,1.16 [0.76-1.79],0.4894180049943725
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,28059,316,1.02 [0.81-1.27],0.8813142704532907
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,27680,317,0.83 [0.59-1.17],0.2908497247839886
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,23803,275,0.97 [0.71-1.33],0.8505641272067297
Chapter X Diseases of the respiratory system,Allergic rhinitis,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,28251,319,0.92 [0.74-1.14],0.4474502266912727
