Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,AGR2,Anterior gradient protein 2 homolog,14235,60,1.64 [1.34-2.02],2.187077041224388e-06
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,CALCB,Calcitonin gene-related peptide 2,12875,52,2.03 [1.43-2.89],8.802627150554044e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,CD99L2,CD99 antigen-like protein 2,14681,62,4.81 [2.18-10.57],9.55891473492326e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,COL18A1,Collagen alpha-1(XVIII) chain,14759,59,6.25 [2.54-15.35],6.421620166146662e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,DSC2,Desmocollin-2,14533,60,2.79 [1.80-4.32],4.408548093500383e-06
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,EFNA1,Ephrin-A1,14657,62,3.95 [2.23-7.01],2.6039979231484334e-06
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,GGT5,Glutathione hydrolase 5 proenzyme,14532,61,4.97 [2.68-9.21],3.43029148039704e-07
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,IGFBP4,Insulin-like growth factor-binding protein 4,14486,61,2.25 [1.55-3.26],1.8851166919720064e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,NOP56,Nucleolar protein 56,12455,53,1.37 [1.19-1.58],1.5100873913599363e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,NT5C1A,Cytosolic 5'-nucleotidase 1A,12875,52,2.26 [1.52-3.36],6.123110311976241e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,14532,61,2.95 [1.98-4.38],8.848930488839704e-08
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,PIGR,Polymeric immunoglobulin receptor,14476,62,3.13 [1.82-5.41],4.064582026194927e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,REG4,Regenerating islet-derived protein 4,14697,61,2.33 [1.60-3.41],1.2309800082423604e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,SPINK1,Serine protease inhibitor Kazal-type 1,14681,62,2.26 [1.51-3.39],8.374458945996496e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,TFF3,Trefoil factor 3,14686,59,2.05 [1.43-2.93],9.813329392752432e-05
Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,14532,61,2.18 [1.53-3.12],1.7981139005867712e-05
