Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],ADA2,Adenosine deaminase 2,22905,79,2.12 [1.43-3.16],0.0002116018790921
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,23161,80,2.57 [1.47-4.51],0.0009604877558874
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],AGRN,Agrin,23116,80,2.60 [1.73-3.90],4.132826356850321e-06
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],ANGPTL4,Angiopoietin-related protein 4,23075,79,2.44 [1.58-3.77],5.468500449324484e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],AREG,Amphiregulin,22909,76,2.05 [1.41-2.99],0.0001939972683335
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],B2M,Beta-2-microglobulin,20053,74,1.81 [1.35-2.41],5.919007498826564e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],BAMBI,BMP and activin membrane-bound inhibitor homolog,22504,72,2.62 [1.53-4.48],0.0004577632611992
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],C1QA,Complement C1q subcomponent subunit A,23139,79,5.05 [2.43-10.47],1.3524631271733296e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD27,CD27 antigen,23111,80,2.35 [1.61-3.42],9.636218275145904e-06
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD300A,CMRF35-like molecule 8,19602,71,4.23 [2.24-8.00],8.891613846788333e-06
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD300C,CMRF35-like molecule 6,23203,81,2.60 [1.59-4.24],0.0001286859226777
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD300E,CMRF35-like molecule 2,23127,79,2.14 [1.42-3.21],0.0002498723567258
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD302,CD302 antigen,22909,76,3.56 [2.24-5.65],7.55576640725838e-08
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD4,T-cell surface glycoprotein CD4,22927,76,2.00 [1.35-2.97],0.0005352864251954
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD59,CD59 glycoprotein,22225,75,3.52 [2.00-6.18],1.184141311859818e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD70,CD70 antigen,22964,76,2.15 [1.43-3.22],0.0002341737302551
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD74,HLA class II histocompatibility antigen gamma chain,23203,81,2.54 [1.56-4.15],0.000194807545157
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CD83,CD83 antigen,22964,76,3.13 [1.93-5.07],3.5693085951918862e-06
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CDH2,Cadherin-2,23017,79,3.05 [1.85-5.03],1.181173238338294e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CKAP4,Cytoskeleton-associated protein 4,23145,79,2.58 [1.63-4.08],5.187108811647951e-05
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CLEC5A,C-type lectin domain family 5 member A,22952,79,2.85 [1.63-5.01],0.0002570019659629
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CNDP1,Beta-Ala-His dipeptidase,23142,80,0.55 [0.39-0.78],0.0007579932486392
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],COL18A1,Collagen alpha-1(XVIII) chain,23140,79,4.51 [2.08-9.76],0.0001300275333508
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],COL6A3,Collagen alpha-3(VI) chain,23305,79,2.25 [1.43-3.55],0.0004385205973871
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CRIM1,Cysteine-rich motor neuron 1 protein,23116,80,4.89 [2.07-11.53],0.000293885389378
Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],CSF1,Macrophage colony-stimulating factor 1,23116,80,4.17 [2.28-7.64],3.674027634127757e-06
