Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,A1BG,Alpha-1B-glycoprotein,16158,3284,1.43 [1.17-1.75],0.0003993091514033
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACE2,Angiotensin-converting enzyme 2,18082,3730,1.13 [1.07-1.19],7.010115065242375e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACHE,Acetylcholinesterase,15775,3200,0.79 [0.71-0.88],2.276274605434625e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACVRL1,Serine/threonine-protein kinase receptor R3,18214,3767,1.25 [1.11-1.40],0.000121099346853
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ACY1,Aminoacylase-1,18408,3789,1.10 [1.05-1.15],5.583761394015735e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15640,3181,1.26 [1.14-1.39],8.381278590799435e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,16040,3256,1.27 [1.14-1.42],2.7096722923610748e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18480,3807,0.80 [0.75-0.85],2.5398831342731895e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADAMTSL2,ADAMTS-like protein 2,16133,3284,1.22 [1.11-1.35],6.711540370216643e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADGRG2,Adhesion G-protein coupled receptor G2,18408,3789,0.75 [0.68-0.84],2.8570169676919065e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ADM,Pro-adrenomedullin,18549,3809,1.51 [1.35-1.69],1.0379838385105257e-12
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGR2,Anterior gradient protein 2 homolog,17831,3656,1.13 [1.10-1.16],6.747710369160362e-16
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AGRN,Agrin,18483,3804,1.29 [1.19-1.40],7.017986487341832e-10
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AHSG,Alpha-2-HS-glycoprotein,16142,3286,1.24 [1.09-1.40],0.0007838267946031
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AMBP,Protein AMBP,18516,3803,1.73 [1.50-1.99],2.7581126581000257e-14
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AMY2B,Alpha-amylase 2B,17152,3532,0.90 [0.84-0.96],0.0006982488181672
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ANG,Angiogenin,18395,3785,1.25 [1.15-1.36],1.4915087816164122e-07
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ANGPTL4,Angiopoietin-related protein 4,18453,3795,1.16 [1.09-1.24],6.051521871827743e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,ANXA10,Annexin A10,17980,3695,1.11 [1.08-1.15],2.564479541749326e-10
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AOC3,Membrane primary amine oxidase,18523,3815,0.79 [0.71-0.87],1.065045730056946e-06
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,APCS,Serum amyloid P-component,15990,3257,1.22 [1.10-1.35],0.0001305877750248
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,APOA2,Apolipoprotein A-II,16142,3286,1.14 [1.06-1.22],0.0001534910299843
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,APOD,Apolipoprotein D,15475,3143,0.86 [0.78-0.94],0.0009625259695239
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,APOH,Beta-2-glycoprotein 1,18427,3808,1.17 [1.08-1.26],7.180556117199479e-05
Chapter XI Diseases of the digestive system,Diverticular disease of intestine,AREG,Amphiregulin,18302,3767,1.36 [1.28-1.46],1.9906450841468983e-20
