Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,A1BG,Alpha-1B-glycoprotein,16331,2301,1.63 [1.28-2.07],6.095173424463258e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ACE2,Angiotensin-converting enzyme 2,18327,2612,1.20 [1.13-1.28],7.546437854311064e-09
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ACVRL1,Serine/threonine-protein kinase receptor R3,18486,2650,1.26 [1.10-1.45],0.0006947127301195
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADA2,Adenosine deaminase 2,18582,2659,1.25 [1.15-1.35],3.089961910142285e-08
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,18904,2711,0.75 [0.65-0.86],5.434347844745566e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,18591,2649,1.15 [1.06-1.25],0.0006693924592043
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,18761,2686,0.82 [0.76-0.88],1.5138090037174916e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADGRG2,Adhesion G-protein coupled receptor G2,18667,2678,0.81 [0.71-0.92],0.0009928953446428
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ADM,Pro-adrenomedullin,18835,2697,1.48 [1.30-1.70],6.725023663790651e-09
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,AGR2,Anterior gradient protein 2 homolog,18096,2583,1.10 [1.06-1.14],2.397629968294963e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,AGRN,Agrin,18752,2689,1.20 [1.09-1.33],0.0002312097656558
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,AMBP,Protein AMBP,18803,2695,1.68 [1.42-1.98],8.976502356823856e-10
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ANXA10,Annexin A10,18244,2599,1.16 [1.12-1.21],1.4258285373977432e-14
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,APOA2,Apolipoprotein A-II,16314,2296,1.15 [1.06-1.25],0.0006780411449184
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,APOD,Apolipoprotein D,15618,2198,0.82 [0.73-0.92],0.0006003393250257
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,APOM,Apolipoprotein M,18738,2680,0.81 [0.72-0.92],0.0008224201238662
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,AREG,Amphiregulin,18591,2649,1.29 [1.19-1.39],3.644765715656865e-10
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ASGR1,Asialoglycoprotein receptor 1,18515,2655,1.53 [1.37-1.71],1.4924519249513369e-13
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,ASGR2,Asialoglycoprotein receptor 2,16314,2296,1.49 [1.28-1.72],1.2095837266950846e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,B4GALT1,"Beta-1,4-galactosyltransferase 1",18752,2689,1.24 [1.09-1.40],0.0007738581671525
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,18261,2602,1.10 [1.05-1.17],0.0002992211175535
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BOC,Brother of CDO,18327,2612,0.74 [0.64-0.86],9.383917619132716e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BPIFB2,BPI fold-containing family B member 2,16274,2283,1.14 [1.08-1.20],5.485092593949408e-06
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BSG,Basigin,18827,2704,1.63 [1.38-1.93],1.2156710637076738e-08
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BST2,Bone marrow stromal antigen 2,18821,2695,1.27 [1.19-1.35],5.14875517657857e-14
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BTN2A1,Butyrophilin subfamily 2 member A1,18752,2689,1.29 [1.13-1.46],8.972212887281103e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,BTN3A2,Butyrophilin subfamily 3 member A2,18627,2671,1.20 [1.10-1.31],3.623684296890867e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,C1QA,Complement C1q subcomponent subunit A,18766,2698,1.73 [1.48-2.02],4.6311307162253774e-12
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,C1RL,Complement C1r subcomponent-like protein,16300,2296,1.72 [1.40-2.12],3.541507466038324e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CA14,Carbonic anhydrase 14,18835,2697,0.84 [0.76-0.92],0.0003491612157842
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CA6,Carbonic anhydrase 6,18646,2676,0.87 [0.83-0.92],9.865825770724774e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CA9,Carbonic anhydrase 9,18835,2697,1.29 [1.20-1.38],3.620504949213777e-13
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CALB1,Calbindin,18591,2649,1.15 [1.06-1.24],0.000697136294757
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CBLIF,Cobalamin binding intrinsic factor,18630,2675,1.21 [1.15-1.27],1.0871290069630569e-15
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CBLN4,Cerebellin-4,18835,2697,0.77 [0.70-0.86],2.5147265101793847e-06
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL11,Eotaxin,18856,2707,1.17 [1.07-1.29],0.000824196121312
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL16,C-C motif chemokine 16,18904,2711,1.20 [1.12-1.28],1.4714852473996108e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL20,C-C motif chemokine 20,18856,2707,1.07 [1.03-1.11],0.0001947524937629
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL27,C-C motif chemokine 27,18667,2678,1.11 [1.05-1.18],0.0003235844025323
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL3,C-C motif chemokine 3,18627,2671,1.13 [1.07-1.18],1.8407938447921991e-06
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL5,C-C motif chemokine 5,18780,2684,1.06 [1.03-1.10],0.0005700057730171
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CCL7,C-C motif chemokine 7,18627,2671,1.11 [1.05-1.18],0.0001109483900049
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD163,Scavenger receptor cysteine-rich type 1 protein M130,18780,2684,1.17 [1.08-1.27],8.704365774719146e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD27,CD27 antigen,18761,2686,1.25 [1.15-1.35],4.745972346224263e-08
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD274,Programmed cell death 1 ligand 1,18515,2655,1.27 [1.16-1.40],8.258456655179667e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD300A,CMRF35-like molecule 8,15963,2234,1.31 [1.15-1.50],7.058627991280789e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD300C,CMRF35-like molecule 6,18821,2695,1.28 [1.16-1.40],6.36684341134463e-07
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD300E,CMRF35-like molecule 2,18773,2686,1.27 [1.18-1.38],4.6691065899197425e-09
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD302,CD302 antigen,18591,2649,1.51 [1.36-1.67],3.4182305561736094e-14
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD59,CD59 glycoprotein,18048,2591,1.33 [1.15-1.54],0.0001329538628565
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD72,B-cell differentiation antigen CD72,15963,2234,1.23 [1.12-1.35],1.9970496811095257e-05
Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,CD74,HLA class II histocompatibility antigen gamma chain,18821,2695,1.33 [1.21-1.46],1.096605818798453e-08
