Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,CRIM1,Cysteine-rich motor neuron 1 protein,8163,60,5.19 [1.98-13.59],0.0008099345748464
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,CXCL17,C-X-C motif chemokine 17,8203,62,2.39 [1.49-3.83],0.0002807036545997
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,DAND5,DAN domain family member 5,6845,54,1.55 [1.21-1.99],0.000582192824319
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,7981,59,2.52 [1.51-4.19],0.0003905121995729
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,KLK3,Prostate-specific antigen,7051,53,1.44 [1.21-1.73],5.464146445825049e-05
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,PLA2G1B,Phospholipase A2,8217,62,2.28 [1.51-3.44],8.477737765347981e-05
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,SCN3B,Sodium channel subunit beta-3,6835,51,1.77 [1.33-2.35],0.0001015339285043
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,SIRPB1,Signal-regulatory protein beta-1,8112,60,2.28 [1.49-3.49],0.0001514106941034
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,TSPAN1,Tetraspanin-1,7981,59,1.53 [1.25-1.88],3.1696543003024505e-05
Chapter XIV Diseases of the genitourinary system,Orchitis and epididymitis,WASF3,Wiskott-Aldrich syndrome protein family member 3,7954,59,0.66 [0.53-0.83],0.0003654039827111
