Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ACE2,Angiotensin-converting enzyme 2,14588,236,1.62 [1.35-1.96],3.078696040389039e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ACVRL1,Serine/threonine-protein kinase receptor R3,14690,243,2.77 [1.87-4.11],4.279817143364745e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,12993,209,2.59 [1.74-3.84],2.488692347347638e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ADM,Pro-adrenomedullin,14989,249,3.10 [1.98-4.85],7.161017894450299e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,AGRN,Agrin,14926,247,2.29 [1.77-2.97],4.5419158177110807e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,AMBP,Protein AMBP,14961,248,5.14 [3.05-8.66],7.940456333443796e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ANGPT2,Angiopoietin-2,14989,249,2.32 [1.78-3.04],8.349493848922811e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,AREG,Amphiregulin,14779,244,1.87 [1.49-2.34],4.337488347593784e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,ASGR1,Asialoglycoprotein receptor 1,14715,244,3.00 [2.27-3.97],1.208916791291749e-14
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,BSG,Basigin,14993,249,3.96 [2.37-6.62],1.5058505922326316e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,BST2,Bone marrow stromal antigen 2,14985,247,1.66 [1.42-1.95],5.949044840213234e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,BTN2A1,Butyrophilin subfamily 2 member A1,14926,247,2.49 [1.70-3.64],2.641736696694128e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CALB1,Calbindin,14779,244,1.78 [1.38-2.30],7.628533911548221e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CCDC80,Coiled-coil domain-containing protein 80,14868,249,2.09 [1.60-2.73],6.227795371924933e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CCL15,C-C motif chemokine 15,15053,250,1.75 [1.39-2.20],1.5156345731926404e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CCN3,CCN family member 3,15029,250,2.39 [1.78-3.21],6.713854270665171e-09
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CD27,CD27 antigen,14919,246,2.13 [1.68-2.69],3.262401403878893e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CD300E,CMRF35-like molecule 2,14933,248,2.16 [1.68-2.76],1.2275899011202863e-09
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CD302,CD302 antigen,14779,244,3.04 [2.29-4.02],8.390593001615451e-15
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CD59,CD59 glycoprotein,14370,235,2.62 [1.73-3.96],5.357260509382743e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CD74,HLA class II histocompatibility antigen gamma chain,14985,247,2.20 [1.64-2.96],1.6577611940365574e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",13031,208,2.11 [1.62-2.74],3.1810167419514344e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CHGA,Chromogranin-A,13056,207,1.46 [1.31-1.63],4.0863083447554695e-11
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CHI3L1,Chitinase-3-like protein 1,14587,235,1.35 [1.19-1.53],4.1536669505117065e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CKAP4,Cytoskeleton-associated protein 4,14949,248,2.72 [2.10-3.52],3.266247378420285e-14
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CLMP,CXADR-like membrane protein,14989,249,3.28 [2.04-5.27],1.0135140752655034e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,COL18A1,Collagen alpha-1(XVIII) chain,14949,249,3.66 [2.31-5.80],3.5114688534782695e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,COL4A1,Collagen alpha-1(IV) chain,14868,249,1.98 [1.51-2.60],6.574876397184414e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,COL6A3,Collagen alpha-3(VI) chain,15053,250,2.72 [2.09-3.54],1.280182181692299e-13
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,COLEC12,Collectin-12,14859,247,3.53 [2.42-5.15],4.932617605589324e-11
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CSF1,Macrophage colony-stimulating factor 1,14926,247,3.52 [2.42-5.12],4.646126114072562e-11
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CST3,Cystatin-C,14927,243,2.61 [1.82-3.73],1.4944714984207318e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CTSL,Cathepsin L1,14868,249,3.21 [2.12-4.88],4.262381917043097e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,CXADR,Coxsackievirus and adenovirus receptor,14812,250,1.83 [1.52-2.20],1.3338897609800766e-10
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,DLL1,Delta-like protein 1,14919,246,2.66 [1.88-3.75],2.6919986091893212e-08
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,DSC2,Desmocollin-2,14710,237,1.98 [1.51-2.60],7.18126442036353e-07
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,EDA2R,Tumor necrosis factor receptor superfamily member 27,14989,249,2.24 [1.73-2.91],1.1224458699322415e-09
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,EFCAB14,EF-hand calcium-binding domain-containing protein 14,12993,209,1.78 [1.39-2.29],6.059905401986782e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,14932,245,2.23 [1.58-3.15],5.705703074338703e-06
Chapter XI Diseases of the digestive system,Vascular disorders of the intestines,EFNA1,Ephrin-A1,14837,242,2.86 [2.03-4.03],1.639866060619493e-09
