Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACTA2,"Actin, aortic smooth muscle",16994,971,1.38 [1.24-1.54],3.211933079831297e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADA2,Adenosine deaminase 2,17236,974,1.47 [1.29-1.67],5.375079091184462e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRG1,Adhesion G-protein coupled receptor G1,17252,978,1.21 [1.13-1.28],2.305988090376769e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADM,Pro-adrenomedullin,17472,993,1.88 [1.50-2.34],2.55993573217988e-08
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AGR2,Anterior gradient protein 2 homolog,16803,948,1.18 [1.11-1.24],2.1747822737176185e-08
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOA2,Apolipoprotein A-II,15307,815,1.55 [1.36-1.78],1.2868580369791489e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOE,Apolipoprotein E,15322,821,0.36 [0.32-0.41],1.75266863639342e-50
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AREG,Amphiregulin,17252,978,1.51 [1.33-1.70],8.113822100795982e-11
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BCAN,Brevican core protein,17181,968,0.59 [0.50-0.70],7.591666681303784e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BRK1,Protein BRICK1,16936,958,1.53 [1.36-1.73],3.134964525992748e-12
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C7,Complement component C7,14938,805,2.00 [1.60-2.49],6.754489234623635e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA12,Carbonic anhydrase 12,17252,978,1.76 [1.49-2.08],3.667113185260385e-11
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD276,CD276 antigen,17319,976,1.78 [1.51-2.11],1.2158225387043304e-11
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD302,CD302 antigen,17252,978,1.72 [1.45-2.05],5.578617136747361e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CHGA,Chromogranin-A,15307,824,1.25 [1.18-1.33],5.215717789494093e-13
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CHI3L1,Chitinase-3-like protein 1,16979,954,1.23 [1.15-1.32],3.85028561111607e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CLEC5A,C-type lectin domain family 5 member A,17286,978,1.76 [1.46-2.13],2.2870145508192324e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,COL6A3,Collagen alpha-3(VI) chain,17545,996,1.65 [1.42-1.91],6.224358395577516e-11
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,DCBLD2,"Discoidin, CUB and LCCL domain-containing protein 2",17394,988,1.60 [1.37-1.88],7.677831500205813e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,DSC2,Desmocollin-2,17161,970,1.62 [1.39-1.89],7.65991165840851e-10
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,EBI3_IL27,Interleukin-27,17446,991,1.67 [1.39-1.99],2.1831892191062203e-08
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,EDA2R,Tumor necrosis factor receptor superfamily member 27,17472,993,1.80 [1.57-2.07],1.1021931306800731e-16
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,EGFR,Epidermal growth factor receptor,17545,996,0.39 [0.27-0.54],5.756144210328005e-08
