Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,A1BG,Alpha-1B-glycoprotein,2278,252,0.92 [0.46-1.88],0.8287859961414468
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,AAMDC,Mth938 domain-containing protein,2230,249,0.99 [0.78-1.25],0.9155692433832068
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,AARSD1,Alanyl-tRNA editing protein Aarsd1,2639,307,1.02 [0.85-1.22],0.818949573483591
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ABCA2,ATP-binding cassette sub-family A member 2,2202,248,1.70 [1.24-2.32],0.0008667419604501
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ABHD14B,Protein ABHD14B,2628,310,0.99 [0.83-1.19],0.9207722484353268
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ABL1,Tyrosine-protein kinase ABL1,2639,307,1.10 [0.94-1.27],0.2288058412437777
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ABO,Histo-blood group ABO system transferase,2287,256,1.01 [0.93-1.10],0.785400128174135
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ABRAXAS2,BRISC complex subunit Abraxas 2,2202,248,1.10 [0.91-1.32],0.3415718317701139
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",2583,300,1.00 [0.89-1.13],0.961625438493294
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",2251,250,1.14 [0.98-1.34],0.0999006209987944
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",2273,252,0.94 [0.81-1.07],0.3417720243002176
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACAN,Aggrecan core protein,2618,305,0.95 [0.67-1.34],0.7825200611925538
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACE,Angiotensin-converting enzyme,2287,256,1.31 [0.86-1.98],0.204246517595975
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACE2,Angiotensin-converting enzyme 2,2603,303,1.03 [0.88-1.19],0.7452903456949957
"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with ophthalmic complications,ACHE,Acetylcholinesterase,2242,246,0.96 [0.68-1.35],0.8146317610231357
