Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ANXA1,Annexin A1,22260,139,1.64 [1.29-2.08],4.019029116056055e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ASGR1,Asialoglycoprotein receptor 1,26036,171,2.76 [1.85-4.12],6.453179842143697e-07
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,BAP18,Chromatin complexes subunit BAP18,22831,141,1.39 [1.18-1.63],7.006386713573215e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,C7orf50,Uncharacterized protein C7orf50,22831,141,1.97 [1.40-2.77],9.03461029449116e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CBLIF,Cobalamin binding intrinsic factor,26184,172,1.50 [1.25-1.79],8.184693494782242e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CD300E,CMRF35-like molecule 2,26340,169,1.94 [1.43-2.61],1.7145976808812018e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CD302,CD302 antigen,26105,170,2.30 [1.57-3.38],2.0667058926477667e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CD40,Tumor necrosis factor receptor superfamily member 5,26222,169,1.63 [1.28-2.09],8.50073017457321e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CD46,Membrane cofactor protein,26043,168,2.37 [1.68-3.36],1.1170262320525602e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CEACAM20,Carcinoembryonic antigen-related cell adhesion molecule 20,22459,139,1.75 [1.40-2.19],7.316881169037548e-07
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CHGA,Chromogranin-A,22883,141,1.65 [1.46-1.87],1.821847659546202e-15
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CKAP4,Cytoskeleton-associated protein 4,26367,171,2.39 [1.58-3.61],3.428873660166575e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CSF1,Macrophage colony-stimulating factor 1,26353,169,2.70 [1.73-4.21],1.2635753622938477e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,CST3,Cystatin-C,26276,169,2.62 [1.74-3.93],3.4244518528356745e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,DEFA1_DEFA1B,Neutrophil defensin 1,25676,165,1.60 [1.32-1.93],1.0082529665431154e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,DLL1,Delta-like protein 1,26311,171,2.39 [1.57-3.64],4.803995208803784e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,DYNLT1,Dynein light chain Tctex-type 1,22246,138,1.47 [1.26-1.73],1.8648642694875289e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,EGLN1,Egl nine homolog 1,26175,170,1.42 [1.21-1.67],2.008372434867258e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,FCAR,Immunoglobulin alpha Fc receptor,26175,170,1.80 [1.36-2.38],3.279268469312525e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,FGF23,Fibroblast growth factor 23,26399,171,1.39 [1.18-1.64],6.808552599202096e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,GAST,Gastrin,22831,141,1.43 [1.30-1.57],3.1031063614436154e-14
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,GDF15,Growth/differentiation factor 15,26543,172,1.69 [1.38-2.06],3.32585771498013e-07
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,GRPEL1,"GrpE protein homolog 1, mitochondrial",26105,170,1.46 [1.21-1.76],6.207424507105994e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,HAVCR1,Hepatitis A virus cellular receptor 1,26403,171,1.56 [1.29-1.88],5.351177355316457e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,HDGFL2,Hepatoma-derived growth factor-related protein 2,22831,141,1.54 [1.24-1.90],6.476033111391124e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,HIP1R,Huntingtin-interacting protein 1-related protein,22788,141,1.62 [1.29-2.03],2.9267354290642843e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,22855,142,1.65 [1.30-2.09],2.927640729471108e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ICAM1,Intercellular adhesion molecule 1,26099,168,2.42 [1.60-3.66],2.9874568467211803e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,22224,131,2.08 [1.46-2.96],4.424678941334335e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,IL1RN,Interleukin-1 receptor antagonist protein,26180,169,1.48 [1.22-1.80],7.074750402276728e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,IL4R,Interleukin-4 receptor subunit alpha,26175,170,2.20 [1.62-2.99],3.69066000261034e-07
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ITGA11,Integrin alpha-11,26175,170,0.47 [0.32-0.69],9.642989995957192e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,26224,168,1.81 [1.37-2.39],3.2444098010744265e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LBR,Delta(14)-sterol reductase LBR,26452,173,1.37 [1.18-1.59],4.026791408862214e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LGALS9,Galectin-9,26222,169,2.25 [1.54-3.28],2.7090259843233857e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,26184,172,2.32 [1.53-3.53],8.219605849271649e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LPCAT2,Lysophosphatidylcholine acyltransferase 2,26105,170,1.47 [1.22-1.77],5.325706655486182e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,LSP1,Lymphocyte-specific protein 1,26175,170,1.91 [1.41-2.58],2.6577106826916728e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,MZB1,Marginal zone B- and B1-cell-specific protein,26315,168,1.75 [1.38-2.21],3.1156156049722483e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,NBL1,Neuroblastoma suppressor of tumorigenicity 1,26311,171,2.57 [1.61-4.10],7.186500943225469e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,NOS3,"Nitric oxide synthase, endothelial",25577,164,1.53 [1.27-1.84],7.3021368540997085e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,PDZD2,PDZ domain-containing protein 2,22155,139,1.63 [1.33-2.00],2.778108848831393e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,PGA4,Pepsin A-4,22898,143,1.96 [1.59-2.41],1.5893113086305668e-10
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,PLAUR,Urokinase plasminogen activator surface receptor,26051,167,2.62 [1.68-4.10],2.2145505518944995e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,RARRES2,Retinoic acid receptor responder protein 2,26358,169,1.66 [1.30-2.12],4.423511156141749e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,RETN,Resistin,26153,172,1.77 [1.33-2.34],7.032006167657031e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,RNASE6,Ribonuclease K6,22725,143,1.93 [1.41-2.66],5.223982750287602e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,SCG2,Secretogranin-2,26308,171,2.21 [1.48-3.30],9.497224662799632e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,SERPINB8,Serpin B8,26496,171,1.41 [1.20-1.66],2.919998584962225e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,SNRPB2,U2 small nuclear ribonucleoprotein B'',22831,141,1.48 [1.22-1.79],7.07256383991448e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,SPINK1,Serine protease inhibitor Kazal-type 1,26226,170,1.68 [1.30-2.15],5.397036797503486e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TAX1BP1,Tax1-binding protein 1,22831,141,1.57 [1.26-1.95],5.140515030130107e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TFF2,Trefoil factor 2,26309,169,1.55 [1.26-1.90],2.731407982063825e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TGFA,Protransforming growth factor alpha,26175,170,1.64 [1.28-2.11],9.258525078480058e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,22773,140,1.67 [1.30-2.15],6.586095204222568e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,26036,171,2.07 [1.51-2.83],6.056036225900104e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TNFRSF14,Tumor necrosis factor receptor superfamily member 14,26271,168,2.51 [1.68-3.74],7.059758516361845e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,26226,170,2.31 [1.55-3.43],3.623525545062532e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,TPR,Nucleoprotein TPR,22155,139,1.49 [1.22-1.80],5.823309665416977e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,VSIG2,V-set and immunoglobulin domain-containing protein 2,22762,139,2.08 [1.70-2.55],1.8007110074985709e-12
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,VSIG4,V-set and immunoglobulin domain-containing protein 4,26190,170,1.96 [1.46-2.62],7.765764313920296e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,VSTM1,V-set and transmembrane domain-containing protein 1,25577,164,1.70 [1.34-2.16],1.4642546958531845e-05
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,WFDC2,WAP four-disulfide core domain protein 2,24870,165,1.98 [1.50-2.60],1.0829084970384763e-06
Chapter XI Diseases of the digestive system,Other diseases of the digestive system,ZHX2,Zinc fingers and homeoboxes protein 2,22831,141,1.72 [1.33-2.23],3.517361613779974e-05
