Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ulcerative colitis,ADA2,Adenosine deaminase 2,25716,132,1.78 [1.27-2.51],0.0008886728221404
Chapter XI Diseases of the digestive system,Ulcerative colitis,AMIGO2,Amphoterin-induced protein 2,25771,135,3.73 [1.91-7.29],0.000116697611975
Chapter XI Diseases of the digestive system,Ulcerative colitis,ANGPT2,Angiopoietin-2,26104,136,2.32 [1.65-3.27],1.2450967239885855e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,C4BPB,C4b-binding protein beta chain,25978,135,1.83 [1.28-2.61],0.0008904688859946
Chapter XI Diseases of the digestive system,Ulcerative colitis,C7,Complement component C7,22063,111,3.16 [1.81-5.53],5.339056709291151e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,CCL11,Eotaxin,26159,134,2.74 [1.85-4.05],4.6181921537578246e-07
Chapter XI Diseases of the digestive system,Ulcerative colitis,CCL18,C-C motif chemokine 18,25510,128,1.36 [1.15-1.60],0.0002760082487377
Chapter XI Diseases of the digestive system,Ulcerative colitis,CCL20,C-C motif chemokine 20,26159,134,1.30 [1.14-1.48],9.66576917411149e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,CCL23,C-C motif chemokine 23,26003,134,1.96 [1.38-2.79],0.0001889716986979
Chapter XI Diseases of the digestive system,Ulcerative colitis,CD274,Programmed cell death 1 ligand 1,25706,133,1.86 [1.30-2.67],0.0007520597385402
Chapter XI Diseases of the digestive system,Ulcerative colitis,CD74,HLA class II histocompatibility antigen gamma chain,26107,136,2.03 [1.36-3.02],0.0004710539498996
Chapter XI Diseases of the digestive system,Ulcerative colitis,CD80,T-lymphocyte activation antigen CD80,22569,116,2.64 [1.73-4.03],6.947243894889008e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,CDCP1,CUB domain-containing protein 1,25706,133,1.61 [1.21-2.13],0.0009856447213679
Chapter XI Diseases of the digestive system,Ulcerative colitis,CDH6,Cadherin-6,25887,132,1.97 [1.33-2.90],0.0006346547328258
Chapter XI Diseases of the digestive system,Ulcerative colitis,CLEC11A,C-type lectin domain family 11 member A,25835,136,1.78 [1.30-2.44],0.0003150887322564
Chapter XI Diseases of the digestive system,Ulcerative colitis,CLEC4D,C-type lectin domain family 4 member D,25844,135,1.53 [1.20-1.94],0.0004956982866461
Chapter XI Diseases of the digestive system,Ulcerative colitis,CR1,Complement receptor type 1,22490,116,1.88 [1.32-2.69],0.0005113935293732
