Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Urolithiasis,AGRN,Agrin,27654,132,2.34 [1.62-3.36],4.973080715497775e-06
Chapter XIV Diseases of the genitourinary system,Urolithiasis,APOM,Apolipoprotein M,27564,136,0.36 [0.21-0.61],0.0001742759600477
Chapter XIV Diseases of the genitourinary system,Urolithiasis,ATRAID,All-trans retinoic acid-induced differentiation factor,23867,110,1.73 [1.27-2.35],0.0004585832938188
Chapter XIV Diseases of the genitourinary system,Urolithiasis,BTN2A1,Butyrophilin subfamily 2 member A1,27654,132,2.74 [1.64-4.57],0.0001118704721674
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CA6,Carbonic anhydrase 6,27434,134,0.66 [0.52-0.83],0.0005546100660955
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CALB1,Calbindin,27400,131,2.44 [1.77-3.37],5.4290888356718e-08
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CD300C,CMRF35-like molecule 6,27756,136,2.17 [1.46-3.24],0.0001409448264663
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CD302,CD302 antigen,27400,131,2.55 [1.68-3.87],1.016826156765048e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CD83,CD83 antigen,27475,133,2.05 [1.36-3.09],0.0005825654208051
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CFD,Complement factor D,24040,112,3.32 [1.65-6.65],0.0007346252443369
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CGREF1,Cell growth regulator with EF hand domain protein 1,27522,134,2.32 [1.67-3.23],5.203981966309119e-07
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CHGB,Secretogranin-1,27653,136,1.94 [1.38-2.73],0.0001243541955623
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CHI3L1,Chitinase-3-like protein 1,26895,127,1.46 [1.22-1.74],3.658692013910048e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CKAP4,Cytoskeleton-associated protein 4,27671,133,2.74 [1.77-4.23],5.401328731542653e-06
Chapter XIV Diseases of the genitourinary system,Urolithiasis,COL6A3,Collagen alpha-3(VI) chain,27854,136,2.00 [1.37-2.92],0.000308213643507
Chapter XIV Diseases of the genitourinary system,Urolithiasis,COLEC12,Collectin-12,27519,131,3.07 [1.80-5.22],3.790388663271428e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CRH,Corticoliberin,26826,130,0.65 [0.54-0.79],9.971414449802871e-06
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CRHBP,Corticotropin-releasing factor-binding protein,27519,131,2.55 [1.48-4.41],0.0007925351380847
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CSF1,Macrophage colony-stimulating factor 1,27654,132,2.46 [1.48-4.07],0.0004749798587061
Chapter XIV Diseases of the genitourinary system,Urolithiasis,CTSZ,Cathepsin Z,27518,135,2.21 [1.40-3.48],0.0006687777377805
Chapter XIV Diseases of the genitourinary system,Urolithiasis,DLK1,Protein delta homolog 1,27854,136,1.68 [1.28-2.22],0.000228592965718
Chapter XIV Diseases of the genitourinary system,Urolithiasis,DLL1,Delta-like protein 1,27617,133,2.27 [1.41-3.65],0.0007353505176093
Chapter XIV Diseases of the genitourinary system,Urolithiasis,EGFR,Epidermal growth factor receptor,27854,136,0.21 [0.08-0.50],0.0004730889027826
Chapter XIV Diseases of the genitourinary system,Urolithiasis,EPHA2,Ephrin type-A receptor 2,26553,128,2.39 [1.69-3.40],1.1190765357074634e-06
Chapter XIV Diseases of the genitourinary system,Urolithiasis,EPHB4,Ephrin type-B receptor 4,27854,136,2.57 [1.56-4.24],0.0002224122388862
Chapter XIV Diseases of the genitourinary system,Urolithiasis,FABP4,"Fatty acid-binding protein, adipocyte",27854,136,1.64 [1.24-2.15],0.0004465414095518
Chapter XIV Diseases of the genitourinary system,Urolithiasis,FAM3B,Protein FAM3B,27400,131,2.10 [1.36-3.23],0.0008086402472352
Chapter XIV Diseases of the genitourinary system,Urolithiasis,FGFR2,Fibroblast growth factor receptor 2,27617,133,3.12 [1.66-5.86],0.000403785497725
Chapter XIV Diseases of the genitourinary system,Urolithiasis,FSTL3,Follistatin-related protein 3,27474,131,2.76 [1.85-4.12],7.280903202602846e-07
Chapter XIV Diseases of the genitourinary system,Urolithiasis,GDF15,Growth/differentiation factor 15,27854,136,1.59 [1.27-2.00],6.30822990011402e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,GFRA1,GDNF family receptor alpha-1,27702,135,2.49 [1.53-4.06],0.0002582686812001
