Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Angina pectoris,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",25243,499,1.19 [1.08-1.30],0.0002202762499785
Chapter IX Diseases of the circulatory system,Angina pectoris,ACAN,Aggrecan core protein,25623,507,0.66 [0.50-0.87],0.0037994125846547
Chapter IX Diseases of the circulatory system,Angina pectoris,ACE,Angiotensin-converting enzyme,22565,435,1.81 [1.28-2.58],0.000905469426163
Chapter IX Diseases of the circulatory system,Angina pectoris,ACE2,Angiotensin-converting enzyme 2,25377,499,1.61 [1.42-1.83],1.656619915719621e-13
Chapter IX Diseases of the circulatory system,Angina pectoris,ACHE,Acetylcholinesterase,22086,427,1.34 [1.02-1.76],0.0343984318284235
Chapter IX Diseases of the circulatory system,Angina pectoris,ACP6,Lysophosphatidic acid phosphatase type 6,26022,513,0.89 [0.79-0.99],0.0335075915087346
Chapter IX Diseases of the circulatory system,Angina pectoris,ACTA2,"Actin, aortic smooth muscle",25377,499,1.23 [1.04-1.44],0.0133655864257061
Chapter IX Diseases of the circulatory system,Angina pectoris,ACVRL1,Serine/threonine-protein kinase receptor R3,25638,507,2.35 [1.76-3.13],7.228210977041587e-09
Chapter IX Diseases of the circulatory system,Angina pectoris,ACY1,Aminoacylase-1,25844,510,1.16 [1.03-1.32],0.0154413661459325
Chapter IX Diseases of the circulatory system,Angina pectoris,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,21848,419,1.51 [1.29-1.76],2.5593339713498897e-07
Chapter IX Diseases of the circulatory system,Angina pectoris,ADA,Adenosine deaminase,26120,513,1.34 [1.08-1.67],0.008207007922824
Chapter IX Diseases of the circulatory system,Angina pectoris,ADA2,Adenosine deaminase 2,25672,511,1.87 [1.57-2.22],2.1462057073505995e-12
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,21905,420,1.61 [1.29-2.02],2.384027280751243e-05
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,25377,499,1.50 [1.15-1.95],0.0025157381910234
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,22433,431,1.92 [1.45-2.54],5.67413867651493e-06
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,21905,420,1.35 [1.02-1.78],0.0333906665094985
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,25745,512,1.30 [1.08-1.56],0.0062955934129257
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,21905,420,1.35 [1.04-1.75],0.0225023402635258
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,25935,512,0.76 [0.64-0.91],0.0029458249420169
Chapter IX Diseases of the circulatory system,Angina pectoris,ADAMTSL2,ADAMTS-like protein 2,22548,436,1.92 [1.49-2.46],4.030332661785027e-07
Chapter IX Diseases of the circulatory system,Angina pectoris,ADGRB3,Adhesion G protein-coupled receptor B3,25638,507,1.41 [1.11-1.79],0.0045494229573992
Chapter IX Diseases of the circulatory system,Angina pectoris,ADGRE5,Adhesion G protein-coupled receptor E5,26030,517,1.33 [1.03-1.71],0.0275555109075581
Chapter IX Diseases of the circulatory system,Angina pectoris,ADGRG1,Adhesion G-protein coupled receptor G1,25745,512,1.37 [1.24-1.50],8.390583104714552e-11
Chapter IX Diseases of the circulatory system,Angina pectoris,ADGRG2,Adhesion G-protein coupled receptor G2,25844,510,0.35 [0.26-0.47],1.4921059283793818e-12
Chapter IX Diseases of the circulatory system,Angina pectoris,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,25377,499,1.16 [1.05-1.27],0.0020499431895328
Chapter IX Diseases of the circulatory system,Angina pectoris,ADIPOQ,Adiponectin,22597,439,0.72 [0.63-0.82],1.563852747815998e-06
Chapter IX Diseases of the circulatory system,Angina pectoris,ADM,Pro-adrenomedullin,26070,516,3.75 [2.74-5.13],1.3509083506705482e-16
Chapter IX Diseases of the circulatory system,Angina pectoris,AGR2,Anterior gradient protein 2 homolog,25002,496,1.30 [1.21-1.41],1.2577269760581189e-11
Chapter IX Diseases of the circulatory system,Angina pectoris,AGR3,Anterior gradient protein 3,25202,497,1.23 [1.08-1.40],0.002178952809941
Chapter IX Diseases of the circulatory system,Angina pectoris,AGRN,Agrin,25972,513,1.86 [1.51-2.30],5.289747833065334e-09
Chapter IX Diseases of the circulatory system,Angina pectoris,AGXT,Serine--pyruvate aminotransferase,25844,510,1.24 [1.12-1.36],1.2288178830064257e-05
Chapter IX Diseases of the circulatory system,Angina pectoris,AHNAK,Neuroblast differentiation-associated protein AHNAK,21976,420,1.41 [1.05-1.88],0.0203232704880777
Chapter IX Diseases of the circulatory system,Angina pectoris,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",25700,511,1.11 [1.04-1.20],0.0040749026331355
Chapter IX Diseases of the circulatory system,Angina pectoris,AKR1B10,Aldo-keto reductase family 1 member B10,21915,417,1.18 [1.03-1.35],0.0195723820787401
Chapter IX Diseases of the circulatory system,Angina pectoris,AKR1C4,Aldo-keto reductase family 1 member C4,25377,499,1.21 [1.06-1.37],0.0042672201610851
Chapter IX Diseases of the circulatory system,Angina pectoris,AKR7L,Aflatoxin B1 aldehyde reductase member 4,21905,420,1.18 [1.04-1.34],0.0080529114532006
Chapter IX Diseases of the circulatory system,Angina pectoris,ALCAM,CD166 antigen,26161,519,2.01 [1.36-2.96],0.0004106140827518
Chapter IX Diseases of the circulatory system,Angina pectoris,ALDH2,"Aldehyde dehydrogenase, mitochondrial",22421,430,1.21 [1.05-1.40],0.0087087808651127
Chapter IX Diseases of the circulatory system,Angina pectoris,AMBP,Protein AMBP,26034,515,3.52 [2.40-5.14],9.348955564698904e-11
Chapter IX Diseases of the circulatory system,Angina pectoris,AMOT,Angiomotin,22086,427,1.32 [1.05-1.65],0.0180425280142408
Chapter IX Diseases of the circulatory system,Angina pectoris,AMOTL2,Angiomotin-like protein 2,22346,428,1.21 [1.02-1.44],0.0298557402461569
Chapter IX Diseases of the circulatory system,Angina pectoris,ANGPT1,Angiopoietin-1,25753,504,0.88 [0.80-0.96],0.005175555848209
Chapter IX Diseases of the circulatory system,Angina pectoris,ANGPT2,Angiopoietin-2,26070,516,2.49 [2.05-3.03],3.703654618497002e-20
Chapter IX Diseases of the circulatory system,Angina pectoris,ANGPTL3,Angiopoietin-related protein 3,25841,513,0.42 [0.34-0.52],7.036859261322491e-16
Chapter IX Diseases of the circulatory system,Angina pectoris,ANGPTL7,Angiopoietin-related protein 7,26070,516,1.32 [1.07-1.63],0.0091392739433111
Chapter IX Diseases of the circulatory system,Angina pectoris,ANXA1,Annexin A1,21949,425,1.24 [1.01-1.51],0.0374653717769967
Chapter IX Diseases of the circulatory system,Angina pectoris,ANXA10,Annexin A10,25221,497,1.35 [1.25-1.47],5.229046646643532e-13
Chapter IX Diseases of the circulatory system,Angina pectoris,ANXA11,Annexin A11,25767,505,0.88 [0.78-0.99],0.0301564838516496
Chapter IX Diseases of the circulatory system,Angina pectoris,ANXA2,Annexin A2,21642,409,1.24 [1.10-1.41],0.0004862991386713
