Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,27217,266,0.68 [0.47-0.98],0.0383114826110368
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ADGRE1,Adhesion G protein-coupled receptor E1,24044,235,0.78 [0.62-0.98],0.0330474388325555
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ADGRE5,Adhesion G protein-coupled receptor E5,27925,268,0.64 [0.44-0.94],0.0217253890752818
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ADM,Pro-adrenomedullin,27958,269,1.55 [1.04-2.29],0.0297064528408553
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,24032,232,1.18 [1.01-1.37],0.0394432930932354
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",AMBP,Protein AMBP,27920,269,1.78 [1.04-3.05],0.0362588314756146
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ANGPTL7,Angiopoietin-related protein 7,27958,269,1.46 [1.11-1.91],0.0060973048283542
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ANKRD54,Ankyrin repeat domain-containing protein 54,27076,260,1.23 [1.05-1.45],0.0109951029368475
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",APOA4,Apolipoprotein A-IV,24217,235,1.34 [1.01-1.79],0.0438464076118797
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ARFIP1,Arfaptin-1,24130,234,1.25 [1.05-1.48],0.0138909970468222
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ARHGEF1,Rho guanine nucleotide exchange factor 1,24115,233,1.17 [1.02-1.34],0.0289377984539743
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ARHGEF10,Rho guanine nucleotide exchange factor 10,24130,234,1.14 [1.00-1.30],0.0499885880208979
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ARL13B,ADP-ribosylation factor-like protein 13B,23403,228,1.19 [1.01-1.41],0.0418178981742538
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ASGR1,Asialoglycoprotein receptor 1,27532,264,1.74 [1.22-2.47],0.0019915107852977
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ASGR2,Asialoglycoprotein receptor 2,24183,235,1.62 [1.02-2.57],0.0416407604274139
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ASRGL1,Isoaspartyl peptidase/L-asparaginase,23547,232,1.15 [1.01-1.30],0.0306675646413115
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ATG4A,Cysteine protease ATG4A,27076,260,1.24 [1.05-1.48],0.0139105474921416
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,23403,228,1.41 [1.02-1.96],0.0398577768462446
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",24169,234,1.46 [1.01-2.11],0.0421605813196987
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,23486,225,1.34 [1.03-1.73],0.0272551325532328
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",BOC,Brother of CDO,27217,266,0.56 [0.35-0.88],0.0119003901297652
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",BTC,Probetacellulin,27076,260,1.15 [1.01-1.32],0.0414537452972814
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",BTN3A2,Butyrophilin subfamily 3 member A2,27679,268,1.33 [1.00-1.76],0.0460560800777363
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",C1QTNF6,Complement C1q tumor necrosis factor-related protein 6,24130,234,1.50 [1.11-2.04],0.009216295001076
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",C1QTNF9,Complement C1q and tumor necrosis factor-related protein 9A,23608,229,0.75 [0.59-0.95],0.0192594974784999
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,24130,234,1.19 [1.03-1.38],0.0186288824255674
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,27867,268,1.12 [1.01-1.24],0.0339229507314494
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CC2D1A,Coiled-coil and C2 domain-containing protein 1A,27532,264,1.16 [1.01-1.34],0.037518771561133
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CCL11,Eotaxin,28013,270,1.35 [1.03-1.78],0.0295131790004254
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CCL18,C-C motif chemokine 18,27322,260,1.15 [1.00-1.32],0.0456288553700672
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD109,CD109 antigen,27729,269,0.71 [0.52-0.97],0.0330672485627112
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD1C,T-cell surface glycoprotein CD1c,27823,267,0.65 [0.42-0.99],0.0473624910236457
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD274,Programmed cell death 1 ligand 1,27532,264,1.37 [1.03-1.82],0.0290858297188001
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD302,CD302 antigen,27605,269,1.44 [1.02-2.03],0.0401251596973683
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD36,Platelet glycoprotein 4,23486,225,1.50 [1.15-1.95],0.002908275450047
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD69,Early activation antigen CD69,27593,264,1.15 [1.01-1.30],0.029446936068258
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD72,B-cell differentiation antigen CD72,23657,229,0.69 [0.50-0.94],0.0192505508783676
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD82,CD82 antigen,23718,232,1.32 [1.05-1.66],0.0175311317843257
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CD86,T-lymphocyte activation antigen CD86,24044,235,0.64 [0.44-0.92],0.0159193072374752
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CDH5,Cadherin-5,28062,269,0.65 [0.45-0.94],0.0216025562914365
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CDKL5,Cyclin-dependent kinase-like 5,23388,230,1.32 [1.10-1.59],0.0028590780728235
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,24169,234,1.39 [1.05-1.83],0.0217753780691034
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CEBPA,CCAAT/enhancer-binding protein alpha,23486,225,1.28 [1.01-1.63],0.043251345590293
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",24115,233,1.70 [1.30-2.23],0.0001150689664987
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CHMP6,Charged multivesicular body protein 6,24169,234,1.30 [1.05-1.62],0.0186310739945746
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CHRDL2,Chordin-like protein 2,27725,264,0.78 [0.65-0.94],0.0083285677831012
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CLEC1B,C-type lectin domain family 1 member B,27964,269,1.13 [1.02-1.27],0.025086885351971
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CLEC4A,C-type lectin domain family 4 member A,27679,268,0.71 [0.53-0.95],0.0211425914320768
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CLEC4C,C-type lectin domain family 4 member C,27679,268,0.78 [0.61-0.98],0.0353593991313397
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CMIP,C-Maf-inducing protein,24032,232,1.18 [1.01-1.37],0.0315121018854638
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CNPY2,Protein canopy homolog 2,27217,266,1.18 [1.01-1.37],0.0313578254720346
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CNTN1,Contactin-1,28062,269,0.61 [0.41-0.90],0.0119516349492085
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CNTN5,Contactin-5,27788,268,0.67 [0.50-0.91],0.0096793797113895
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CST3,Cystatin-C,27776,263,1.77 [1.23-2.55],0.0022627897444182
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CTSO,Cathepsin O,28013,270,1.42 [1.01-2.00],0.045629787234869
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CXADR,Coxsackievirus and adenovirus receptor,27679,268,1.22 [1.00-1.48],0.0472852491958017
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CXCL13,C-X-C motif chemokine 13,27964,269,1.16 [1.01-1.34],0.0396973264824717
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CXCL16,C-X-C motif chemokine 16,28015,269,1.63 [1.05-2.55],0.0312736815993741
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CXCL17,C-X-C motif chemokine 17,28013,270,1.48 [1.20-1.83],0.0002517787569167
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",CYTL1,Cytokine-like protein 1,24169,234,1.80 [1.06-3.08],0.0308715077269215
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DCUN1D2,DCN1-like protein 2,23292,226,1.16 [1.02-1.33],0.0284052892988637
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DEFB4A_DEFB4B,Beta-defensin 4A,27351,268,1.08 [1.01-1.16],0.0330943768564165
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DENND2B,DENN domain-containing protein 2B,23403,228,1.25 [1.04-1.52],0.0198722935878491
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DENR,Density-regulated protein,23486,225,1.36 [1.13-1.64],0.0010546339813834
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DIPK2B,Divergent protein kinase domain 2B,23657,229,0.60 [0.37-0.98],0.0407771277593809
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DMD,Dystrophin,23547,232,1.26 [1.03-1.54],0.0245226975164082
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DNAJC6,Putative tyrosine-protein phosphatase auxilin,23547,232,1.16 [1.00-1.34],0.0499610146035057
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DNAJC9,DnaJ homolog subfamily C member 9,24044,235,1.19 [1.02-1.40],0.0313175153177389
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DNMBP,Dynamin-binding protein,27532,264,1.18 [1.00-1.39],0.046258987784518
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",DRAXIN,Draxin,27532,264,0.69 [0.54-0.89],0.0048729545163569
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",ECI2,Enoyl-CoA delta isomerase 2,23403,228,1.20 [1.00-1.44],0.0492381056069598
Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",EDA2R,Tumor necrosis factor receptor superfamily member 27,27958,269,1.38 [1.03-1.86],0.032944292075639
