Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ACE2,Angiotensin-converting enzyme 2,26039,761,1.52 [1.36-1.69],1.386772552881119e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ACVRL1,Serine/threonine-protein kinase receptor R3,26294,761,2.25 [1.77-2.87],5.0650886271750656e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ADM,Pro-adrenomedullin,26742,774,2.30 [1.80-2.93],1.9504962688521123e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AGR2,Anterior gradient protein 2 homolog,25657,751,1.23 [1.16-1.31],4.315412975183864e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AGRN,Agrin,26645,776,1.79 [1.51-2.13],2.935950124460651e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AMBP,Protein AMBP,26706,774,3.48 [2.55-4.73],2.249179191677722e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ANGPT2,Angiopoietin-2,26742,774,1.83 [1.57-2.14],7.792787557127714e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,AREG,Amphiregulin,26406,770,1.48 [1.32-1.67],1.9917488483491034e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ASGR1,Asialoglycoprotein receptor 1,26334,761,2.54 [2.07-3.10],1.2672639594036408e-19
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,B4GALT1,"Beta-1,4-galactosyltransferase 1",26645,776,2.15 [1.72-2.69],1.3113488420464632e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BSG,Basigin,26756,770,2.69 [1.96-3.68],6.779992340363593e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BST2,Bone marrow stromal antigen 2,26742,771,1.43 [1.30-1.57],5.330861604112922e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,BTN2A1,Butyrophilin subfamily 2 member A1,26645,776,2.41 [1.92-3.02],3.976257630710607e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CCL15,C-C motif chemokine 15,26850,776,1.52 [1.33-1.73],5.828571686550766e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD27,CD27 antigen,26615,772,1.77 [1.52-2.04],3.0300973046287666e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD276,CD276 antigen,26516,773,1.80 [1.50-2.15],1.876094652422616e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD28,T-cell-specific surface glycoprotein CD28,25896,756,1.70 [1.45-1.99],9.973078922200968e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD300C,CMRF35-like molecule 6,26742,771,1.77 [1.48-2.11],3.8704347089819e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD300E,CMRF35-like molecule 2,26643,774,1.84 [1.59-2.13],1.765275141634376e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD302,CD302 antigen,26406,770,2.49 [2.07-3.00],4.524323510737592e-22
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,26406,770,1.86 [1.53-2.27],8.371780840737711e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD5,T-cell surface glycoprotein CD5,26706,774,2.00 [1.67-2.41],9.545001629343817e-14
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD74,HLA class II histocompatibility antigen gamma chain,26742,771,2.03 [1.71-2.41],2.6733271443054483e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD79B,B-cell antigen receptor complex-associated protein beta chain,26796,771,1.64 [1.44-1.88],1.459841788216769e-13
