Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Chronic gastritis,A1BG,Alpha-1B-glycoprotein,18265,118,1.32 [0.48-3.67],0.5912332403845602
Chapter XI Diseases of the digestive system,Chronic gastritis,AAMDC,Mth938 domain-containing protein,17769,114,0.94 [0.67-1.32],0.7155079149879653
Chapter XI Diseases of the digestive system,Chronic gastritis,AARSD1,Alanyl-tRNA editing protein Aarsd1,20818,135,1.01 [0.77-1.33],0.9194354084314916
Chapter XI Diseases of the digestive system,Chronic gastritis,ABCA2,ATP-binding cassette sub-family A member 2,17652,110,1.15 [0.72-1.83],0.5670700686687846
Chapter XI Diseases of the digestive system,Chronic gastritis,ABHD14B,Protein ABHD14B,20693,136,0.98 [0.76-1.28],0.9044303718754148
Chapter XI Diseases of the digestive system,Chronic gastritis,ABL1,Tyrosine-protein kinase ABL1,20818,135,0.98 [0.78-1.23],0.8442308403402357
Chapter XI Diseases of the digestive system,Chronic gastritis,ABO,Histo-blood group ABO system transferase,18239,115,1.01 [0.89-1.14],0.8891853035820115
Chapter XI Diseases of the digestive system,Chronic gastritis,ABRAXAS2,BRISC complex subunit Abraxas 2,17652,110,0.90 [0.68-1.20],0.4692091272145459
Chapter XI Diseases of the digestive system,Chronic gastritis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",20411,130,1.13 [0.94-1.35],0.1886838850211014
Chapter XI Diseases of the digestive system,Chronic gastritis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",17877,114,1.23 [1.02-1.49],0.0343508430754319
Chapter XI Diseases of the digestive system,Chronic gastritis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",18237,115,1.04 [0.85-1.26],0.7236048969123808
Chapter XI Diseases of the digestive system,Chronic gastritis,ACAN,Aggrecan core protein,20688,134,0.81 [0.48-1.40],0.4564492174956236
Chapter XI Diseases of the digestive system,Chronic gastritis,ACE,Angiotensin-converting enzyme,18239,115,0.70 [0.36-1.37],0.3003691538896557
Chapter XI Diseases of the digestive system,Chronic gastritis,ACE2,Angiotensin-converting enzyme 2,20508,134,1.75 [1.37-2.24],8.776115228026802e-06
Chapter XI Diseases of the digestive system,Chronic gastritis,ACHE,Acetylcholinesterase,17847,114,0.71 [0.40-1.25],0.2350520919481166
Chapter XI Diseases of the digestive system,Chronic gastritis,ACOT13,Acyl-coenzyme A thioesterase 13,18144,116,1.06 [0.91-1.24],0.4403039161133342
Chapter XI Diseases of the digestive system,Chronic gastritis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,20870,136,1.01 [0.75-1.36],0.9405610274474138
Chapter XI Diseases of the digestive system,Chronic gastritis,ACP1,Low molecular weight phosphotyrosine protein phosphatase,17734,112,1.12 [0.76-1.64],0.5791039002735303
Chapter XI Diseases of the digestive system,Chronic gastritis,ACP5,Tartrate-resistant acid phosphatase type 5,20984,137,1.41 [0.90-2.22],0.1380665252103844
Chapter XI Diseases of the digestive system,Chronic gastritis,ACP6,Lysophosphatidic acid phosphatase type 6,21032,136,1.09 [0.86-1.39],0.46919541133075
Chapter XI Diseases of the digestive system,Chronic gastritis,ACRBP,Acrosin-binding protein,18137,115,1.08 [0.69-1.70],0.7304031749170214
Chapter XI Diseases of the digestive system,Chronic gastritis,ACRV1,Acrosomal protein SP-10,17734,112,0.88 [0.51-1.50],0.6289791874566318
Chapter XI Diseases of the digestive system,Chronic gastritis,ACSL1,Long-chain-fatty-acid--CoA ligase 1,17652,110,0.56 [0.30-1.03],0.0630411060453928
Chapter XI Diseases of the digestive system,Chronic gastritis,ACTA2,"Actin, aortic smooth muscle",20508,134,1.25 [0.93-1.69],0.1369751730474528
Chapter XI Diseases of the digestive system,Chronic gastritis,ACTN2,Alpha-actinin-2,17652,110,0.95 [0.67-1.33],0.7608152244717313
Chapter XI Diseases of the digestive system,Chronic gastritis,ACTN4,Alpha-actinin-4,20488,131,1.14 [0.73-1.76],0.5716537910597383
Chapter XI Diseases of the digestive system,Chronic gastritis,ACVRL1,Serine/threonine-protein kinase receptor R3,20726,136,1.75 [0.98-3.12],0.0581682521590243
Chapter XI Diseases of the digestive system,Chronic gastritis,ACY1,Aminoacylase-1,20870,136,1.29 [1.02-1.64],0.0338381545026115
Chapter XI Diseases of the digestive system,Chronic gastritis,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,17652,110,1.46 [1.09-1.96],0.0104899990050358
Chapter XI Diseases of the digestive system,Chronic gastritis,ACYP1,Acylphosphatase-1,17773,114,0.95 [0.72-1.25],0.6977948786802242
