Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,A1BG,Alpha-1B-glycoprotein,22455,202,0.72 [0.34-1.54],0.4010091198935301
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,AAMDC,Mth938 domain-containing protein,21854,197,0.96 [0.74-1.25],0.7661569891019617
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,AARSD1,Alanyl-tRNA editing protein Aarsd1,25579,230,1.11 [0.91-1.37],0.308137683501293
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ABCA2,ATP-binding cassette sub-family A member 2,21715,196,0.97 [0.66-1.41],0.8563446014821768
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ABHD14B,Protein ABHD14B,25440,229,1.06 [0.87-1.30],0.5642800239867805
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ABL1,Tyrosine-protein kinase ABL1,25579,230,1.04 [0.88-1.23],0.6557698359961062
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ABO,Histo-blood group ABO system transferase,22417,201,1.04 [0.95-1.15],0.3597215432652833
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ABRAXAS2,BRISC complex subunit Abraxas 2,21715,196,1.14 [0.93-1.40],0.2146437674495994
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",25096,228,0.95 [0.82-1.10],0.4749751488487724
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",21998,203,1.03 [0.86-1.23],0.7831307188763719
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",22416,204,1.06 [0.92-1.23],0.4152401384770043
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACAN,Aggrecan core protein,25473,231,1.37 [0.91-2.07],0.1349627586817207
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACE,Angiotensin-converting enzyme,22417,201,1.14 [0.68-1.91],0.617548064950719
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACE2,Angiotensin-converting enzyme 2,25238,228,0.99 [0.77-1.26],0.9125006825270814
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACHE,Acetylcholinesterase,21929,198,0.94 [0.61-1.44],0.7635414535391372
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACOT13,Acyl-coenzyme A thioesterase 13,22298,202,1.00 [0.89-1.13],0.9360002252785926
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,25699,231,1.20 [0.96-1.50],0.1018840590579904
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACP1,Low molecular weight phosphotyrosine protein phosphatase,21794,199,1.16 [0.87-1.55],0.3073190679122882
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACP5,Tartrate-resistant acid phosphatase type 5,25815,232,0.94 [0.65-1.36],0.7300616712189827
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACP6,Lysophosphatidic acid phosphatase type 6,25863,233,1.05 [0.88-1.26],0.5693449574570771
Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,ACRBP,Acrosin-binding protein,22281,201,1.02 [0.72-1.45],0.9040792328495544
