Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Cystitis,A1BG,Alpha-1B-glycoprotein,21318,109,0.74 [0.26-2.06],0.5601669911558749
Chapter XIV Diseases of the genitourinary system,Cystitis,AAMDC,Mth938 domain-containing protein,20734,105,0.86 [0.60-1.22],0.387531791279092
Chapter XIV Diseases of the genitourinary system,Cystitis,AARSD1,Alanyl-tRNA editing protein Aarsd1,24275,137,1.17 [0.90-1.53],0.2355100823722749
Chapter XIV Diseases of the genitourinary system,Cystitis,ABCA2,ATP-binding cassette sub-family A member 2,20607,106,1.52 [0.99-2.35],0.0561324299049563
Chapter XIV Diseases of the genitourinary system,Cystitis,ABHD14B,Protein ABHD14B,24137,137,1.05 [0.81-1.36],0.7053517808604437
Chapter XIV Diseases of the genitourinary system,Cystitis,ABL1,Tyrosine-protein kinase ABL1,24275,137,1.02 [0.82-1.28],0.835560410057411
Chapter XIV Diseases of the genitourinary system,Cystitis,ABO,Histo-blood group ABO system transferase,21297,109,0.93 [0.82-1.05],0.2286681802922204
Chapter XIV Diseases of the genitourinary system,Cystitis,ABRAXAS2,BRISC complex subunit Abraxas 2,20607,106,1.05 [0.79-1.39],0.7474716317011436
Chapter XIV Diseases of the genitourinary system,Cystitis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",23821,131,1.00 [0.83-1.21],0.972330983001966
Chapter XIV Diseases of the genitourinary system,Cystitis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",20878,105,0.78 [0.56-1.09],0.1535237229426846
Chapter XIV Diseases of the genitourinary system,Cystitis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",21283,110,0.98 [0.80-1.20],0.8666575042310748
Chapter XIV Diseases of the genitourinary system,Cystitis,ACAN,Aggrecan core protein,24174,138,1.03 [0.60-1.76],0.9147377965566365
Chapter XIV Diseases of the genitourinary system,Cystitis,ACE,Angiotensin-converting enzyme,21297,109,1.06 [0.52-2.14],0.8718826908209083
Chapter XIV Diseases of the genitourinary system,Cystitis,ACE2,Angiotensin-converting enzyme 2,23957,135,1.21 [0.91-1.62],0.1898683184848639
Chapter XIV Diseases of the genitourinary system,Cystitis,ACHE,Acetylcholinesterase,20840,109,0.41 [0.23-0.76],0.0044266988847547
Chapter XIV Diseases of the genitourinary system,Cystitis,ACOT13,Acyl-coenzyme A thioesterase 13,21174,109,0.98 [0.83-1.15],0.80091203363998
Chapter XIV Diseases of the genitourinary system,Cystitis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,24385,138,1.07 [0.80-1.44],0.6388921447037761
Chapter XIV Diseases of the genitourinary system,Cystitis,ACP1,Low molecular weight phosphotyrosine protein phosphatase,20694,107,1.08 [0.72-1.63],0.7122083132761877
Chapter XIV Diseases of the genitourinary system,Cystitis,ACP5,Tartrate-resistant acid phosphatase type 5,24508,135,1.55 [0.98-2.44],0.0583010061389338
Chapter XIV Diseases of the genitourinary system,Cystitis,ACP6,Lysophosphatidic acid phosphatase type 6,24554,135,1.62 [1.24-2.11],0.0004174235179649
Chapter XIV Diseases of the genitourinary system,Cystitis,ACRBP,Acrosin-binding protein,21162,108,1.03 [0.64-1.65],0.9185137383201288
Chapter XIV Diseases of the genitourinary system,Cystitis,ACRV1,Acrosomal protein SP-10,20694,107,1.14 [0.68-1.90],0.6242088576366325
Chapter XIV Diseases of the genitourinary system,Cystitis,ACSL1,Long-chain-fatty-acid--CoA ligase 1,20607,106,0.99 [0.60-1.61],0.9531066959465402
Chapter XIV Diseases of the genitourinary system,Cystitis,ACTA2,"Actin, aortic smooth muscle",23957,135,1.61 [1.26-2.07],0.0001413030769563
Chapter XIV Diseases of the genitourinary system,Cystitis,ACTN2,Alpha-actinin-2,20607,106,1.02 [0.72-1.44],0.9142605854230604
Chapter XIV Diseases of the genitourinary system,Cystitis,ACTN4,Alpha-actinin-4,23908,138,1.46 [1.03-2.07],0.0314809981758781
Chapter XIV Diseases of the genitourinary system,Cystitis,ACVRL1,Serine/threonine-protein kinase receptor R3,24183,137,2.28 [1.29-4.04],0.0048273542838705
Chapter XIV Diseases of the genitourinary system,Cystitis,ACY1,Aminoacylase-1,24385,138,1.01 [0.79-1.30],0.9350769042406504
Chapter XIV Diseases of the genitourinary system,Cystitis,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,20607,106,1.24 [0.90-1.71],0.184952763396984
Chapter XIV Diseases of the genitourinary system,Cystitis,ACYP1,Acylphosphatase-1,20763,109,0.89 [0.67-1.18],0.4165800575810291
Chapter XIV Diseases of the genitourinary system,Cystitis,ADA,Adenosine deaminase,24647,138,1.29 [0.86-1.95],0.2169001330426304
Chapter XIV Diseases of the genitourinary system,Cystitis,ADA2,Adenosine deaminase 2,24224,138,1.32 [0.93-1.88],0.1243523051174529
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,20694,107,1.45 [0.99-2.14],0.0588619001024931
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,23957,135,1.49 [0.91-2.46],0.1137107972103316
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,24220,137,1.73 [1.12-2.66],0.0132875463838868
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,24647,138,1.02 [0.66-1.56],0.9437272444348936
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,24558,138,2.22 [1.33-3.71],0.0023609864934961
Chapter XIV Diseases of the genitourinary system,Cystitis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,21174,109,2.12 [1.25-3.57],0.0050389201043781
