Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",AREG,Amphiregulin,51142,221,1.62 [1.29-2.03],3.0521089915121425e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",CES1,Liver carboxylesterase 1,51507,218,1.25 [1.09-1.42],0.0009011732570986
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",CHGA,Chromogranin-A,44672,199,1.26 [1.11-1.42],0.0002029308389503
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",CLSTN1,Calsyntenin-1,50182,217,1.38 [1.16-1.65],0.0003783993831207
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",EFNA1,Ephrin-A1,51308,223,1.95 [1.37-2.78],0.0001986460755122
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",FSTL3,Follistatin-related protein 3,51265,222,1.76 [1.28-2.42],0.0005506749818839
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",GFRA1,GDNF family receptor alpha-1,51740,223,2.10 [1.46-3.02],6.7884013908661e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",HAVCR1,Hepatitis A virus cellular receptor 1,51743,225,1.40 [1.20-1.64],2.7530564594344545e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",ITGA11,Integrin alpha-11,51303,223,0.50 [0.36-0.70],5.5092861635473007e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",KLRB1,Killer cell lectin-like receptor subfamily B member 1,51940,225,1.65 [1.25-2.19],0.0004841245333836
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",PGA4,Pepsin A-4,44704,195,1.37 [1.15-1.63],0.0004897033398711
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",PRAP1,Proline-rich acidic protein 1,44672,199,2.04 [1.44-2.89],5.676992076402487e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",REG4,Regenerating islet-derived protein 4,51431,222,1.47 [1.19-1.83],0.0003843229912697
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",RNASE1,Ribonuclease pancreatic,44704,195,2.07 [1.41-3.03],0.000198077002928
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",RNASE6,Ribonuclease K6,44384,192,1.85 [1.45-2.38],1.1388759989845072e-06
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",RTN4R,Reticulon-4 receptor,51817,225,1.68 [1.24-2.26],0.0007051226732207
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",SCARB2,Lysosome membrane protein 2,50007,216,1.79 [1.32-2.43],0.0001613129165999
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",SLC39A5,Zinc transporter ZIP5,51303,223,1.34 [1.13-1.60],0.0009791640782225
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",SPINK1,Serine protease inhibitor Kazal-type 1,51393,223,1.53 [1.21-1.92],0.0003096239107653
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TFF2,Trefoil factor 2,51516,222,1.37 [1.14-1.64],0.0007665445232566
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TGFBR2,TGF-beta receptor type-2,51542,222,1.72 [1.29-2.29],0.000249360794268
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,50978,218,1.82 [1.38-2.40],2.095625591499794e-05
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,51940,225,1.57 [1.20-2.04],0.0008294752950731
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,51393,223,1.90 [1.37-2.63],0.0001219730396104
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,50978,218,1.39 [1.16-1.67],0.0004125057905214
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",VSIG2,V-set and immunoglobulin domain-containing protein 2,44461,195,1.51 [1.26-1.80],5.193283964167418e-06
Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",VSIG4,V-set and immunoglobulin domain-containing protein 4,51322,223,1.56 [1.20-2.01],0.0007346589917141
