Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ABO,Histo-blood group ABO system transferase,34113,467,0.91 [0.86-0.97],0.0033031946321033
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACE2,Angiotensin-converting enzyme 2,38432,534,1.30 [1.13-1.48],0.0001340931740462
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACP1,Low molecular weight phosphotyrosine protein phosphatase,33124,457,0.62 [0.50-0.77],2.595882970016489e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACTA2,"Actin, aortic smooth muscle",38432,534,1.27 [1.09-1.48],0.002338862137054
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ACVRL1,Serine/threonine-protein kinase receptor R3,38781,542,2.23 [1.71-2.91],2.858185840603728e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADA2,Adenosine deaminase 2,38891,542,1.67 [1.42-1.97],1.158109833227141e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,33124,457,1.47 [1.20-1.81],0.000256396596765
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,38848,542,1.33 [1.08-1.64],0.0080518501861935
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,39403,549,1.40 [1.09-1.80],0.0079413168442234
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,33947,469,1.79 [1.36-2.34],2.893491770322492e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,39602,551,0.61 [0.44-0.83],0.0015660899903759
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,38986,546,1.42 [1.19-1.71],0.0001540161716083
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,39240,545,0.70 [0.60-0.83],3.3704838398137944e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADGRE1,Adhesion G protein-coupled receptor E1,33947,469,1.28 [1.09-1.49],0.002172206929625
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADGRG1,Adhesion G-protein coupled receptor G1,38986,546,1.14 [1.05-1.25],0.0030577456796403
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADGRG2,Adhesion G-protein coupled receptor G2,39095,546,0.57 [0.44-0.74],2.014982248919237e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ADM,Pro-adrenomedullin,39465,551,2.60 [1.95-3.46],7.674408805605991e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AGR2,Anterior gradient protein 2 homolog,37904,524,1.28 [1.19-1.38],1.0694652545508103e-10
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AGRN,Agrin,39278,548,1.79 [1.47-2.18],5.306344456132657e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AGXT,Serine--pyruvate aminotransferase,39095,546,1.21 [1.10-1.33],6.604088091919275e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AHNAK2,Protein AHNAK2,33198,452,1.48 [1.12-1.95],0.0054679255476856
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ALCAM,CD166 antigen,39602,551,1.66 [1.14-2.41],0.0079652693996498
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",38993,549,1.20 [1.09-1.32],0.0001242853223326
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ALPP,"Alkaline phosphatase, placental type",38986,546,1.12 [1.05-1.20],0.0005870006000612
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AMBP,Protein AMBP,39404,550,2.28 [1.58-3.28],9.535304791926936e-06
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AMN,Protein amnionless,38400,534,1.24 [1.06-1.45],0.0069307457715541
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AMOT,Angiomotin,33352,463,1.48 [1.19-1.83],0.0004196568131113
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ANG,Angiogenin,39015,544,1.53 [1.24-1.89],8.68814023010533e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ANGPT2,Angiopoietin-2,39465,551,1.51 [1.25-1.82],1.853644747370733e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ANGPTL2,Angiopoietin-related protein 2,39144,546,1.30 [1.08-1.57],0.0059478571197793
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ANGPTL4,Angiopoietin-related protein 4,39216,547,1.40 [1.18-1.66],8.476787307683871e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ANXA10,Annexin A10,38224,531,1.49 [1.38-1.61],9.828789002774106e-25
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,APOA2,Apolipoprotein A-II,34113,467,1.46 [1.23-1.75],2.236655069603805e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,AREG,Amphiregulin,38986,546,1.70 [1.47-1.96],1.3848514871492677e-12
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ARHGEF5,Rho guanine nucleotide exchange factor 5,33003,457,1.17 [1.05-1.31],0.0055788885238799
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ARNT,Aryl hydrocarbon receptor nuclear translocator,38400,534,1.31 [1.08-1.58],0.005432653148781
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ASGR1,Asialoglycoprotein receptor 1,38848,542,2.27 [1.81-2.85],1.3886987733919793e-12
