Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACAN,Aggrecan core protein,36138,823,1.72 [1.37-2.15],2.565546273679969e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ACE2,Angiotensin-converting enzyme 2,35806,817,1.24 [1.11-1.39],0.0001438356535067
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADA,Adenosine deaminase,36879,850,1.37 [1.16-1.60],0.0001528697168806
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ADGRG2,Adhesion G-protein coupled receptor G2,36471,832,1.43 [1.13-1.80],0.0028505170332235
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AGR3,Anterior gradient protein 3,35587,807,1.19 [1.07-1.31],0.0010534734378199
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AIF1,Allograft inflammatory factor 1,35640,810,1.20 [1.06-1.34],0.0031157400838488
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AMBP,Protein AMBP,36754,841,1.97 [1.45-2.70],1.8760224674844328e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AMIGO2,Amphoterin-induced protein 2,36311,832,0.68 [0.52-0.89],0.0047716935909631
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA1,Annexin A1,30861,710,0.74 [0.62-0.89],0.0012715477533978
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ANXA10,Annexin A10,35688,822,1.11 [1.03-1.20],0.0072815772990859
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ASGR1,Asialoglycoprotein receptor 1,36214,828,1.42 [1.16-1.75],0.0007679891997873
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,ATP6AP2,Renin receptor,35640,810,1.25 [1.09-1.43],0.0013901341812775
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,BRK1,Protein BRICK1,35688,822,1.62 [1.42-1.85],1.3640976798964265e-12
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,BSG,Basigin,36819,847,1.67 [1.22-2.28],0.0014194985073291
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,BST2,Bone marrow stromal antigen 2,36806,847,1.19 [1.07-1.33],0.0016944299862851
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,BTN2A1,Butyrophilin subfamily 2 member A1,36634,834,1.50 [1.18-1.89],0.0007669159239357
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,C4BPB,C4b-binding protein beta chain,36594,835,1.23 [1.06-1.44],0.0083929115976279
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CA14,Carbonic anhydrase 14,36805,841,1.38 [1.16-1.64],0.0002740798180469
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CBLN4,Cerebellin-4,36805,841,0.77 [0.63-0.93],0.0080623570539753
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CCL15,C-C motif chemokine 15,36922,845,1.21 [1.06-1.39],0.0061534468297014
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CCN3,CCN family member 3,36860,841,1.54 [1.29-1.84],1.3281960474653012e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CCT5,T-complex protein 1 subunit epsilon,35640,810,1.24 [1.09-1.41],0.0011690126712098
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD276,CD276 antigen,36451,832,1.43 [1.19-1.71],0.0001094134615213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD300LG,CMRF35-like molecule 9,36473,836,1.30 [1.10-1.54],0.0019657221828223
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD302,CD302 antigen,36311,832,1.33 [1.09-1.62],0.0052960608306432
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD34,Hematopoietic progenitor cell antigen CD34,36681,846,1.46 [1.14-1.89],0.003163892394213
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,CD46,Membrane cofactor protein,36221,820,1.33 [1.07-1.64],0.0096757845949628
