Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,50486,143,2.58 [1.71-3.89],5.6667388205862985e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",CALB1,Calbindin,50654,141,2.27 [1.66-3.10],3.1108134799185866e-07
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",DSC2,Desmocollin-2,50322,143,2.44 [1.75-3.41],1.7038398455135642e-07
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",FSTL1,Follistatin-related protein 1,43066,124,3.74 [2.09-6.71],9.60936623696756e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",HAVCR2,Hepatitis A virus cellular receptor 2,50894,145,2.52 [1.75-3.61],5.636050804703857e-07
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",MRC1,Macrophage mannose receptor 1,44280,124,3.52 [2.10-5.91],1.8880783231232177e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",NXPH1,Neurexophilin-1,49691,142,1.80 [1.42-2.27],8.832398747519233e-07
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",PIGR,Polymeric immunoglobulin receptor,50231,141,2.31 [1.62-3.31],4.168331448114068e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",PRND,Prion-like protein doppel,44130,126,1.84 [1.41-2.41],9.061165314869577e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",PRRT3,Proline-rich transmembrane protein 3,43066,124,2.80 [1.94-4.06],4.742281107138193e-08
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",RNF149,E3 ubiquitin-protein ligase RNF149,43066,124,2.84 [1.88-4.29],7.569527737715281e-07
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",TGOLN2,Trans-Golgi network integral membrane protein 2,44280,124,4.09 [2.30-7.26],1.5297666180499684e-06
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,50894,145,1.76 [1.43-2.16],8.448934298689167e-08
Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",VASN,Vasorin,50088,144,2.92 [1.85-4.61],4.118418010970498e-06
