Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ADA2,Adenosine deaminase 2,48143,1078,1.78 [1.58-2.01],8.128013643920469e-21
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,40932,904,1.60 [1.39-1.84],2.418541080390209e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,48774,1095,1.84 [1.54-2.21],4.377338852805797e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ADM,Pro-adrenomedullin,48839,1095,2.55 [2.07-3.14],1.0633653383038624e-18
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,AGR2,Anterior gradient protein 2 homolog,46912,1041,1.21 [1.14-1.27],4.338215853437697e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,AGRN,Agrin,48645,1087,1.60 [1.38-1.85],3.7637984011719056e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,AMBP,Protein AMBP,48771,1094,2.45 [1.89-3.19],2.0125509525292703e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ANGPT2,Angiopoietin-2,48839,1095,1.55 [1.36-1.77],1.5508531083825247e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ANXA10,Annexin A10,47302,1055,1.28 [1.20-1.35],7.371877861336698e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,APOA1,Apolipoprotein A-I,42239,928,0.43 [0.33-0.56],5.05715665170807e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,APOC1,Apolipoprotein C-I,42159,926,0.55 [0.46-0.66],1.3816906263304028e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,APOM,Apolipoprotein M,48538,1088,0.47 [0.39-0.57],2.0332934651390983e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ARNT,Aryl hydrocarbon receptor nuclear translocator,47514,1070,1.62 [1.44-1.81],3.4652021624531364e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,ATRAID,All-trans retinoic acid-induced differentiation factor,41996,920,1.65 [1.41-1.94],7.498823344978822e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,B2M,Beta-2-microglobulin,42239,928,1.68 [1.49-1.90],6.637612424159236e-17
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,B4GALT1,"Beta-1,4-galactosyltransferase 1",48645,1087,2.05 [1.70-2.47],6.289551880298106e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,BAMBI,BMP and activin membrane-bound inhibitor homolog,47283,1061,1.87 [1.59-2.20],3.1530760731595404e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,BST2,Bone marrow stromal antigen 2,48852,1097,1.41 [1.30-1.54],3.070452704902593e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,BTN2A1,Butyrophilin subfamily 2 member A1,48645,1087,2.67 [2.21-3.22],5.816521891323061e-25
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,C1QA,Complement C1q subcomponent subunit A,48718,1085,2.31 [1.83-2.92],2.008489307195791e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CCL20,C-C motif chemokine 20,48956,1096,1.20 [1.14-1.27],3.1220932353463136e-12
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CCL21,C-C motif chemokine 21,48645,1087,1.42 [1.28-1.58],2.968423367642909e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CCN3,CCN family member 3,48937,1097,1.78 [1.54-2.04],1.0986170888500443e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD163,Scavenger receptor cysteine-rich type 1 protein M130,48617,1092,1.48 [1.31-1.67],2.1629235408229086e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD27,CD27 antigen,48572,1083,1.98 [1.76-2.23],4.238067454756777e-30
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD274,Programmed cell death 1 ligand 1,48044,1072,1.58 [1.37-1.82],3.8877278263619325e-10
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD276,CD276 antigen,48404,1086,1.76 [1.51-2.05],3.166529308701756e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD28,T-cell-specific surface glycoprotein CD28,47283,1061,1.59 [1.39-1.82],1.6426649910028848e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD300A,CMRF35-like molecule 8,41244,916,2.29 [1.86-2.81],2.1018081711185528e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD300C,CMRF35-like molecule 6,48852,1097,1.97 [1.70-2.28],1.4385841348360068e-19
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD300E,CMRF35-like molecule 2,48686,1092,1.92 [1.70-2.16],4.469475948984075e-26
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD300LF,CMRF35-like molecule 1,48839,1095,1.37 [1.25-1.51],8.957772529353581e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD302,CD302 antigen,48201,1077,1.93 [1.64-2.27],1.895380408644057e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD4,T-cell surface glycoprotein CD4,48277,1077,1.64 [1.42-1.90],1.3064759989981367e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD48,CD48 antigen,48567,1087,1.94 [1.63-2.31],1.778183447640098e-13
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD5,T-cell surface glycoprotein CD5,48771,1094,1.79 [1.55-2.06],1.0197613748754901e-15
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD59,CD59 glycoprotein,46684,1038,2.01 [1.63-2.48],6.889621300441896e-11
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD72,B-cell differentiation antigen CD72,41244,916,1.71 [1.49-1.96],2.2457278020607922e-14
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD74,HLA class II histocompatibility antigen gamma chain,48852,1097,2.29 [1.99-2.63],8.747028849640915e-31
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD79B,B-cell antigen receptor complex-associated protein beta chain,48956,1096,1.72 [1.55-1.91],4.2868050970878676e-24
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD80,T-lymphocyte activation antigen CD80,42173,930,2.00 [1.70-2.35],7.357068346123736e-17
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CD83,CD83 antigen,48357,1078,2.06 [1.78-2.38],4.102321401389096e-22
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",42081,926,1.75 [1.53-2.01],4.709920562801338e-16
"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,CHGA,Chromogranin-A,42180,929,1.35 [1.27-1.42],9.915733305752662e-26
