Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",A1BG,Alpha-1B-glycoprotein,41773,1455,1.80 [1.33-2.43],0.0001248289260188
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AAMDC,Mth938 domain-containing protein,40605,1421,1.10 [1.00-1.22],0.0453987389668494
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AARSD1,Alanyl-tRNA editing protein Aarsd1,47794,1667,1.16 [1.07-1.25],0.0002142076221294
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ABCA2,ATP-binding cassette sub-family A member 2,40334,1405,1.03 [0.89-1.19],0.6880117249059241
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ABHD14B,Protein ABHD14B,47471,1647,1.09 [1.01-1.17],0.0365071206391297
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ABL1,Tyrosine-protein kinase ABL1,47794,1667,1.11 [1.05-1.19],0.0008395228065565
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ABO,Histo-blood group ABO system transferase,41744,1450,0.98 [0.95-1.02],0.3492449241036308
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ABRAXAS2,BRISC complex subunit Abraxas 2,40334,1405,1.03 [0.95-1.12],0.425746218611523
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",46903,1620,1.02 [0.96-1.07],0.511708266121015
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",40936,1421,0.90 [0.83-0.98],0.012954988179197
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",41703,1457,1.04 [0.99-1.10],0.1375441956986962
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACAN,Aggrecan core protein,47544,1676,0.77 [0.66-0.90],0.0008710444009102
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACE,Angiotensin-converting enzyme,41744,1450,1.02 [0.84-1.24],0.8477629778814272
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACE2,Angiotensin-converting enzyme 2,47131,1643,1.23 [1.14-1.33],8.289841669883768e-08
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACHE,Acetylcholinesterase,40781,1419,0.66 [0.56-0.77],3.517726864613919e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACOT13,Acyl-coenzyme A thioesterase 13,41524,1444,1.04 [0.99-1.09],0.0867412049483401
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,48001,1685,1.11 [1.02-1.21],0.0114037107879968
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACP1,Low molecular weight phosphotyrosine protein phosphatase,40498,1416,0.98 [0.87-1.10],0.6908749351786571
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACP5,Tartrate-resistant acid phosphatase type 5,48214,1681,1.13 [0.99-1.29],0.0747021948648559
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACP6,Lysophosphatidic acid phosphatase type 6,48351,1680,1.06 [0.99-1.13],0.103210611190172
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACRBP,Acrosin-binding protein,41502,1442,1.07 [0.94-1.22],0.3084495982886108
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACRV1,Acrosomal protein SP-10,40498,1416,1.05 [0.98-1.13],0.1752454335220057
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACSL1,Long-chain-fatty-acid--CoA ligase 1,40334,1405,1.02 [0.89-1.18],0.7480435720802328
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACTA2,"Actin, aortic smooth muscle",47131,1643,1.21 [1.10-1.32],4.057033280926603e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACTN2,Alpha-actinin-2,40334,1405,1.34 [1.24-1.45],6.123718635443662e-14
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACTN4,Alpha-actinin-4,47110,1632,1.01 [0.87-1.16],0.9415432341492032
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACVRL1,Serine/threonine-protein kinase receptor R3,47544,1651,1.48 [1.25-1.75],3.481588623849027e-06
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACY1,Aminoacylase-1,48001,1685,1.02 [0.95-1.09],0.5496522874817036
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,40334,1405,1.05 [0.96-1.15],0.3151815273872728
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ACYP1,Acylphosphatase-1,40630,1416,1.09 [1.01-1.18],0.0272170180012591
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADA,Adenosine deaminase,48521,1689,0.93 [0.83-1.06],0.2869799180124545
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADA2,Adenosine deaminase 2,47718,1658,1.30 [1.18-1.44],1.550406292598749e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,40498,1416,1.32 [1.17-1.50],1.2248593598591027e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,47131,1643,0.88 [0.76-1.02],0.0916950240622449
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,47624,1653,0.72 [0.64-0.82],2.0452681827149525e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,48521,1689,0.79 [0.71-0.89],0.0001063007957937
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,48340,1679,1.46 [1.26-1.70],5.125974286784539e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,41524,1444,1.37 [1.16-1.61],0.0001364861049592
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,40498,1416,1.12 [0.96-1.32],0.1511374726414537
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,48596,1693,0.74 [0.62-0.89],0.0011775547238061
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,47794,1667,0.92 [0.83-1.01],0.0773667465637369
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,47131,1643,0.65 [0.55-0.76],2.529379580373399e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,40498,1416,1.26 [1.09-1.45],0.0013741715411122
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,48161,1673,0.44 [0.40-0.48],1.2255977494702417e-66
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTSL2,ADAMTS-like protein 2,41707,1460,1.47 [1.28-1.69],4.971048955874202e-08
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTSL4,ADAMTS-like protein 4,40605,1421,0.98 [0.79-1.22],0.8395000835909415
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADAMTSL5,ADAMTS-like protein 5,41703,1457,0.81 [0.71-0.92],0.0012917720104934
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,46903,1620,0.91 [0.79-1.05],0.2047565324726155
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADD1,Alpha-adducin,40781,1419,1.00 [0.93-1.08],0.9916063539666756
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRB3,Adhesion G protein-coupled receptor B3,47544,1651,0.99 [0.86-1.13],0.8426099549951513
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRD1,Adhesion G-protein coupled receptor D1,40781,1419,1.15 [1.01-1.31],0.0350683795593472
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRE1,Adhesion G protein-coupled receptor E1,41524,1444,1.05 [0.96-1.15],0.2674774284937509
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRE2,Adhesion G protein-coupled receptor E2,48219,1673,0.81 [0.69-0.94],0.0066041376940685
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRE5,Adhesion G protein-coupled receptor E5,48361,1684,0.84 [0.73-0.97],0.0192187255811141
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRF5,Adhesion G protein-coupled receptor F5,41703,1457,1.20 [1.00-1.43],0.0456484787475673
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRG1,Adhesion G-protein coupled receptor G1,47794,1667,1.11 [1.05-1.17],0.0002988552941576
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRG2,Adhesion G-protein coupled receptor G2,48001,1685,0.67 [0.57-0.78],5.270412463669682e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADGRV1,Adhesion G-protein coupled receptor V1,40351,1404,0.99 [0.91-1.06],0.7233108847067918
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADH1B,All-trans-retinol dehydrogenase,40781,1419,0.94 [0.88-1.01],0.0803219868096596
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,47131,1643,0.96 [0.91-1.01],0.1288780521639981
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADIPOQ,Adiponectin,41773,1455,1.08 [1.00-1.16],0.0379818939506157
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADM,Pro-adrenomedullin,48421,1682,2.11 [1.78-2.48],1.1471964793480821e-18
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ADRA2A,Alpha-2A adrenergic receptor,40334,1405,1.03 [0.96-1.11],0.3813762610444773
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AFAP1,Actin filament-associated protein 1,40781,1419,1.00 [0.94-1.06],0.9061756637551468
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AFM,Afamin,41773,1455,1.17 [0.90-1.51],0.2333579258350953
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AFP,Alpha-fetoprotein,47466,1648,0.87 [0.82-0.93],8.414178411093455e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGBL2,Cytosolic carboxypeptidase 2,40351,1404,0.99 [0.93-1.04],0.6421161605124854
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGER,Advanced glycosylation end product-specific receptor,47902,1661,0.75 [0.67-0.83],1.24669325066423e-07
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGR2,Anterior gradient protein 2 homolog,46491,1602,1.20 [1.15-1.25],2.5505979415483073e-16
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGR3,Anterior gradient protein 3,46826,1617,1.10 [1.02-1.19],0.009644827925097
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGRN,Agrin,48219,1673,1.14 [1.01-1.29],0.0353207376759187
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGRP,Agouti-related protein,48521,1689,0.79 [0.73-0.86],1.1554272489150004e-08
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGT,Angiotensinogen,41744,1450,1.34 [1.09-1.65],0.0050691258259011
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AGXT,Serine--pyruvate aminotransferase,48001,1685,0.95 [0.89-1.00],0.0630426717189774
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHCY,Adenosylhomocysteinase,48001,1685,1.14 [1.07-1.21],6.414200591304746e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHNAK,Neuroblast differentiation-associated protein AHNAK,40605,1421,0.99 [0.84-1.17],0.9258772894253514
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHNAK2,Protein AHNAK2,40605,1421,1.35 [1.14-1.59],0.0004682925998408
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,41502,1442,0.97 [0.90-1.05],0.4822422044658389
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHSG,Alpha-2-HS-glycoprotein,41744,1450,0.98 [0.81-1.18],0.8164664740516618
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AHSP,Alpha-hemoglobin-stabilizing protein,47946,1663,1.01 [0.96-1.06],0.7970181123972897
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AIDA,"Axin interactor, dorsalization-associated protein",40548,1416,1.04 [0.98-1.10],0.2336332109069473
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AIF1,Allograft inflammatory factor 1,46903,1620,1.11 [1.02-1.21],0.0194026410532382
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AIF1L,Allograft inflammatory factor 1-like,40605,1421,1.00 [0.91-1.10],0.9732221527217249
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AIFM1,"Apoptosis-inducing factor 1, mitochondrial",47715,1663,1.05 [1.01-1.09],0.0267311527741519
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AK1,Adenylate kinase isoenzyme 1,48001,1685,1.11 [1.04-1.18],0.0026364434568815
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AK2,"Adenylate kinase 2, mitochondrial",41601,1446,1.04 [0.99-1.09],0.1563394966854709
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKAP12,A-kinase anchor protein 12,40781,1419,0.88 [0.68-1.13],0.3159578839712282
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKR1B1,Aldo-keto reductase family 1 member B1,46903,1620,1.06 [1.00-1.13],0.0455514088168567
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKR1B10,Aldo-keto reductase family 1 member B10,40548,1416,1.09 [1.01-1.18],0.0275439324449922
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKR1C4,Aldo-keto reductase family 1 member C4,47131,1643,1.01 [0.93-1.10],0.7350677871344014
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKR7L,Aflatoxin B1 aldehyde reductase member 4,40498,1416,0.95 [0.88-1.03],0.2207041768854595
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKT1S1,Proline-rich AKT1 substrate 1,46868,1615,1.06 [0.99-1.14],0.0729484317549715
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKT2,RAC-beta serine/threonine-protein kinase,41623,1449,1.01 [0.97-1.06],0.4741114151248936
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AKT3,RAC-gamma serine/threonine-protein kinase,46681,1608,1.02 [0.94-1.10],0.6336649499866187
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALCAM,CD166 antigen,48596,1693,1.06 [0.85-1.31],0.6162233593280664
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALDH1A1,Retinal dehydrogenase 1,48021,1664,1.00 [0.92-1.08],0.9280656176002866
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALDH2,"Aldehyde dehydrogenase, mitochondrial",41502,1442,1.03 [0.93-1.13],0.5655906876571701
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",47842,1664,1.12 [1.06-1.19],8.772483572458085e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",41623,1449,0.99 [0.89-1.10],0.8775007917546066
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALMS1,Alstrom syndrome protein 1,40936,1421,1.00 [0.89-1.12],0.9864208757635792
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALPI,Intestinal-type alkaline phosphatase,40498,1416,0.99 [0.95-1.04],0.7104300961449916
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",ALPP,"Alkaline phosphatase, placental type",47794,1667,1.09 [1.04-1.13],2.9919683739811872e-05
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMBN,Ameloblastin,47110,1632,0.95 [0.80-1.11],0.5125929050655189
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMBP,Protein AMBP,48353,1679,2.74 [2.22-3.37],3.114366153926302e-21
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,41707,1460,1.23 [1.01-1.50],0.0394386129405421
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMFR,E3 ubiquitin-protein ligase AMFR,46868,1615,1.05 [0.98-1.13],0.13894620602174
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMIGO1,Amphoterin-induced protein 1,40548,1416,1.03 [0.93-1.14],0.5234086902615431
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMIGO2,Amphoterin-induced protein 2,47794,1667,1.06 [0.88-1.28],0.539588151264456
Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",AMN,Protein amnionless,47110,1632,1.10 [1.00-1.21],0.0391133038862768
