Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastric ulcer,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",17568,155,1.33 [1.13-1.57],0.0007264017492473
Chapter XI Diseases of the digestive system,Gastric ulcer,ACE2,Angiotensin-converting enzyme 2,17678,154,1.49 [1.19-1.87],0.0005216479893077
Chapter XI Diseases of the digestive system,Gastric ulcer,ACVRL1,Serine/threonine-protein kinase receptor R3,17804,155,2.36 [1.48-3.75],0.0002918087440483
Chapter XI Diseases of the digestive system,Gastric ulcer,ADA2,Adenosine deaminase 2,17905,159,1.87 [1.40-2.48],2.00799045803108e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,15169,124,2.48 [1.75-3.51],3.575887735194889e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,15579,129,2.30 [1.46-3.62],0.0003151267924322
Chapter XI Diseases of the digestive system,Gastric ulcer,ADAMTSL2,ADAMTS-like protein 2,15651,127,2.18 [1.44-3.28],0.0001982721797878
Chapter XI Diseases of the digestive system,Gastric ulcer,ADGRD1,Adhesion G-protein coupled receptor D1,15282,126,2.01 [1.37-2.94],0.000348965802352
Chapter XI Diseases of the digestive system,Gastric ulcer,ADGRG1,Adhesion G-protein coupled receptor G1,17917,160,1.28 [1.12-1.46],0.0003039838703436
Chapter XI Diseases of the digestive system,Gastric ulcer,ADM,Pro-adrenomedullin,18143,163,2.90 [1.71-4.89],6.974030914075903e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,AGRN,Agrin,18039,160,2.35 [1.71-3.22],1.1162158176468073e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,AGXT,Serine--pyruvate aminotransferase,17975,160,1.38 [1.17-1.64],0.0002003622390198
Chapter XI Diseases of the digestive system,Gastric ulcer,AMBP,Protein AMBP,18114,162,3.34 [1.75-6.36],0.00024119197175
Chapter XI Diseases of the digestive system,Gastric ulcer,ANXA10,Annexin A10,17591,155,1.39 [1.21-1.61],7.7283255336125e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,APOA2,Apolipoprotein A-II,15650,128,2.06 [1.50-2.83],8.656141233906448e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,AREG,Amphiregulin,17917,160,2.27 [1.73-2.98],4.500914456286106e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,ASGR1,Asialoglycoprotein receptor 1,17835,155,2.69 [1.84-3.93],2.787280056018306e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,ASGR2,Asialoglycoprotein receptor 2,15650,128,3.41 [1.97-5.89],1.1084539363625236e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,ATRAID,All-trans retinoic acid-induced differentiation factor,15579,129,1.88 [1.40-2.52],2.683349260785115e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,B2M,Beta-2-microglobulin,15642,129,1.63 [1.26-2.12],0.0002302429475756
Chapter XI Diseases of the digestive system,Gastric ulcer,B4GALT1,"Beta-1,4-galactosyltransferase 1",18039,160,3.19 [2.02-5.03],6.309344453717487e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,17568,155,1.50 [1.23-1.82],4.607422693344332e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,BMPER,BMP-binding endothelial regulator protein,15282,126,4.33 [2.27-8.24],8.098458935252913e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,BSG,Basigin,18155,162,4.86 [2.67-8.86],2.356027240647606e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,BST2,Bone marrow stromal antigen 2,18140,160,1.61 [1.29-2.02],3.106643780069543e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,BTN2A1,Butyrophilin subfamily 2 member A1,18039,160,2.66 [1.73-4.08],8.808908262272568e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,BTN3A2,Butyrophilin subfamily 3 member A2,17959,161,1.83 [1.35-2.49],9.576235665043408e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,C19orf12,Protein C19orf12,17591,155,1.34 [1.13-1.59],0.0006426495023663
Chapter XI Diseases of the digestive system,Gastric ulcer,C1QA,Complement C1q subcomponent subunit A,18097,161,3.48 [2.06-5.86],2.9601919235872192e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,15282,126,2.16 [1.37-3.41],0.0009275376673721
Chapter XI Diseases of the digestive system,Gastric ulcer,C7,Complement component C7,15267,127,2.89 [1.81-4.61],9.190322986539691e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CA12,Carbonic anhydrase 12,17917,160,2.03 [1.39-2.96],0.0002278050300857
