Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,A1BG,Alpha-1B-glycoprotein,20296,77,4.41 [1.24-15.67],0.0217543067488821
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",19916,74,1.29 [1.02-1.63],0.035246269626342
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ACHE,Acetylcholinesterase,19814,74,0.47 [0.24-0.94],0.0326745195499012
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ACTN2,Alpha-actinin-2,19591,76,1.39 [1.05-1.85],0.0225155140699061
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19674,75,2.05 [1.27-3.30],0.0033481313343416
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,22946,86,1.71 [1.26-2.33],0.0006248377443417
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,23429,89,0.44 [0.30-0.64],2.7537364851538803e-05
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADAMTSL5,ADAMTS-like protein 5,20275,79,0.51 [0.30-0.87],0.0138437439944764
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADGRG2,Adhesion G-protein coupled receptor G2,23369,89,0.39 [0.24-0.64],0.0002090057473915
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADIPOQ,Adiponectin,20296,77,1.70 [1.25-2.32],0.0007309840452771
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ADM,Pro-adrenomedullin,23573,90,3.62 [1.86-7.05],0.0001544079537989
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AFM,Afamin,20296,77,0.33 [0.12-0.96],0.0416342902875283
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AGR2,Anterior gradient protein 2 homolog,22683,86,1.35 [1.13-1.62],0.0010144016245818
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AMBP,Protein AMBP,23538,90,3.75 [1.65-8.51],0.0015913439682113
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ANG,Angiogenin,23330,88,1.77 [1.06-2.95],0.0289509169496635
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ANGPT2,Angiopoietin-2,23573,90,2.00 [1.31-3.04],0.001224887385027
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ANGPTL4,Angiopoietin-related protein 4,23417,88,1.99 [1.33-2.97],0.0007390324354826
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ANXA10,Annexin A10,22852,86,1.25 [1.02-1.54],0.0318806509132266
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,APOA2,Apolipoprotein A-II,20298,78,2.14 [1.43-3.19],0.000211427383252
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,AREG,Amphiregulin,23255,89,2.12 [1.50-3.00],2.3034434632760765e-05
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ARNT,Aryl hydrocarbon receptor nuclear translocator,22963,89,1.53 [1.03-2.28],0.0355981846106186
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ART3,Ecto-ADP-ribosyltransferase 3,23481,88,0.57 [0.35-0.94],0.0282450575578351
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,ATP5F1D,"ATP synthase subunit delta, mitochondrial",19591,76,1.49 [1.16-1.92],0.0016695473834027
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,B2M,Beta-2-microglobulin,20296,77,1.57 [1.08-2.30],0.0185157590305379
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",19719,72,0.44 [0.24-0.80],0.0069277342903494
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,B4GALT1,"Beta-1,4-galactosyltransferase 1",23453,88,2.01 [1.07-3.77],0.0289995924761649
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BAG3,BAG family molecular chaperone regulator 3,23122,89,0.67 [0.46-0.97],0.0342752844061643
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BAMBI,BMP and activin membrane-bound inhibitor homolog,22819,86,2.00 [1.20-3.35],0.0080979901627436
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BCAN,Brevican core protein,23164,89,0.35 [0.21-0.59],7.68533530783341e-05
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BMP10,Bone morphogenetic protein 10,19814,74,2.52 [1.18-5.39],0.017427054429191
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BMP6,Bone morphogenetic protein 6,22909,86,0.58 [0.37-0.91],0.0176488024496173
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BMPER,BMP-binding endothelial regulator protein,19814,74,2.51 [1.16-5.46],0.0196220229638461
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BRK1,Protein BRICK1,22852,86,1.51 [1.00-2.26],0.0476574893553647
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BTC,Probetacellulin,22819,86,1.30 [1.03-1.63],0.0241451339313246
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BTN2A1,Butyrophilin subfamily 2 member A1,23453,88,2.03 [1.11-3.72],0.0211401193448234
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,BTNL10,Butyrophilin-like protein 10,19559,76,1.45 [1.02-2.05],0.0367847833936557
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C1GALT1C1,C1GALT1-specific chaperone 1,19591,76,0.43 [0.20-0.92],0.0296429516915665
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C1QA,Complement C1q subcomponent subunit A,23538,90,2.90 [1.45-5.78],0.0024930333256552
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C1RL,Complement C1r subcomponent-like protein,20256,77,3.57 [1.14-11.13],0.0285411707002639
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C3,Complement C3,19250,72,1.48 [1.03-2.13],0.0339018418981472
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C5,Complement C5,20296,77,5.21 [1.94-14.00],0.0010537075953398
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C7,Complement component C7,19808,77,2.14 [1.18-3.89],0.0126655648680843
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C8B,Complement component C8 beta chain,20296,77,2.36 [1.14-4.86],0.0203284628650917
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,C9,Complement component C9,20298,78,2.42 [1.62-3.61],1.7301457767232207e-05
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CA14,Carbonic anhydrase 14,23573,90,0.46 [0.28-0.75],0.0020047189218386
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CA3,Carbonic anhydrase 3,23632,90,1.59 [1.21-2.09],0.0008329508837339
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CA6,Carbonic anhydrase 6,23307,88,0.73 [0.55-0.98],0.034646066695226
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CALB1,Calbindin,23255,89,2.03 [1.39-2.97],0.0002545182850316
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CALB2,Calretinin,22852,86,1.79 [1.24-2.58],0.0017784552395834
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CALCB,Calcitonin gene-related peptide 2,20224,77,2.12 [1.54-2.91],3.5713199538915003e-06
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CAPS,Calcyphosin,20224,77,1.29 [1.11-1.48],0.0006129718375165
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CCDC80,Coiled-coil domain-containing protein 80,23369,89,1.88 [1.20-2.94],0.0054888957822624
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CCL14,C-C motif chemokine 14,23330,88,1.56 [1.07-2.26],0.0212109645648793
Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,CCL21,C-C motif chemokine 21,23453,88,1.55 [1.07-2.24],0.0203079090458461
