Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",A1BG,Alpha-1B-glycoprotein,18751,182,7.61 [3.31-17.53],1.844745525378258e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ABCA2,ATP-binding cassette sub-family A member 2,18113,177,1.46 [1.01-2.12],0.0462535620799226
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ABL1,Tyrosine-protein kinase ABL1,21449,213,1.19 [1.00-1.42],0.045056556665397
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACAN,Aggrecan core protein,21325,206,1.76 [1.12-2.77],0.0142168314674582
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACE,Angiotensin-converting enzyme,18753,183,2.23 [1.38-3.63],0.0011547209957875
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACE2,Angiotensin-converting enzyme 2,21167,206,1.24 [1.01-1.53],0.0393490169277502
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACP1,Low molecular weight phosphotyrosine protein phosphatase,18194,178,0.63 [0.45-0.90],0.0109672671117696
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACTA2,"Actin, aortic smooth muscle",21167,206,1.98 [1.65-2.38],4.247526551399438e-13
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACTN2,Alpha-actinin-2,18113,177,1.34 [1.10-1.63],0.0042602364749485
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACTN4,Alpha-actinin-4,21181,209,1.40 [1.04-1.89],0.0275719674041204
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ACVRL1,Serine/threonine-protein kinase receptor R3,21315,211,6.46 [4.58-9.11],1.5957231629931613e-26
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADA2,Adenosine deaminase 2,21441,212,2.33 [1.83-2.97],6.354722025876815e-12
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18194,178,3.53 [2.73-4.56],5.447454326876429e-22
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,21167,206,1.65 [1.12-2.44],0.0117575504949548
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,21354,212,1.57 [1.13-2.18],0.007647328667124
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,21809,215,1.61 [1.11-2.33],0.0118487038891045
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,21713,216,2.62 [1.86-3.69],3.905314664920709e-08
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,18675,180,3.32 [2.33-4.73],3.514840541566449e-11
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,18194,178,1.54 [1.05-2.24],0.0268512299686633
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,21827,216,0.58 [0.36-0.94],0.0278841966870781
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,21449,213,2.53 [1.91-3.36],1.3510056120337638e-10
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,21167,206,1.44 [1.10-1.88],0.0078780570658608
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,18194,178,1.57 [1.09-2.26],0.0143077959050718
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTSL2,ADAMTS-like protein 2,18737,178,1.94 [1.38-2.74],0.0001579264509285
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADAMTSL4,ADAMTS-like protein 4,18212,175,1.79 [1.01-3.17],0.0472769348983578
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRB3,Adhesion G protein-coupled receptor B3,21315,211,1.77 [1.24-2.52],0.0015101251517458
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRD1,Adhesion G-protein coupled receptor D1,18304,177,1.77 [1.28-2.43],0.0005113271523139
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRE1,Adhesion G protein-coupled receptor E1,18675,180,1.40 [1.09-1.79],0.0084100638256427
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRE2,Adhesion G protein-coupled receptor E2,21627,216,2.06 [1.38-3.08],0.0003961000370544
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRE5,Adhesion G protein-coupled receptor E5,21726,216,2.00 [1.43-2.79],5.35483681632833e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADGRG1,Adhesion G-protein coupled receptor G1,21449,213,1.30 [1.16-1.47],1.3764329365312824e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ADIPOQ,Adiponectin,18751,182,1.66 [1.36-2.04],8.953619669999574e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AFAP1,Actin filament-associated protein 1,18304,177,0.77 [0.63-0.93],0.0063266758045532
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AGR2,Anterior gradient protein 2 homolog,20913,202,1.37 [1.21-1.55],3.0135289751111573e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AGRN,Agrin,21627,216,3.10 [2.40-3.99],2.5721186658706057e-18
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AGRP,Agouti-related protein,21809,215,1.56 [1.23-1.97],0.0002434779011289
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AHCY,Adenosylhomocysteinase,21549,209,1.22 [1.02-1.46],0.0281114758806717
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AHNAK,Neuroblast differentiation-associated protein AHNAK,18212,175,1.87 [1.29-2.70],0.0008807345581097
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AHNAK2,Protein AHNAK2,18212,175,1.96 [1.33-2.88],0.0006455236446908
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AIF1L,Allograft inflammatory factor 1-like,18212,175,1.28 [1.03-1.58],0.0257490332688518
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AKR1C4,Aldo-keto reductase family 1 member C4,21167,206,1.24 [1.01-1.51],0.0386780764356982
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ALCAM,CD166 antigen,21827,216,4.30 [2.50-7.40],1.3138296713158778e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ALDH1A1,Retinal dehydrogenase 1,21555,214,0.76 [0.60-0.96],0.0229618736729173
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",21496,210,1.25 [1.08-1.44],0.0034469681050571
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",18696,182,1.36 [1.03-1.79],0.0287142183433816
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AMBP,Protein AMBP,21711,212,9.25 [5.41-15.81],4.161358202002879e-16
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AMIGO2,Amphoterin-induced protein 2,21449,213,1.90 [1.15-3.14],0.0117404732381161
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,17602,171,1.48 [1.18-1.86],0.0006881494196867
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AMY2A,Pancreatic alpha-amylase,20754,208,1.36 [1.07-1.74],0.0127205057728468
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AMY2B,Alpha-amylase 2B,20106,207,1.35 [1.07-1.72],0.0131351795319244
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANG,Angiogenin,21515,212,2.13 [1.55-2.94],3.21997564084691e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPT2,Angiopoietin-2,21743,213,3.80 [2.95-4.90],4.714921077167117e-25
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPTL1,Angiopoietin-related protein 1,21214,205,2.88 [1.91-4.34],3.919505299933455e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPTL2,Angiopoietin-related protein 2,21550,216,1.82 [1.36-2.45],6.849018067950115e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPTL3,Angiopoietin-related protein 3,21584,212,2.07 [1.45-2.95],6.512598364098848e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPTL4,Angiopoietin-related protein 4,21594,216,2.73 [2.10-3.54],4.33632335887572e-14
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANGPTL7,Angiopoietin-related protein 7,21743,213,1.46 [1.06-2.00],0.0202082338147614
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANKRA2,Ankyrin repeat family A protein 2,18084,178,1.27 [1.01-1.60],0.0401474288139365
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANPEP,Aminopeptidase N,21620,215,1.62 [1.07-2.46],0.0237018403266185
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANXA1,Annexin A1,18210,173,1.35 [1.03-1.76],0.0273675781299723
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANXA10,Annexin A10,21072,203,1.33 [1.17-1.51],1.5137844660746365e-05
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANXA2,Annexin A2,17948,171,1.28 [1.06-1.53],0.0094776864431118
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ANXA5,Annexin A5,20999,203,1.97 [1.39-2.80],0.000151951869789
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AOC3,Membrane primary amine oxidase,21653,215,2.75 [1.86-4.08],4.754163641538941e-07
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,21449,213,1.46 [1.18-1.81],0.0005321690434112
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",APOA2,Apolipoprotein A-II,18753,183,2.17 [1.66-2.82],8.309326996827413e-09
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",APOH,Beta-2-glycoprotein 1,21555,214,1.66 [1.23-2.23],0.0008109964271933
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AREG,Amphiregulin,21449,213,2.33 [1.86-2.92],1.7287382514457025e-13
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ARHGAP1,Rho GTPase-activating protein 1,21055,208,0.76 [0.58-1.00],0.0496949387008514
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ARHGAP5,Rho GTPase-activating protein 5,18084,178,0.80 [0.64-1.00],0.04818824615221
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ARHGEF5,Rho guanine nucleotide exchange factor 5,18152,178,1.33 [1.13-1.57],0.0005289894093438
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ARMCX2,Armadillo repeat-containing X-linked protein 2,18152,178,0.72 [0.53-0.99],0.0446429710844669
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ART3,Ecto-ADP-ribosyltransferase 3,21653,215,1.60 [1.15-2.22],0.0050119271121401
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ASGR1,Asialoglycoprotein receptor 1,21354,212,3.56 [2.62-4.84],4.993369902761548e-16
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ASGR2,Asialoglycoprotein receptor 2,18753,183,4.50 [2.86-7.10],8.648517091440521e-11
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ATOX1,Copper transport protein ATOX1,21610,209,1.30 [1.08-1.55],0.0043121170169219
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ATP6AP2,Renin receptor,21055,208,1.39 [1.07-1.80],0.0125323276838529
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",ATRAID,All-trans retinoic acid-induced differentiation factor,18675,180,2.58 [1.97-3.38],6.6104329912186965e-12
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",AXL,Tyrosine-protein kinase receptor UFO,21653,215,1.95 [1.28-2.98],0.0019845839086017
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",B2M,Beta-2-microglobulin,18751,182,2.28 [1.82-2.84],3.961980694425918e-13
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",18212,175,1.65 [1.11-2.45],0.012681509339951
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",B4GALT1,"Beta-1,4-galactosyltransferase 1",21627,216,6.44 [4.49-9.24],4.555397460891014e-24
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,21055,208,1.33 [1.12-1.57],0.0013498810504716
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BAMBI,BMP and activin membrane-bound inhibitor homolog,21055,208,2.96 [2.17-4.03],5.857160239436005e-12
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BAP18,Chromatin complexes subunit BAP18,18684,182,1.26 [1.07-1.49],0.0055383361311433
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BCAM,Basal cell adhesion molecule,21555,214,2.27 [1.45-3.54],0.0003068948652978
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BCAN,Brevican core protein,21354,212,0.58 [0.41-0.82],0.0018592127756327
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",18734,180,1.69 [1.15-2.49],0.0072416543779039
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BCL2,Apoptosis regulator Bcl-2,18675,180,1.32 [1.07-1.62],0.0081197789610743
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BCL2L15,Bcl-2-like protein 15,18194,178,1.33 [1.09-1.63],0.0054460847710942
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BGLAP,Osteocalcin,18737,178,1.47 [1.24-1.74],6.039525543007537e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BMP10,Bone morphogenetic protein 10,18304,177,2.21 [1.34-3.65],0.0019200705904056
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BMPER,BMP-binding endothelial regulator protein,18304,177,3.08 [1.89-5.02],6.748073672452365e-06
Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,18194,178,1.79 [1.38-2.34],1.5542207836163713e-05
