Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,ANXA10,Annexin A10,17704,268,1.58 [1.43-1.76],4.1450244149676456e-18
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,ASGR1,Asialoglycoprotein receptor 1,17954,274,2.69 [1.98-3.66],2.2567476536505446e-10
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,C1QA,Complement C1q subcomponent subunit A,18213,277,3.55 [2.36-5.32],9.98668375447685e-10
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CA9,Carbonic anhydrase 9,18256,276,2.41 [2.02-2.88],2.3632237425221383e-22
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CBLIF,Cobalamin binding intrinsic factor,18070,278,2.47 [2.16-2.83],9.168996394264918e-40
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CCL20,C-C motif chemokine 20,18305,279,1.32 [1.20-1.46],9.152620358815604e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CD302,CD302 antigen,18027,270,2.38 [1.78-3.17],3.467531452552109e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CD74,HLA class II histocompatibility antigen gamma chain,18261,281,2.21 [1.68-2.92],1.6545688946988097e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CGA,Glycoprotein hormones alpha chain,18110,275,2.23 [1.94-2.56],9.633535301159052e-30
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CHGA,Chromogranin-A,15766,242,2.99 [2.72-3.29],7.234439015640684e-115
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CSF1,Macrophage colony-stimulating factor 1,18156,277,3.01 [2.11-4.29],1.31044671776257e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CTSD,Cathepsin D,16976,262,1.97 [1.60-2.43],2.2950481361265472e-10
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,CTSL,Cathepsin L1,18094,279,3.20 [2.16-4.72],5.117105178587819e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,EPO,Erythropoietin,18070,272,1.49 [1.34-1.66],1.3386642842522799e-13
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,FGF23,Fibroblast growth factor 23,18225,276,1.61 [1.39-1.87],2.691135607400584e-10
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,FSTL3,Follistatin-related protein 3,18038,276,2.25 [1.68-3.01],4.2229302152297726e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,GAST,Gastrin,15706,247,2.03 [1.90-2.17],2.6086695476035373e-98
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,GDF15,Growth/differentiation factor 15,18329,285,2.06 [1.75-2.43],3.3838010819484327e-18
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,GHRL,Appetite-regulating hormone,18094,279,1.60 [1.41-1.83],1.3703415240521298e-12
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,HAVCR2,Hepatitis A virus cellular receptor 2,18110,275,2.37 [1.83-3.08],8.866088087323998e-11
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,15330,242,2.22 [1.71-2.89],3.061856023374705e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,IGFBP4,Insulin-like growth factor-binding protein 4,17899,274,1.73 [1.42-2.10],3.689624991729213e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,IL10RB,Interleukin-10 receptor subunit beta,18156,277,2.50 [1.83-3.43],1.0548375057789468e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,IL18BP,Interleukin-18-binding protein,18194,281,2.35 [1.75-3.16],1.4398713532380521e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,IL6,Interleukin-6,18027,270,1.36 [1.22-1.51],2.4946590221291897e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,ITGA11,Integrin alpha-11,18070,272,0.41 [0.30-0.56],2.7135318697268337e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,LGALS9,Galectin-9,18069,276,2.53 [1.87-3.43],2.396852861450538e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,LIPF,Gastric triacylglycerol lipase,15333,242,2.56 [2.19-3.00],1.5217178476965194e-31
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,MSR1,Macrophage scavenger receptor types I and II,18261,281,1.82 [1.46-2.27],8.057698863175521e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,NPC2,NPC intracellular cholesterol transporter 2,15502,238,2.29 [1.74-3.02],4.3048840420283345e-09
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,PGA4,Pepsin A-4,15772,250,4.22 [3.64-4.89],1.5021040902903873e-82
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,PLAUR,Urokinase plasminogen activator surface receptor,17951,276,2.59 [1.87-3.60],1.343652672452357e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,REG3A,Regenerating islet-derived protein 3-alpha,18329,285,1.50 [1.30-1.73],3.7352450137010816e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,SCG3,Secretogranin-3,18091,277,3.86 [2.81-5.30],6.92492457492885e-17
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,SCT,Secretin,15311,243,0.15 [0.11-0.20],1.0188525406351876e-35
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,SPINK1,Serine protease inhibitor Kazal-type 1,18110,275,1.82 [1.46-2.26],7.699653689894489e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,TFF2,Trefoil factor 2,18129,277,2.23 [1.92-2.60],3.389665561324448e-25
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,TFRC,Transferrin receptor protein 1,18193,281,2.37 [1.84-3.06],2.738748215129114e-11
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,VCAM1,Vascular cell adhesion protein 1,18167,279,2.61 [1.83-3.70],9.540783775917249e-08
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,VSIG2,V-set and immunoglobulin domain-containing protein 2,15694,248,3.92 [3.42-4.50],5.204633215446623e-85
Chapter XI Diseases of the digestive system,Ulcer of oesophagus,WFDC2,WAP four-disulfide core domain protein 2,17186,259,1.97 [1.60-2.43],1.8215178936782212e-10
