Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ulcerative colitis,C1QA,Complement C1q subcomponent subunit A,22546,142,4.94 [3.05-8.01],8.325767339920623e-11
Chapter XI Diseases of the digestive system,Ulcerative colitis,CD300E,CMRF35-like molecule 2,22517,142,2.50 [1.84-3.38],3.454432775602525e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,CXCL8,Interleukin-8,22231,141,1.64 [1.45-1.85],7.213246774658548e-15
Chapter XI Diseases of the digestive system,Ulcerative colitis,CXCL9,C-X-C motif chemokine 9,22469,144,1.76 [1.50-2.07],6.239647198683936e-12
Chapter XI Diseases of the digestive system,Ulcerative colitis,DLL1,Delta-like protein 1,22443,143,3.46 [2.27-5.27],8.679931954397252e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,DSC2,Desmocollin-2,22130,139,3.50 [2.46-4.99],4.0656457698116644e-12
Chapter XI Diseases of the digestive system,Ulcerative colitis,EFNA1,Ephrin-A1,22357,142,3.39 [2.28-5.02],1.2816060554719611e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,FAS,Tumor necrosis factor receptor superfamily member 6,22597,141,1.95 [1.55-2.45],1.224547343766608e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,FGF23,Fibroblast growth factor 23,22541,142,1.70 [1.41-2.05],2.277119653746061e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,FSTL3,Follistatin-related protein 3,22327,144,2.82 [1.95-4.10],4.4364252946030175e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,GDF15,Growth/differentiation factor 15,22671,142,2.50 [2.05-3.05],1.4897915184537891e-19
Chapter XI Diseases of the digestive system,Ulcerative colitis,HAVCR2,Hepatitis A virus cellular receptor 2,22398,142,2.63 [1.86-3.72],4.824101492512103e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,22238,139,3.15 [2.08-4.78],6.002521755338947e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,IGFBP4,Insulin-like growth factor-binding protein 4,22129,140,2.12 [1.66-2.71],2.0865538757875582e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL15,Interleukin-15,22361,139,3.88 [2.80-5.39],4.349321852532568e-16
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL17A,Interleukin-17A,21968,139,1.87 [1.55-2.25],5.026697193744277e-11
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL18BP,Interleukin-18-binding protein,22493,140,3.18 [2.13-4.74],1.4982066173181997e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL2RA,Interleukin-2 receptor subunit alpha,22254,139,2.42 [1.84-3.17],1.9997406962367068e-10
Chapter XI Diseases of the digestive system,Ulcerative colitis,LCN2,Neutrophil gelatinase-associated lipocalin,21718,138,2.29 [1.71-3.05],2.143938535063547e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,MMP10,Stromelysin-2,22318,142,2.65 [2.22-3.16],2.6418493064676016e-27
Chapter XI Diseases of the digestive system,Ulcerative colitis,MMP12,Macrophage metalloelastase,22416,141,2.12 [1.69-2.66],8.182156137048331e-11
Chapter XI Diseases of the digestive system,Ulcerative colitis,NOS2,"Nitric oxide synthase, inducible",18742,122,3.14 [2.50-3.93],2.579579404628571e-23
Chapter XI Diseases of the digestive system,Ulcerative colitis,PDCD1,Programmed cell death protein 1,22536,142,2.24 [1.71-2.93],5.3424600434409e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,PGF,Placenta growth factor,22652,142,4.17 [2.78-6.25],4.742289779424007e-12
Chapter XI Diseases of the digestive system,Ulcerative colitis,PRG2,Bone marrow proteoglycan,19407,121,2.82 [2.12-3.76],1.1422292115191557e-12
Chapter XI Diseases of the digestive system,Ulcerative colitis,PRG3,Proteoglycan 3,19407,121,2.50 [1.82-3.45],2.0988469096151444e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,PRTN3,Myeloblastin,21853,135,1.78 [1.46-2.15],6.440028530258084e-09
Chapter XI Diseases of the digestive system,Ulcerative colitis,PTGDS,Prostaglandin-H2 D-isomerase,22246,139,7.34 [5.58-9.65],4.046203029811309e-46
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG3A,Regenerating islet-derived protein 3-alpha,22671,142,1.78 [1.48-2.14],7.30876338454377e-10
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG4,Regenerating islet-derived protein 4,22393,144,2.36 [1.83-3.03],1.970062271976713e-11
