Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,BTN2A1,Butyrophilin subfamily 2 member A1,20504,1287,1.78 [1.50-2.12],9.523343881538208e-11
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,CD160,CD160 antigen,20660,1296,1.47 [1.33-1.63],2.4591962376498404e-14
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,DLL1,Delta-like protein 1,20479,1290,1.82 [1.56-2.13],5.101526850731873e-14
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,DSC2,Desmocollin-2,20184,1265,1.65 [1.43-1.90],2.7014810469124964e-12
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,EPHB4,Ephrin type-B receptor 4,20685,1297,1.84 [1.53-2.22],8.564360667030086e-11
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,IGFBP4,Insulin-like growth factor-binding protein 4,20192,1263,1.39 [1.26-1.54],2.7868863542963034e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,KLK3,Prostate-specific antigen,17716,1075,1.20 [1.14-1.26],2.694696365382228e-13
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,KLRB1,Killer cell lectin-like receptor subfamily B member 1,20660,1296,1.53 [1.35-1.73],3.6910300014806045e-11
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,LCN2,Neutrophil gelatinase-associated lipocalin,19817,1229,1.47 [1.30-1.66],9.037328859166859e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,NBL1,Neuroblastoma suppressor of tumorigenicity 1,20479,1290,1.76 [1.47-2.10],6.607097776156324e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,NECTIN4,Nectin-4,20479,1290,1.54 [1.34-1.76],5.721616952684941e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,RETN,Resistin,20385,1278,1.44 [1.30-1.61],3.048033024052932e-11
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,SHISA5,Protein shisa-5,17716,1075,1.83 [1.52-2.22],3.9054850124935e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,TFF3,Trefoil factor 3,20422,1269,1.46 [1.30-1.64],3.676195482316507e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,20441,1280,1.64 [1.42-1.91],7.459400481438414e-11
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,20441,1280,1.47 [1.30-1.65],4.0747738162063406e-10
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,TSPAN1,Tetraspanin-1,20049,1262,1.51 [1.43-1.59],2.3270497089307548e-48
Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,WFDC2,WAP four-disulfide core domain protein 2,19415,1223,1.55 [1.39-1.73],8.566648779301974e-15
