Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ACAN,Aggrecan core protein,22713,1230,1.77 [1.48-2.11],3.0158378438643487e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ACE2,Angiotensin-converting enzyme 2,22510,1223,1.31 [1.20-1.43],3.2495363568707533e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ACTA2,"Actin, aortic smooth muscle",22510,1223,1.25 [1.13-1.39],2.735015047150442e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ADA,Adenosine deaminase,23193,1264,1.41 [1.23-1.61],4.6100616084394246e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ADA2,Adenosine deaminase 2,22772,1244,1.31 [1.16-1.48],1.173541518896511e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",22903,1245,1.18 [1.10-1.27],3.053593939934054e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,AMBP,Protein AMBP,23113,1256,2.08 [1.60-2.71],5.057001803125013e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ANXA10,Annexin A10,22397,1210,1.15 [1.08-1.23],1.2888539508666733e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,ASGR1,Asialoglycoprotein receptor 1,22789,1237,1.49 [1.26-1.77],4.826089821590498e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",19349,1068,1.45 [1.23-1.71],1.017590159473897e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,B4GALT1,"Beta-1,4-galactosyltransferase 1",23037,1258,1.52 [1.26-1.83],1.025127384629904e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,BRK1,Protein BRICK1,22397,1210,1.31 [1.17-1.47],4.555585586912319e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,BSG,Basigin,23156,1263,1.82 [1.40-2.38],1.0023087515097347e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,BST2,Bone marrow stromal antigen 2,23158,1263,1.26 [1.16-1.38],8.377489151476751e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,BTN2A1,Butyrophilin subfamily 2 member A1,23037,1258,1.71 [1.40-2.09],2.087490424163738e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CCL15,C-C motif chemokine 15,23209,1266,1.27 [1.13-1.42],3.32628978155748e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CCL7,C-C motif chemokine 7,22934,1247,1.18 [1.09-1.28],8.074370596045212e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CCN3,CCN family member 3,23172,1261,1.81 [1.56-2.09],2.924108578053636e-15
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD27,CD27 antigen,23001,1255,1.34 [1.17-1.52],1.152652936961621e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD276,CD276 antigen,22922,1253,1.55 [1.34-1.80],7.362343385733102e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD300A,CMRF35-like molecule 8,19454,1083,1.58 [1.28-1.93],1.2520161626836842e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD300C,CMRF35-like molecule 6,23158,1263,1.37 [1.18-1.59],3.062837123259114e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD300E,CMRF35-like molecule 2,23065,1254,1.31 [1.15-1.48],4.235075580712547e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD302,CD302 antigen,22836,1248,1.81 [1.54-2.14],1.5977182803775793e-12
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD4,T-cell surface glycoprotein CD4,22898,1246,1.40 [1.20-1.64],2.7671381052212648e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD48,CD48 antigen,23001,1256,1.42 [1.19-1.69],8.784697188852545e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD59,CD59 glycoprotein,22075,1212,1.84 [1.47-2.31],9.011456638673733e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD80,T-lymphocyte activation antigen CD80,19888,1098,1.45 [1.22-1.72],1.6540754203385282e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD83,CD83 antigen,22934,1247,1.48 [1.28-1.72],1.9305302408877682e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD93,Complement component C1q receptor,22004,1203,1.73 [1.47-2.04],7.811035808884905e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CD99,CD99 antigen,22927,1252,1.79 [1.43-2.26],6.412291277892456e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CDCP1,CUB domain-containing protein 1,22789,1237,1.43 [1.30-1.57],9.343891434729048e-14
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CDNF,Cerebral dopamine neurotrophic factor,22836,1248,1.41 [1.21-1.64],1.0330133823987002e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CELA2A,Chymotrypsin-like elastase family member 2A,19883,1091,0.78 [0.71-0.86],1.1787841211371e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",19835,1092,1.44 [1.26-1.65],8.189813293538908e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CHCHD6,MICOS complex subunit MIC25,19805,1089,1.51 [1.26-1.81],6.650513172895663e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CHGA,Chromogranin-A,19883,1091,1.34 [1.25-1.43],5.062089009436384e-18
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CKAP4,Cytoskeleton-associated protein 4,23070,1256,1.59 [1.31-1.92],1.6642390031056216e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CKB,Creatine kinase B-type,19883,1091,1.27 [1.15-1.40],3.3676356606360747e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CLEC14A,C-type lectin domain family 14 member A,22927,1252,1.74 [1.48-2.05],1.5202153653596075e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CLEC1A,C-type lectin domain family 1 member A,22510,1223,1.45 [1.24-1.70],5.736635031501321e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,COL18A1,Collagen alpha-1(XVIII) chain,22995,1253,1.64 [1.31-2.05],1.5050440042280166e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,COL6A3,Collagen alpha-3(VI) chain,23209,1266,1.81 [1.56-2.11],1.0371804481641516e-14
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,COL9A1,Collagen alpha-1(IX) chain,22934,1247,1.90 [1.72-2.10],2.2562764914965104e-35
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,COLEC12,Collectin-12,22922,1253,1.64 [1.34-2.01],1.6636916725120157e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,COMP,Cartilage oligomeric matrix protein,22673,1237,1.63 [1.40-1.90],2.538915387105351e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CRELD1,Protein disulfide isomerase CRELD1,19454,1083,1.52 [1.30-1.78],1.925412474429157e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CRIM1,Cysteine-rich motor neuron 1 protein,23037,1258,1.73 [1.35-2.22],1.365671493614284e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CRIP2,Cysteine-rich protein 2,22789,1237,1.30 [1.14-1.49],8.182620864001808e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,CRTAC1,Cartilage acidic protein 1,23209,1266,1.74 [1.46-2.07],3.913606020902841e-10
