Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter II Neoplasms,Benign neoplasm: Stomach,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19548,55,2.54 [1.47-4.40],0.000854901680617
Chapter II Neoplasms,Benign neoplasm: Stomach,BTD,Biotinidase,20174,59,8.23 [2.49-27.15],0.0005388792407357
Chapter II Neoplasms,Benign neoplasm: Stomach,CALB1,Calbindin,23047,70,2.18 [1.44-3.31],0.0002492610444784
Chapter II Neoplasms,Benign neoplasm: Stomach,CD164,Sialomucin core protein 24,23183,71,1.82 [1.35-2.46],9.43677272926214e-05
Chapter II Neoplasms,Benign neoplasm: Stomach,CD200,OX-2 membrane glycoprotein,23102,69,3.13 [1.85-5.30],2.250582022342132e-05
Chapter II Neoplasms,Benign neoplasm: Stomach,CHGA,Chromogranin-A,20155,58,1.57 [1.30-1.89],2.741410153625676e-06
Chapter II Neoplasms,Benign neoplasm: Stomach,CKAP4,Cytoskeleton-associated protein 4,23283,71,2.48 [1.48-4.15],0.0005389879505335
Chapter II Neoplasms,Benign neoplasm: Stomach,CNTNAP2,Contactin-associated protein-like 2,23102,69,2.02 [1.33-3.07],0.0009640776468274
Chapter II Neoplasms,Benign neoplasm: Stomach,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b,22639,67,1.67 [1.28-2.19],0.0001870065516331
Chapter II Neoplasms,Benign neoplasm: Stomach,FGF12,Fibroblast growth factor 12,19548,55,1.55 [1.22-1.98],0.0003442409710074
Chapter II Neoplasms,Benign neoplasm: Stomach,GAST,Gastrin,20107,56,1.39 [1.21-1.59],3.418871877103613e-06
Chapter II Neoplasms,Benign neoplasm: Stomach,PMCH,Pro-MCH,19459,55,1.40 [1.18-1.65],8.81995908421595e-05
Chapter II Neoplasms,Benign neoplasm: Stomach,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,22884,69,2.67 [1.54-4.62],0.0004422772508536
Chapter II Neoplasms,Benign neoplasm: Stomach,RTBDN,Retbindin,23047,70,2.42 [1.57-3.74],6.368557557498357e-05
Chapter II Neoplasms,Benign neoplasm: Stomach,SCG3,Secretogranin-3,23182,71,2.72 [1.50-4.90],0.0009171873233124
Chapter II Neoplasms,Benign neoplasm: Stomach,VSIG2,V-set and immunoglobulin domain-containing protein 2,20050,57,1.87 [1.39-2.51],3.6062010710181536e-05
