Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ABO,Histo-blood group ABO system transferase,18975,272,1.10 [1.02-1.20],0.0153173319864196
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",21279,338,1.29 [1.16-1.44],4.902772305139998e-06
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACE,Angiotensin-converting enzyme,18975,272,2.58 [1.72-3.87],5.105860298105487e-06
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACE2,Angiotensin-converting enzyme 2,21358,338,1.81 [1.58-2.07],2.5851595779981317e-18
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACHE,Acetylcholinesterase,18554,263,1.72 [1.27-2.34],0.0005257732092876
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACRV1,Acrosomal protein SP-10,18401,266,1.38 [1.28-1.50],1.1172428340508892e-15
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACTA2,"Actin, aortic smooth muscle",21358,338,1.25 [1.03-1.52],0.0261760842836914
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACVRL1,Serine/threonine-protein kinase receptor R3,21532,344,2.34 [1.73-3.17],3.883671075896264e-08
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACY1,Aminoacylase-1,21769,347,1.29 [1.12-1.49],0.000430586956237
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,18317,270,1.56 [1.29-1.89],3.772401572316053e-06
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADA,Adenosine deaminase,21985,349,1.41 [1.10-1.81],0.0072816251292638
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADA2,Adenosine deaminase 2,21658,339,1.68 [1.37-2.05],3.9642283441306034e-07
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,18401,266,1.72 [1.27-2.35],0.0005174067608693
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,21358,338,1.37 [1.01-1.87],0.0447031178623134
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,21566,344,1.31 [1.01-1.70],0.0387925400437067
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,18868,273,1.59 [1.11-2.27],0.0106949101142798
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAMTSL2,ADAMTS-like protein 2,18974,278,1.72 [1.29-2.31],0.0002463631204636
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADAMTSL4,ADAMTS-like protein 4,18488,269,0.56 [0.35-0.91],0.0197638548178825
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,21279,338,0.68 [0.47-0.99],0.04452217655081
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADGRE5,Adhesion G protein-coupled receptor E5,21940,348,1.38 [1.03-1.84],0.0297596367738235
Chapter IX Diseases of the circulatory system,Unstable angina pectoris,ADGRF5,Adhesion G protein-coupled receptor F5,18964,274,1.52 [1.01-2.28],0.0459026108986973
