Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Cholelithiasis,ACRV1,Acrosomal protein SP-10,18187,480,0.74 [0.68-0.81],1.500595861116941e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,ADGRD1,Adhesion G-protein coupled receptor D1,18343,477,0.52 [0.41-0.66],4.742904963473176e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,AGR2,Anterior gradient protein 2 homolog,20866,573,1.52 [1.42-1.63],1.887636262549436e-33
Chapter XI Diseases of the digestive system,Cholelithiasis,ALCAM,CD166 antigen,21788,600,2.86 [2.06-3.97],3.970598294770063e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,AMOT,Angiomotin,18343,477,2.14 [1.76-2.61],5.80755940429483e-14
Chapter XI Diseases of the digestive system,Cholelithiasis,ANXA10,Annexin A10,21035,579,1.43 [1.33-1.54],3.687581643937043e-21
Chapter XI Diseases of the digestive system,Cholelithiasis,C1QA,Complement C1q subcomponent subunit A,21634,597,2.39 [1.75-3.28],5.882029754104429e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,C4BPB,C4b-binding protein beta chain,21603,591,1.67 [1.41-1.97],3.5604786325111115e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,CCL20,C-C motif chemokine 20,21736,599,1.22 [1.14-1.30],1.9987251594898373e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,CD300E,CMRF35-like molecule 2,21624,599,1.63 [1.39-1.91],9.804372329642063e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,CD48,CD48 antigen,21573,591,1.87 [1.49-2.36],8.446360932152815e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,CD5,T-cell surface glycoprotein CD5,21661,600,1.67 [1.41-1.98],4.245157972238764e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,CD83,CD83 antigen,21472,594,1.71 [1.41-2.08],4.3918644212201966e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,CEACAM16,Carcinoembryonic antigen-related cell adhesion molecule 16,18657,484,1.40 [1.26-1.56],1.148833508307441e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,CGA,Glycoprotein hormones alpha chain,21543,590,1.40 [1.30-1.51],5.336058467176266e-19
Chapter XI Diseases of the digestive system,Cholelithiasis,CHGA,Chromogranin-A,18752,485,1.36 [1.26-1.46],1.0164587536209931e-16
Chapter XI Diseases of the digestive system,Cholelithiasis,CHRDL1,Chordin-like protein 1,21573,591,1.82 [1.46-2.26],7.446274515951528e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,CKAP4,Cytoskeleton-associated protein 4,21641,596,1.95 [1.57-2.42],1.4114522667961563e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,CLMP,CXADR-like membrane protein,21697,600,2.97 [2.20-4.01],1.165260949972581e-12
Chapter XI Diseases of the digestive system,Cholelithiasis,CRISP2,Cysteine-rich secretory protein 2,21697,600,0.74 [0.67-0.81],1.291637671769136e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,CSF1,Macrophage colony-stimulating factor 1,21608,591,2.25 [1.76-2.88],1.2824079375512274e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,CTSO,Cathepsin O,21736,599,2.14 [1.72-2.67],9.980495245699855e-12
Chapter XI Diseases of the digestive system,Cholelithiasis,DPT,Dermatopontin,21788,600,2.51 [1.85-3.41],3.967799511367874e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,EDDM3B,Epididymal secretory protein E3-beta,18651,478,0.68 [0.61-0.77],1.2453529692894476e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,ELN,Elastin,18739,480,2.07 [1.66-2.57],7.200282783116962e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,FABP4,"Fatty acid-binding protein, adipocyte",21788,600,1.65 [1.47-1.86],2.001464824871776e-17
Chapter XI Diseases of the digestive system,Cholelithiasis,FETUB,Fetuin-B,21592,593,2.46 [1.94-3.12],1.33000205539421e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,FSHB,Follitropin subunit beta,18272,467,1.38 [1.26-1.50],6.758124111167054e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,GAST,Gastrin,18708,478,1.29 [1.23-1.36],9.84221153221852e-24
Chapter XI Diseases of the digestive system,Cholelithiasis,GFRA1,GDNF family receptor alpha-1,21657,599,2.16 [1.72-2.71],2.6303035839287748e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,GZMA,Granzyme A,21736,599,1.89 [1.57-2.28],1.2851533554013228e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,IL12A_IL12B,Interleukin-12,21419,583,1.30 [1.20-1.42],1.1839088705183083e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,IL1RL2,Interleukin-1 receptor-like 2,21115,577,1.77 [1.46-2.14],5.97534269466786e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,IL1RN,Interleukin-1 receptor antagonist protein,21478,589,1.39 [1.24-1.55],2.2759402401237232e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,INHBC,Inhibin beta C chain,21543,590,1.70 [1.40-2.05],6.378883364143573e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,INSL3,Insulin-like 3,18708,478,0.78 [0.73-0.83],5.019502139010536e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,21634,593,1.77 [1.46-2.14],6.3525615993055214e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,KLK3,Prostate-specific antigen,18752,485,0.80 [0.75-0.85],4.171523291115993e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,KRT19,"Keratin, type I cytoskeletal 19",21429,593,1.31 [1.19-1.44],3.456248881191985e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,LEP,Leptin,21513,600,1.57 [1.44-1.72],4.2669893013930696e-23
Chapter XI Diseases of the digestive system,Cholelithiasis,LGALS3,Galectin-3,21583,596,1.87 [1.49-2.36],8.27707881882131e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,LGALS9,Galectin-9,21509,589,2.20 [1.79-2.72],1.6778949756025206e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,MMP3,Stromelysin-1,21543,590,0.71 [0.63-0.80],5.561553383208689e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,MSTN,Growth/differentiation factor 8,21113,579,0.63 [0.55-0.72],7.597037897760258e-12
Chapter XI Diseases of the digestive system,Cholelithiasis,NHLRC3,NHL repeat-containing protein 3,17882,468,2.56 [1.93-3.40],9.957113610643371e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,OBP2B,Odorant-binding protein 2b,21257,579,0.75 [0.69-0.83],3.719228482002742e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,PDCD1,Programmed cell death protein 1,21655,597,1.49 [1.28-1.72],9.326706799623428e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,PLAUR,Urokinase plasminogen activator surface receptor,21377,585,2.15 [1.69-2.74],7.017717032368092e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,POF1B,Protein POF1B,18187,480,1.64 [1.41-1.90],1.3660075124388229e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,PROC,Vitamin K-dependent protein C,21592,593,2.30 [1.73-3.05],7.057318185765006e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,PROK1,Prokineticin-1,21472,594,0.77 [0.70-0.84],2.0024163951822093e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,PSPN,Persephin,21472,594,0.81 [0.77-0.86],7.697974152584826e-14
Chapter XI Diseases of the digestive system,Cholelithiasis,PTN,Pleiotrophin,21113,579,1.51 [1.31-1.73],5.587771109995734e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,PZP,Pregnancy zone protein,18776,485,1.68 [1.50-1.89],1.2722018124288653e-19
Chapter XI Diseases of the digestive system,Cholelithiasis,RARRES2,Retinoic acid receptor responder protein 2,21662,594,1.56 [1.36-1.78],1.1305067643591843e-10
Chapter XI Diseases of the digestive system,Cholelithiasis,SCG3,Secretogranin-3,21542,590,1.82 [1.47-2.25],2.8907706998705164e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,SCGN,Secretagogin,21115,577,1.92 [1.66-2.22],2.5044621032349735e-18
Chapter XI Diseases of the digestive system,Cholelithiasis,SCT,Secretin,18237,468,0.57 [0.47-0.70],2.515870675294215e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,SEMA3F,Semaphorin-3F,21513,600,2.05 [1.58-2.67],8.735149789760992e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,SERPINA7,Thyroxine-binding globulin,18776,485,4.64 [3.06-7.04],5.39858413978859e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,SMOC1,SPARC-related modular calcium-binding protein 1,21697,600,1.88 [1.52-2.32],4.022491899624598e-09
Chapter XI Diseases of the digestive system,Cholelithiasis,SPINT3,Kunitz-type protease inhibitor 3,18657,484,0.88 [0.85-0.91],3.228908047701688e-13
Chapter XI Diseases of the digestive system,Cholelithiasis,TEX101,Testis-expressed protein 101,18237,468,0.64 [0.56-0.73],2.283907360670695e-11
Chapter XI Diseases of the digestive system,Cholelithiasis,TFF2,Trefoil factor 2,21573,591,1.49 [1.33-1.67],8.064425750143928e-12
Chapter XI Diseases of the digestive system,Cholelithiasis,TFF3,Trefoil factor 3,21515,592,1.63 [1.43-1.85],6.876551098509483e-14
Chapter XI Diseases of the digestive system,Cholelithiasis,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,21736,599,1.58 [1.34-1.86],3.6249448351182255e-08
Chapter XI Diseases of the digestive system,Cholelithiasis,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,21759,599,1.81 [1.46-2.25],8.798556726634692e-08
