Pro_code,ImportanceScore
GDF15,0.027010101010101
EDA2R,0.0093838383838383
TNFRSF10B,0.0056262626262626
ADM,0.0086666666666666
VSIG4,0.0014848484848484
EFNA4,0.0011313131313131
EGFR,0.014030303030303
CHCHD10,0.0087070707070707
HAVCR1,0.0128383838383838
CXCL9,0.0082424242424242
IL6,0.0105353535353535
LRRN1,0.0108686868686868
IGLC2,0.0067272727272727
ADGRG2,0.0092626262626262
MSR1,0.0077676767676767
AREG,0.0078585858585858
CNTN5,0.0107979797979798
IL15,0.0098989898989899
DPP4,0.0049595959595959
REG1A,0.0048686868686868
ITGA11,0.0047979797979798
CD300E,0.0023131313131313
WFDC2,0.0026464646464646
CHGA,0.0052525252525252
GAST,0.0056565656565656
C7,0.0054040404040404
HAVCR2,0.0027171717171717
CDCP1,0.0087979797979798
LY9,0.0058989898989899
CKAP4,0.0008888888888888
PRAP1,0.004070707070707
LGALS4,0.005060606060606
ICAM1,0.0052222222222222
HPGDS,0.0049797979797979
KIT,0.0057373737373737
LMNB2,0.0032222222222222
FCRL2,0.0054141414141414
REN,0.0042323232323232
CD27,0.0031616161616161
TNC,0.0082020202020202
SEZ6L,0.0058585858585858
SPON1,0.0021616161616161
SLAMF7,0.0042828282828282
ICAM3,0.0047272727272727
COLEC12,0.0005757575757575
SCG3,0.0066868686868686
GAS6,0.0043333333333333
CCL15,0.0043030303030303
CCL23,0.0046464646464646
CD72,0.003020202020202
DDAH1,0.0042020202020202
CLEC4D,0.0027777777777777
AMBP,0.0036464646464646
SLAMF6,0.003080808080808
VSIG2,0.002010101010101
CD79B,0.0021111111111111
FAM3D,0.0047575757575757
SORCS2,0.0039191919191919
IL19,0.0044444444444444
IL15RA,0.0017777777777777
IL10,0.0034646464646464
CILP,0.0027676767676767
CXCL10,0.0043737373737373
NRCAM,0.0051212121212121
CSF1,0.0014242424242424
PPP1R14D,0.0015757575757575
KLK4,0.0028383838383838
TNFSF13B,0.0038686868686868
NPC2,0.0013131313131313
NCR1,0.0036161616161616
EPO,0.0033535353535353
CD99L2,0.0011919191919191
