Pro_code,ImportanceScore
LCP1,0.055090909090909
FLT3LG,0.0542121212121212
ELN,0.0463535353535353
ERVV-1,0.0418888888888888
PDCD1LG2,0.0391414141414141
C19orf12,0.0468181818181818
ROR1,0.0371212121212121
NPPB,0.0393434343434343
KLK4,0.0361818181818181
NTproBNP,0.0337272727272727
DSG3,0.033060606060606
LMOD1,0.0354949494949495
CST6,0.0372727272727272
TGFBR3,0.0321111111111111
COL6A3,0.0283030303030303
F9,0.0328787878787878
CD302,0.0342424242424242
GSTA3,0.0253232323232323
CDHR2,0.0332020202020202
XG,0.0279494949494949
DSG2,0.0276666666666666
CDH3,0.0285959595959595
IGFBP1,0.0264444444444444
OGN,0.0215252525252525
TNFRSF19,0.0266161616161616
ADH4,0.026080808080808
CPM,0.0188989898989899
CLMP,0.0288282828282828
GSTA1,0.0215151515151515
IGFBP2,0.0241111111111111
