Pro_code,ImportanceScore
NPY,0.0528888888888888
LHB,0.040020202020202
TXNDC15,0.0424848484848484
KLK14,0.0398686868686868
POSTN,0.0402727272727272
COL4A1,0.045060606060606
ADAMTS16,0.0339494949494949
PLXDC1,0.0397373737373737
NINJ1,0.0353838383838383
IL32,0.0389898989898989
THBS2,0.0344040404040404
NPHS1,0.0371212121212121
WASL,0.0349090909090909
CFC1,0.0345757575757575
EDA2R,0.0317474747474747
TNFRSF8,0.0296868686868686
NPDC1,0.0304545454545454
RNF31,0.036030303030303
FBLN2,0.029090909090909
BAMBI,0.0294646464646464
GZMB,0.0287474747474747
PRELP,0.0285858585858585
REN,0.0285858585858585
RALB,0.0317070707070707
HSPG2,0.0276464646464646
FLT3LG,0.0315151515151515
THBS4,0.0269696969696969
CDH15,0.0209191919191919
FAS,0.019090909090909
RSPO3,0.020090909090909
