Pro_code,ImportanceScore
CNTN1,0.0435372175955795
AHNAK,0.0322688477741311
TLR2,0.0311885837757933
GAST,0.0280395338767983
AKAP12,0.027474144531266
MUC13,0.026670532450565
HNMT,0.0265072585513932
PAPPA,0.0232042068556028
ANXA10,0.0225935677784608
CD74,0.0222017147328682
CD160,0.019738166786337
SOD3,0.0193397745017455
GGH,0.0193321239149617
HAVCR1,0.0173222451650235
IL31RA,0.0160351002209856
CHL1,0.0155627656558235
ITIH5,0.0155165399774287
CTSV,0.0150098433070973
INSL3,0.0148981943427488
NOS2,0.013986085904409
SLITRK6,0.01326624731028
OBP2B,0.0126191884605895
FAM20A,0.0114931298165872
REG4,0.0111443958451123
CORO6,0.0103107559538174
HEPACAM2,0.0102235933297105
APOH,0.0099905848782735
TET2,0.0098034694943858
KLB,0.0096560751684594
ST6GAL1,0.0096115165930433
CD48,0.0095989125722232
CSPG4,0.0095082506866003
FCER1A,0.0092015416510288
CALB2,0.0086687499657036
NPTN,0.0082848684294258
PDE4D,0.0081860419031816
EXTL1,0.0079314959783589
THBD,0.0076573561477781
MRPL24,0.0075422131955322
FUT3_FUT5,0.0073588436056568
NCAM2,0.0068585813522992
CD34,0.0068049680617601
NOTCH2,0.0067931487574001
KLK8,0.0067658929270085
ASPN,0.0061818479692943
TNFRSF14,0.0061174867865032
ABCA2,0.0060806613659189
LRIG1,0.0060702122010607
RSPO1,0.0060543396161298
TFF2,0.006025697170446
SEZ6,0.0054160893295091
BTN1A1,0.0054012786905333
ADGRE1,0.0053760436074034
ERBB2,0.0053589663275958
RRM2,0.0052455825928369
GRIK2,0.004781753238971
CAPG,0.0047634717275611
FAM3C,0.0044077473652051
CCL27,0.004247811742716
ANKRA2,0.0042320565366474
ADAMTS8,0.0042203561956878
KIR2DS4,0.0041885836100318
ITGAL,0.0041808698332143
SFTPA2,0.004137795119199
PDCD1,0.0041362830764606
AMY2A,0.004108223554209
TMEM132A,0.0040468482245787
FGF9,0.0039577593610102
LECT2,0.0038998169250922
RICTOR,0.0038871935320899
GDF15,0.0038315027633953
GPA33,0.003817004089427
LAMP2,0.0037764905016638
ELOA,0.0037762618787328
KLK13,0.0037759987457647
GART,0.0037636374033054
CBLIF,0.0037402764829018
CALCOCO1,0.0037388377905223
SSC5D,0.0037208147648109
MPIG6B,0.0037203304348778
BTNL10,0.0035819527533427
ZHX2,0.0034660899464903
IL1RL2,0.0033993662721343
BIN2,0.0033930730728735
MLN,0.0033899567785058
EFNB2,0.003378722233857
IL17C,0.0033717455938338
IL13,0.0033689199816099
RAB3GAP1,0.0033666310977565
CFHR5,0.0033102534710245
TPRKB,0.0032382750178757
MAPT,0.0032094583133395
CRHBP,0.0031989216736576
FLT4,0.0031632129809653
RCC1,0.0030446149229482
CDH4,0.0030236463292745
TBC1D17,0.003022283562513
SNX2,0.003006679460954
CHGA,0.0029777390779318
IVD,0.0029326986129752
TRIAP1,0.0028424022168064
IL33,0.0028276954826488
TP53BP1,0.0028158625549847
PTK7,0.0028057634064337
GFAP,0.0028032616736699
HEPH,0.0027858842420018
ITGA5,0.002772162189773
GASK1A,0.0027651080321605
PTPRM,0.0027521995274529
SMARCA2,0.0027456103429877
AMPD3,0.002736398271998
PCDH17,0.0027260211165107
IL12A_IL12B,0.0026842601324254
VSTM1,0.0026646278417866
LATS1,0.0026588338826436
CEP112,0.0026457695366121
PCDH7,0.0026439474348192
DDX25,0.0025649901436567
STX6,0.0025442603678183
KIRREL2,0.0024855172532853
ERCC1,0.0024499064689148
CD200,0.0023943308199516
RBM25,0.0023181677423708
COL1A1,0.0022863838215543
PNMA2,0.0022569789921603
VNN1,0.0022567722647807
CFC1,0.0021761531333961
CCN5,0.0021586236858753
ALDH1A1,0.0021400699661263
COPE,0.0021309676921866
PPP1R12B,0.0021259945141779
CLEC4G,0.0020892266419755
FOLR1,0.0020861258477499
CRELD2,0.002076783626891
PTH,0.0020459460041285
CASP7,0.0019350835443025
NUDT16,0.0019160000893882
MAEA,0.0018871814916538
CFI,0.0018394704176409
CCL3,0.0017191496823619
MFAP3L,0.0017033954594407
PLEKHO1,0.001568034774145
ICOSLG,0.0014322361759399
