Pro_code,ImportanceScore
GDF15,0.1530739281473098
PLXNB2,0.0948416638349387
NFASC,0.0468313980749069
REN,0.0426528890814822
CD276,0.0414739397513259
PLA2G7,0.0412712113264782
CREG1,0.0338663557310348
PLA2G1B,0.0316347814878125
NCAN,0.0311372255915398
LGALS4,0.0281655743438414
WIF1,0.0267668184617009
MATN3,0.0253746069003111
TGFBI,0.0246467863771258
FGFBP1,0.0237148389720712
DSG4,0.0233213168278145
CA12,0.023223790123943
CPA1,0.0221267441045986
BCAN,0.0211554178955434
CHAD,0.0211232058602876
MUC13,0.0200413651314649
CPB1,0.0184692955572809
DMP1,0.0182926693454304
CDH1,0.0175157168151906
BGLAP,0.0157997020115995
CPA2,0.0149357037025169
TPK1,0.0149197459547709
PAM,0.0147012356044278
GHRL,0.0121256942278969
CILP,0.0117902341803662
SPINK4,0.0110934283939919
RTN4R,0.0099971472699602
REG4,0.0098547923149897
GPA33,0.0097912006560158
SCARA5,0.0093831226812941
ADGRG2,0.0057354617007812
ADGRG1,0.0045011094596943
PRCP,0.0039695891705909
DPP6,0.0035034551108643
IL1R1,0.003389557279944
PDCD1LG2,0.0021518533589119
TREM2,0.0021063990508771
MIA,0.0017872839327006
SPOCK1,0.0017380019108258
CTRB1,0.0016544088213324
CXCL17,0.001626545125755
CDH17,0.0015783123996998
BOC,0.0011444759367571
