Pro_code,ImportanceScore
GDF15,0.24051102735624
REN,0.053222037729656
HAVCR1,0.0501389283122968
IGFBP4,0.0433810763439393
PLAUR,0.0393155344546784
VSIG4,0.0324788193250704
LGALS4,0.030706314203216
TNFRSF10B,0.0297596417361474
EGFR,0.0296485567568631
BCAN,0.0281335892387602
CD34,0.0275503476190526
WFDC2,0.0267905186793893
CHI3L1,0.0252801352264678
UMOD,0.0184762354236869
FGFBP1,0.0173200662455698
LRRN1,0.0169393318345706
GPR37,0.0162175523804431
EDA2R,0.0154989307698975
ADM,0.0151117710768363
INSL4,0.0145484071016118
DPP4,0.0144288539757193
TNR,0.0143747953650987
CD302,0.0139003397851984
COL6A3,0.0114564100016143
RNASE6,0.0114531363803988
IGFBP7,0.0104450751045391
APOM,0.0100465591194332
HGF,0.0099359630463232
PEPD,0.0079347000321119
GORASP2,0.0067839847312535
CALCA,0.0065678333214804
TNFRSF12A,0.0063202490743932
IL15RA,0.0058416868684927
CILP,0.0055843778961534
CLPS,0.0050747633636545
SIT1,0.0050261737912773
FSTL3,0.0045908230876961
CX3CL1,0.0044696393184
REG1A,0.0041705102527135
ADGRG2,0.0040147975222831
SCARB2,0.0034358476167694
EPHA2,0.0031959131774414
TGFA,0.0031683612618482
ACRV1,0.0030401382260829
ITGA6,0.0027133762389937
PRSS8,0.0026561903702326
F13B,0.0026467025511879
PLA2G1B,0.0025286520199837
PCSK9,0.0025059005789716
MMP12,0.0024965283556527
HPGDS,0.0024396977643782
NTproBNP,0.0024142571118249
CDCP1,0.002364548161884
DCBLD2,0.0023385335144406
RGMB,0.0022971076760848
CLEC3B,0.0022874458423769
SLAMF7,0.0022460761902591
ITGA11,0.0021769769839052
MEP1B,0.0021408185066893
CD79B,0.0020768286974579
ANGPT2,0.0020452972212319
NPPB,0.0020017672038703
NPTXR,0.0019605307428741
ITGB2,0.0019259906732956
KLRB1,0.0016664799311389
B2M,0.0016083356097527
IL17C,0.0015668640657036
AMBP,0.0014018847211762
COL18A1,0.001203455131861
