Pro_code,ImportanceScore
GDF15,0.0173939393939394
PLXNB2,0.0226161616161616
PLA2G7,0.0276161616161616
CPA1,0.0158080808080808
REN,0.0142828282828282
PLA2G1B,0.0167676767676767
MUC13,0.0129090909090909
DPP6,0.0123131313131313
CD276,0.0147979797979798
MATN3,0.0182727272727272
MXRA8,0.0178181818181818
CTRC,0.009080808080808
NCAN,0.0149393939393939
REG4,0.0071515151515151
LCN15,0.0197777777777777
ANGPTL3,0.0118484848484848
SIT1,0.0179393939393939
HAVCR1,0.0052424242424242
CTRB1,0.0104040404040404
FGFBP1,0.0094343434343434
RET,0.0074848484848484
DMP1,0.0085454545454545
AOC3,0.010030303030303
KLK4,0.0111010101010101
CPB1,0.0128787878787878
CPA2,0.0054242424242424
LIFR,0.0123737373737373
RTN4R,0.0076969696969696
NFASC,0.0059494949494949
FAM3D,0.0106868686868686
CDH1,0.0043535353535353
PDGFRA,0.0007575757575757
APOC1,0.0066767676767676
LGALS4,0.0034040404040404
LEPR,0.0035353535353535
PTK7,0.0086060606060606
CHAD,0.0067272727272727
CTRL,0.0016363636363636
GCG,0.0036363636363636
OMD,0.0085151515151515
AMY2A,0.0059191919191919
KLRB1,0.0053535353535353
SLITRK2,0.0071919191919191
PSG1,0.0086363636363636
GPNMB,0.0073232323232323
FABP4,0.0068989898989899
IL10,0.0101717171717171
BGLAP,0.0077272727272727
CELA3A,0.0033434343434343
SPINK1,0.0068080808080808
APOD,0.0045050505050505
LPO,0.004070707070707
BCAN,0.0044141414141414
EFNA4,0.0024848484848484
AMY2B,0.0046565656565656
APOA4,0.0057676767676767
CDH17,0.0019090909090909
LPL,0.0049292929292929
REG1A,0.0049595959595959
CA12,0.0024545454545454
PCDH17,0.0063838383838383
RNF149,0.0054848484848484
C2,0.005040404040404
IGFBPL1,0.0041212121212121
PRAP1,0.0029090909090909
SPINT1,0.004
DCBLD2,0.0021414141414141
CLPS,0.002080808080808
SCARF2,0.0044848484848484
ANXA10,0.0043737373737373
NPY,0.0021515151515151
PKD1,0.0034747474747474
VEGFD,0.0032222222222222
CEMIP2,0.005020202020202
ACE,0.0036161616161616
B3GNT7,0.0052121212121212
IGFBP3,0.0027878787878787
PLA2G10,0.0038282828282828
IL10RB,0.0024747474747474
LYPD3,0.0046868686868686
CSF1R,0.0055454545454545
TNFRSF10A,0.002
SCGN,0.0025757575757575
PRCP,0.0019191919191919
HGF,0.0022424242424242
CR2,0.0028585858585858
CD27,0.0006262626262626
UMOD,0.0014949494949494
IGSF3,0.0023333333333333
RBP5,0.0039898989898989
ERBB4,0.0042727272727272
LTBR,0.0029292929292929
PGF,0.0026767676767676
CDON,0.0038888888888888
PRTG,0.0029797979797979
ADGRG1,0.0033838383838383
THBS2,0.0018585858585858
IGF1R,0.0024444444444444
IGFBP7,0.002020202020202
SPON2,0.0017171717171717
ST6GAL1,0.0026262626262626
EPO,0.002020202020202
THBD,0.0016969696969696
FAM3C,0.0013535353535353
CILP,0.0041212121212121
IL1RL1,0.0013232323232323
CTBS,0.0014444444444444
AGR3,0.0021818181818181
CD302,0.0017979797979797
CES2,0.0019191919191919
CD59,0.0019494949494949
RNASE6,0.0018383838383838
BOC,0.0022121212121212
ADAM12,0.0025555555555555
KLK11,0.0023232323232323
ADAMTSL2,0.0015858585858585
TFF1,0.0016464646464646
SPINK4,0.0009696969696969
VSIG2,0.0023333333333333
LRP11,0.0015252525252525
PLXDC2,0.0008080808080808
FSTL3,0.0023535353535353
MFGE8,0.0015757575757575
FGFR2,0.0008686868686868
IL1RN,0.0021111111111111
EPHA2,0.0016464646464646
CD74,0.0028686868686868
ADAM9,0.0024242424242424
APOM,0.002010101010101
TNFRSF11A,0.0013636363636363
ADA2,0.0012121212121212
NEFL,0.0014242424242424
CRHBP,0.0015353535353535
PCDH1,0.0023838383838383
DSCAM,0.0021919191919191
CD163,0.0012525252525252
MMP7,0.0017272727272727
GRN,0.0019898989898989
REG1B,0.0014141414141414
CSF1,0.0014848484848484
ITGB6,0.0018181818181818
CTSD,0.0022424242424242
HIP1R,0.0022121212121212
COL4A1,0.0022121212121212
CBLIF,0.0011515151515151
OCLN,0.0022525252525252
NCR3LG1,0.0018686868686868
DCN,0.002080808080808
SCARA5,0.0012222222222222
DKK4,0.0016666666666666
RNASE4,0.0024040404040404
TNFSF13,0.0028686868686868
CA9,0.0014343434343434
ACY1,0.0019191919191919
GALNT10,0.0016969696969696
AMIGO2,0.002020202020202
BCAM,0.0016868686868686
FLRT2,0.0019595959595959
CRIP2,0.0015252525252525
PTPRM,0.0013939393939393
NRCAM,0.0013030303030303
HLA-E,0.002
AMBP,0.0013939393939393
GSN,0.0015252525252525
EFEMP1,0.0013131313131313
KLRK1,0.0016767676767676
C7,0.001050505050505
CCN3,0.0007676767676767
EPHB4,0.0002929292929292
IGFBP6,0.0013232323232323
DSC2,0.0015454545454545
SMPD1,0.0013030303030303
JAM2,0.001040404040404
DSG2,0.001050505050505
PYY,0.0017373737373737
CTSE,0.0006767676767676
GALNT7,0.001070707070707
IL2RA,0.0011515151515151
PIGR,0.0021414141414141
WNT9A,0.0004747474747474
TNFRSF11B,0.0012525252525252
LTBP2,0.0008585858585858
SIGLEC7,0.0011515151515151
TGFB1,0.0009898989898989
KRT19,0.0013333333333333
SCG2,0.0011717171717171
FCAMR,0.0018888888888888
TFF2,0.0011919191919191
HAVCR2,0.0017575757575757
CD160,0.0008181818181818
ADGRE2,0.0014848484848484
CCL11,0.0015959595959595
HEPH,0.0011010101010101
FABP3,0.0011212121212121
IL12RB1,0.0011818181818181
FGF23,0.0012121212121212
HMCN2,0.0016161616161616
TGFA,0.0014040404040404
CCL21,0.0007171717171717
GRPEL1,0.0012525252525252
CD109,0.0007979797979797
NELL1,0.0017171717171717
IL1R1,0.0007676767676767
MFAP4,0.0011919191919191
HYAL1,0.0008383838383838
CTSO,0.001060606060606
HAO1,0.0007676767676767
IL18R1,0.0007373737373737
VASN,0.0011212121212121
CD300E,0.0009090909090909
TNFRSF12A,0.0014040404040404
ITGB7,0.0014343434343434
C1QTNF1,0.0014545454545454
LAG3,0.0009595959595959
ACTA2,0.0011818181818181
CTSZ,0.0015252525252525
LGMN,0.001080808080808
POF1B,0.0013636363636363
CHGA,0.0013636363636363
IL19,0.0007474747474747
ADGRE5,0.0006969696969696
SIGLEC10,0.0007979797979797
GFRA3,0.0011616161616161
HS6ST2,0.0008383838383838
ITGB2,0.001030303030303
GLA,0.0011818181818181
CKAP4,0.0012626262626262
BMPER,0.0009797979797979
FAM3B,0.0015050505050505
VWC2,0.0011111111111111
COL5A1,0.0005050505050505
ICAM1,0.0008585858585858
PTPRK,0.0014343434343434
TEK,0.0013535353535353
RNASE1,0.0008383838383838
PLAUR,0.0017070707070707
NOS1,0.0011717171717171
ANGPT2,0.001060606060606
ANGPTL7,0.0005050505050505
MRC1,0.002020202020202
LGALS9,0.001090909090909
ALCAM,0.0015252525252525
GFRA1,0.0008989898989898
ANGPTL4,0.0005252525252525
NOTCH1,0.0011515151515151
SEL1L,0.0005858585858585
NPDC1,0.0011414141414141
NHLRC3,0.0011818181818181
CTHRC1,0.0006666666666666
OGN,0.0008585858585858
IGSF8,0.0011515151515151
CPQ,0.0012121212121212
IL12B,0.0006060606060606
PDCD1LG2,0.0011414141414141
NCS1,0.0006262626262626
TPP1,0.0008787878787878
COLEC12,0.0008989898989898
ADGRB3,0.0009393939393939
CCN5,0.001090909090909
FABP2,0.0009797979797979
ITIH3,0.0008989898989898
IL12A_IL12B,0.0011111111111111
SEMA7A,0.0008080808080808
LYPD8,0.0009898989898989
SIGLEC6,0.0007878787878787
CD274,0.0007171717171717
TCN2,0.0009191919191919
VCAM1,0.0006464646464646
WFDC2,0.0006363636363636
DTNB,0.0009292929292929
KLRD1,0.0006868686868686
GALNT3,0.0009898989898989
NPC2,0.0011212121212121
CCL15,0.0005050505050505
CD244,0.0008383838383838
CNTN2,0.0007070707070707
FOLR1,0.001030303030303
MSR1,0.0006666666666666
CD55,0.0007171717171717
CD48,0.0007676767676767
CNTN4,0.0008888888888888
HSPB6,0.0009696969696969
TAFA5,0.0007777777777777
PON1,0.0007979797979797
TNFRSF4,0.0006868686868686
CGREF1,0.0006666666666666
TNFRSF6B,0.0009797979797979
PSAP,0.0008686868686868
ACP5,0.001040404040404
AGXT,0.0004343434343434
CXCL8,0.0006262626262626
PRSS8,0.0006565656565656
IL4R,0.0007272727272727
CD207,0.001080808080808
SIGLEC1,0.0005858585858585
BAIAP2,0.0008080808080808
CD7,0.001040404040404
CRELD1,0.0004444444444444
OLFM4,0.0006262626262626
ROR1,0.0009292929292929
PTPRB,0.0008080808080808
CPM,0.0003636363636363
IL17C,0.0005353535353535
CD300C,0.0006464646464646
ACVRL1,0.0006868686868686
IGF2R,0.0004747474747474
GDF2,0.0012626262626262
CCL20,0.0007878787878787
EFCAB14,0.0007979797979797
CDH2,0.0007979797979797
MVK,0.001
KRT8,0.0005757575757575
GAST,0.0007171717171717
PLA2G15,0.0006868686868686
BAMBI,0.001
CD46,0.0006262626262626
CD28,0.0007575757575757
CDH6,0.0007575757575757
GOLM2,0.0008888888888888
EBI3_IL27,0.0003434343434343
AGR2,0.0006161616161616
CDCP1,0.0003535353535353
TNFRSF19,0.0005555555555555
GGT5,0.0003333333333333
B4GALT1,0.0005656565656565
LAMB1,0.0005353535353535
MDK,0.001070707070707
CD164,0.0007272727272727
NECTIN2,0.0007474747474747
PILRB,0.0004343434343434
DPY30,0.0008989898989898
DDR1,0.0005454545454545
YAP1,0.0005050505050505
HSPG2,0.0005656565656565
CCN4,0.0005151515151515
CHI3L1,0.0003535353535353
PDZK1,0.0005656565656565
AKR1B10,0.0005959595959595
CD80,0.0008484848484848
SHISA5,0.0007070707070707
SLAMF8,0.0007373737373737
ACY3,0.0006161616161616
SPON1,0.0006060606060606
TFF3,0.0006363636363636
LY9,0.0007878787878787
PGA4,0.0004141414141414
ENTPD6,0.0005454545454545
PTGDS,0.0006969696969696
KRT18,0.0005454545454545
ASGR1,0.0006363636363636
EFNA1,0.0004848484848484
GIPC2,0.0006464646464646
RNASET2,0.0006767676767676
CST3,0.0003434343434343
CLSTN2,0.0003939393939393
FGL1,0.0004141414141414
SLAMF1,0.0007272727272727
AREG,0.0005454545454545
COL3A1,0.0003939393939393
HEG1,0.0004949494949494
LAYN,0.0008181818181818
CCL25,0.0005050505050505
CHCHD10,0.0003333333333333
LAIR1,0.0004040404040404
MMP12,0.0004343434343434
TMPRSS15,0.0006060606060606
SPINT2,0.0004242424242424
ITGA5,0.0005757575757575
NCR1,0.0003737373737373
DLL1,0.0003838383838383
CALCA,0.0003939393939393
NBL1,0.0004646464646464
IL18BP,0.0005555555555555
CD5,0.0004747474747474
CD83,0.0004848484848484
ASGR2,0.0006161616161616
IGFBP4,0.0004343434343434
IFNGR1,0.0003636363636363
TIMP1,0.0004141414141414
ACE2,0.0003434343434343
PALM2,0.0004343434343434
IMMT,0.0004040404040404
ROBO1,0.0004242424242424
CLEC5A,0.0002929292929292
ADGRD1,0.0004343434343434
TNF,0.0002525252525252
SIRPB1,0.0003737373737373
ALDH3A1,0.0005656565656565
NECTIN4,0.0003838383838383
SLITRK6,0.0006969696969696
GCNT1,0.0003636363636363
FSTL1,0.0004949494949494
FGF5,0.0003838383838383
MME,0.0004141414141414
XG,0.0004242424242424
PRSS27,0.0003636363636363
SELE,0.0003535353535353
STC1,0.0003232323232323
CLEC3B,0.0004545454545454
AGRN,0.0003939393939393
NRP1,0.0005353535353535
PILRA,0.0004242424242424
CD79B,0.0002929292929292
